symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
HOG,Accumulation,High,72,Mixed,Primary uptrend intact from ~17.11 low (Mar-02) to ~28.77 high (Jul-22) | Higher highs and higher lows dominant Feb through Jul-22 | Post Jul-22 pullback creating lower highs/lows suggesting near-term weakness | Current price ~27.23 sitting below Jul-22 peak,Feb-Mar accumulation: high volume with minimal price progress = effort absorbed by supply | Mar-03/04 spring-like move on expanding volume = effort rewarded | Apr-09/10 breakout on strong volume = positive effort/result | May-05 high volume thrust to 25.11 = strong result | Jul-20/21 volume surge to 28.45 = climactic behavior | Jun-26 anomalous volume spike (14.3M) with doji/reversal = significant supply effort | Aug-13 volume expansion to 27.85 = renewed buying effort,"Volume contracted during Feb-Mar base formation = absorption | Volume expanded sharply on upside breakouts (Mar-04, Apr-09, May-05) = demand | Jun-26 extreme volume spike (14.3M vs avg ~2-3M) = climactic/distribution signal | Post Jun-26 volume declining on recovery attempts = weakening demand | Aug-13/14 modest volume expansion on push toward 28 = inconclusive | Overall volume trend declining since Jul highs = caution",Phase A/B: Feb 26 - Mar 19 | Selling climax near 17.11 | Automatic rally to ~19.63 | Secondary test ~17.19 | Phase C: Mar 19-24 spring at 17.09 | Phase D: Mar 24 onward | Sign of Strength rallies with LPS formations | Phase E: Jul markup to 28.77 ATH range | Possible re-distribution forming post Jul-22,Accumulated aggressively in 17.10-18.50 range Feb-Mar | Markup executed cleanly through Apr-Jun | Possible partial distribution at Jun-26 climax (anomalous volume) | Jul-20/21 secondary distribution attempt at 28.49 | Current re-test of 26-27 zone may represent LPS or preliminary supply,Selling Climax (SC): ~Mar-02 at 17.11 | Automatic Rally (AR): Mar-04 to 19.63 | Secondary Test (ST): Mar-18 at 17.10 | Spring: Mar-19 at 17.09 | Sign of Strength (SOS): Mar-24/26 breakout | Last Point of Support (LPS): Apr-22/23 pullback ~22.73 | Buying Climax candidate: Jul-21 at 28.49 | Upthrust after Distribution (UTAD) risk: Jul-22 at 28.77 | Automatic Reaction (AR-dist): Jul-23/27 drop to 24.58 | Secondary Test in Distribution: Aug-13/14 push to ~28.18,17.09 spring held perfectly confirming accumulation intent | Jun-26 volume (14.3M = ~5-7x average) is most significant structural event = likely distribution or institutional repositioning | Price failed to sustain above 28.00 after Jul-21 = supply present at highs | Aug-13,,30,10,0,4,1
NOMD,Accumulation,High,62,Mixed,Primary downtrend from Feb highs (11.35) into Mar-Apr lows (~9.46) | Basing range established 9.10–10.55 (Mar–May) | Markup phase initiated late June | Current distribution/consolidation near 11.37–12.79 highs,"May 6 surge (9.4→10.19, vol 3.08M) = effort with result — valid SOS | May 12–13 drop on elevated volume (2.88M, 2.29M) = selling pressure absorbed | Jun 26 breakout (vol 3.56M, +4.7%) = strong SOS | Jul 28–29 expansion (2.51M, 2.60M) into 12.79 = climactic effort | Aug 12–13 wide-range reversal bars (3.93M, 3.87M) = heavy selling effort, poor result on upside = warning",Declining volume during Apr–May base = supply drying up | Volume expansion on Jun–Jul markup = demand entering | Aug 12–13 volume spike (3.93M + 3.87M) with price rejection from 12.79 = potential Buying Climax/UTAD | Post-spike volume contraction = market pausing | Current low volume consolidation 11.37–11.65 = inconclusive,Accumulation phase confirmed Mar–May (Phase A–B) | Markup phase Jun–Jul (Phase C–D) | Potential distribution beginning at 12.79 peak | Aug behavior suggests possible re-distribution or secondary test of markup,CO accumulated between 9.10–10.50 | Markup executed through June-July | Aug 12–13 high-volume wide bars suggest CO may be distributing or shaking out weak longs | Current price ~11.38–11.42 testing support of prior breakout zone,"SC (Selling Climax): Mar 12 (9.54, vol 2.37M) | AR (Automatic Rally): Mar 17–19 bounce to 10.08 | ST (Secondary Test): Mar 25–Apr 2 retest ~9.46 | Spring: May 12–13 (9.09–9.21, elevated vol) | SOS (Sign of Strength): May 6 + Jun 24–26 | LPS (Last Point of Support): Jun 3–8 (~9.74–9.93) | BC (Buying Climax candidate): Jul 29 (12.79) | UTAD/SOW (potential): Aug 12–13 high-vol reversal",1. Full Wyckoff cycle visible: distribution→markdown→accumulation→markup | 2. Jul 29 high of 12.79 on 2.60M vol represents potential exhaustion/BC | 3. Aug 12–13 anomaly: massive volume (3.93M + 3.87M) with price unable to hold gains = bearish divergence | 4. Price has retraced ~10% from peak to ~11.38 | 5. Current range 11.35–12.05 acting as potential new distribution or consolidation | 6. Low volume on Aug 18 close suggests indecision,Aug 12–13 volume spike with failed follow-through = possible SO,28,8,1,6,2
NWBI,Distribution,High,62,Clean,Bullish progression from ~11.76 low (Mar 9) to ~16.04 high (Aug 5) | Higher highs and higher lows intact through Jul-Aug | Recent consolidation below highs suggests possible Phase D topping or continuation pause,"Effort/Result divergence emerging at highs | Large volume on Jun 18 (3.7M), Jun 26 (4.4M) with limited upside extension | Jul 28 push to 16.16 on elevated volume (1.8M) failed to hold | Aug 5 high 16.04 on moderate volume then immediate reversal — weakening upthrust character",Volume contracted sharply in Aug (420K–664K range) on sideways/declining price — absorption or weak demand | Climactic-like spikes at Jun 26 (4.4M) and Jun 18 (3.7M) near upper range | Mar 20 (8.8M) and Mar 25 (5.4M) marked re-accumulation support confirmed by subsequent rally,Primary accumulation: Feb-Mar (11.76–12.63 range) | Re-accumulation/Spring: Mar 9 low 11.76 with volume spike (2.08M) = likely Spring or LPS | Distribution signals emerging: Jul-Aug topping action with declining volume on pullbacks and failed upthrusts near 16.0+,CO completed accumulation Feb–Mar | Drove markup through Apr–Jul | Possible early distribution activity Jun–Aug near 15.5–16.1 range | Low-volume consolidation in Aug consistent with CO re-evaluation or controlled pullback before next leg,SC (Selling Climax): ~Mar 9 low 11.76 on 2.08M | AR (Automatic Rally): Mar 9–Mar 13 bounce | Spring: Mar 9 | LPS (Last Point of Support): Mar 19–20 area (high volume 8.8M stabilization) | SOS (Sign of Strength): Apr 28 breakout 13.65–14.26 on 2.25M | BU (Back-Up): Apr 29–May follow-through | UTAD candidate: Jul 28 push to 16.16 or Aug 5 high 16.04 | Possible SOW: Aug 6–8 decline on moderate volume,~4-month markup (~87% gain from 11.76 to 16.04) | Markup stalling in 15.5–16.1 zone for ~3 weeks | Volume drying up in Aug on sideways/soft price — could be normal consolidation or early distribution | Jun 26 high-volume day (4.4M) at 15.14–15.21 range created supply overhang | Aug 17–18 closes at 15.65–15.69 — back below Jul-Aug highs | No confirmed breakdown yet — structure still technically bullish,UTAD risk at 16.04–16.16 zone unconfirmed but present | Declining volume in Aug does not confirm demand — could mask distribution | Jun 18 (3.7M) and Jun 26 (4.4M) volume spikes near highs = potential Buying Climax behavior | Price failing to reclaim 16.0+ after Jul 28 push = reduced momentum | Aug 6–8 three-day decline on sustained volume warrants monitoring |,27,8,5,6,3
SFL,Accumulation,High,62,Mixed,Macro uptrend from 9.88 low (Mar-13) → 12.94 high (May-12) | Distribution/markdown May-12 to Jun-30 | Re-accumulation Jul-01 to present | Current rally testing prior distribution range lows,Mar-12 climactic volume (2.48M) produced sharp drop to 9.93 = selling climax | May-12 high-volume surge (2.71M) to 12.90 = buying climax / upthrust | Jun-26 anomalous volume spike (6.04M) on sharp drop = secondary test / shakeout | Jul-23 volume expansion (2.75M) on breakout bar = effort supporting result bullish,Declining volume on markdown May–Jun confirms absorption | Rising volume on Jul-Aug rally with contracting ranges suggests accumulation | Aug volume generally light on pullbacks = bullish | Jun-26 volume extreme = potential selling climax of markdown phase,Primary accumulation: Feb-26 to May-12 (base ~9.88–11.00) | Distribution attempt: May-12 to May-22 (~12.42–12.94) | Markdown: May-22 to Jun-30 (~10.07–12.28) | Re-accumulation: Jul-01 to present (~10.20–12.54),Evidence of CO absorption during Jun-26 spike (6.04M) suggesting institutional buying into panic | Markup resumption post-Jul-01 consistent with CO re-engagement | Light volume on Aug pullbacks consistent with CO holding inventory,SC (Selling Climax): Mar-12 @ 9.93 | AR (Automatic Rally): Mar-13–Mar-19 | ST (Secondary Test): Mar-20–Mar-30 | SOS (Sign of Strength): Apr-27–May-12 | BC (Buying Climax): May-12 @ 12.90 | AR (Auto Reaction): May-22–May-29 | ST (Secondary Test of BC): Jun-11–Jun-15 | LPSY (Last Point of Supply): Jun-17–Jun-18 | SC2 (Secondary Selling Climax / Shakeout): Jun-26 @ 10.21 | LPS (Last Point of Support): Jun-30 @ 10.07 | SOS2: Jul-06–Jul-14 | BU (Back-Up): Jul-17–Jul-22 | Markup resumption: Jul-23 onward,Jun-26 volume (6.04M) is 4–6x average and most significant bar in dataset — likely institutional shakeout or news-driven flush absorbed by CO | Jul-23 breakout bar (2.75M) is strongest bullish volume event post-shakeout | Price recovered from 10.07 to 12.54 = ~24.5% recovery | Aug structure shows higher lows and higher highs on declining volume = classic markup behavior | Current price approaching May distribution zone resistance (12.42–12.94),Approaching prior distribution zone (12.42–12.94) — potential resistance and supply overhang | Aug volume declining sharply (749K–930K range) — may signal weakening buying interest near resistance | Aug-11 pullback to 11.44,26,13,3,5,4
ALKT,Accumulation,High,62,Clean,Primary uptrend from ~13.98 (Jun-22 low) | Multiple higher-low sequences post June lows | Current consolidation ~19.60–20.78 near highs | Lower structure base ~14–16 range acting as prior accumulation zone,Feb-26 high volume (8.33M) with large wick = selling pressure / SC candidate | Jun-22 spike 3.59M on new low = climactic selling | Jun-26 4.9M + Jun-29/30 strong closes = effort confirming demand | Aug-06 3.48M thrust to 19.69 = supply absorption | Recent low volume advance Aug-10 to Aug-18 = reduced effort on higher prices (concerning),Elevated volume on downswings Feb–Jun confirming distribution/markdown | Climactic volume Jun-22 (3.59M) marking potential SC | Volume expansion on June rally confirming demand | Volume contraction on Aug markup = lack of conviction | Current range Aug consolidation on declining volume = possible re-accumulation or weak markup,Large base accumulation zone: ~13.98–16.50 (Mar–Jun 2026) | Evidence of absorption through multiple tests of 15–16 range | Markup phase initiated late June | Current zone ~19.60–20.78 = potential re-accumulation or minor distribution,Absorption evident in 15–17 range through Feb–Apr | Markup initiated Jun-24 with expanding volume | CO appears to be supporting price in Aug consolidation | Possible secondary test behavior near 20.00–20.21 levels,"Possible SC: Feb-26 (8.33M, wide spread, wick) | AR: ~17.25 (Mar-02) | ST: Multiple tests Mar–Jun range | Spring/Shakeout candidate: Jun-22 low 13.98 (3.59M spike) | LPS: Jun-23/24 recovery | SOS: Jun-26 to Jun-30 volume expansion thrust | BU/LPS retest: Jul-08 to Jul-24 pullback ~16.28 | Markup continuation: Aug-03 to Aug-18 new highs",Jun-22 low 13.98 on highest volume in weeks = likely terminal shakeout/spring | Jun-26 4.9M close at 16.42 = Sign of Strength confirmation | Jun-29/30 continuation = SOS confirmed | Jul pullback to ~16.28 on low volume = healthy BU/LPS | Aug-06 gap-open thrust 3.48M = supply being overcome | Price achieving new recovery highs 20.78 = Phase D markup confirmed | Current consolidation 20.00–20.78 on low volume = healthy pause or minor distribution,Low volume on recent highs (Aug-10 to Aug-18) suggests weak sponsorship | Multiple failed rallies in Mar–Apr range before breakdown = supply overhead | Price approach to prior breakdown zone ~19–20 = potential resistance | Narrow range consolidation at highs without volume = possible minor distribution forming | Overall dataset shows choppy structure reducing Wyckoff event clarity | No clean textbook PS/SC/AR sequence — events are approximate | Risk of Phase D stalling if volume does not expand on next advance,25,8,7,7,5
CALX,Accumulation,High,62,Mixed,Primary downtrend intact | Lower highs from 55.72 (Feb 26) to current 39.16 | Multiple relief rallies failing below prior resistance | No confirmed change of character to upside,"Effort repeatedly exceeds result on upside | Large volume spikes (Apr 22: 4.36M, Jul 21: 4.88M) produce minimal net price recovery | Downside moves show supply overcoming demand consistently",Climactic volume on Apr 22 (4.36M) at 40.95-44.72 range — potential Selling Climax (SC) | Jul 21 (4.88M) secondary climactic event near 34.26 low — possible secondary test zone | Volume declining on rallies — weak demand | Volume expanding on drops — supply dominant,Distribution dominant from Feb-Apr | Possible embryonic accumulation base attempting to form Jun-Aug in 35-40 range | Repeated failures to sustain above 40 suggest supply not yet exhausted | No confirmed Sign of Strength (SOS),Net seller through Apr | Ambiguous Jun-Aug: possible absorption at lows but insufficient SOS confirmation | Smart money not yet showing clear reaccumulation commitment,Preliminary Supply (PSY): ~54.51 Mar 4 | Buying Climax (BC) / Distribution Top: 55.72 Feb 26 | Sign of Weakness (SOW): Apr 1-2 break below 46 on high volume | Selling Climax (SC) candidate: Apr 22 low 40.95 vol 4.36M | Automatic Rally (AR): Apr 23-May 5 to ~46 | Secondary Test (ST): May 13-15 lows 39-40 | Secondary SC: Jul 21 low 34.26 vol 4.88M | Last Point of Supply (LPSY) candidates: May 5 (45.82) | Trading Range: ~34-40 Jun-Aug,,No confirmed SOS bar with follow-through above resistance | Jul 21 climactic volume not yet validated as accumulation — could be continuation of markdown | Price unable to reclaim 40-42 zone sustainably | Aug rallies to 39.62-40.44 fading on lower volume — weak demand | Multiple LPSY patterns suggesting supply still present overhead | Premature long positioning carries high risk until 42+ reclaimed with volume,22,9,6,0,6
WERN,Accumulation,Low,42,Mixed,Primary uptrend established Feb–Jul (26.70→47.49) | Sharp markdown Jul 21–29 (47.49→35.74) | Current lateral range 35.61–39.49 suggests testing/re-accumulation attempt,"Apr–May markup: strong effort with improving results (bullish) | Jun peak: declining spread on elevated volume (supply emerging) | Jul 28–29 climactic sell-off: high volume wide-spread down bars (Supply Control / SC candidate) | Aug recovery: narrow spread on moderate volume (weak demand, inconclusive)",Accumulation phase (Feb–Apr): moderate declining volume on lows (constructive) | Markup (May–Jun): volume supporting rise initially then diverging | Distribution top (Jul 17–21): climactic volume 1.99M–1.76M on narrowing spread | Markdown (Jul 28–29): 2.82M–3.17M selling climax volume | Aug: declining volume on lateral action (ambiguous — could be cause building or weak demand),"Initial Accumulation: Feb 26–Apr 28 (SC near 26.70, ST, Springs, LPS structure visible) | Markup: Apr 29–Jul 21 | Possible Distribution: Jun 8–Jul 21 at 43–47 range | Current: Secondary Test / Re-accumulation candidate 35.61–39.49",CO absorbed supply Feb–Mar (SC/AR/ST pattern) | Orchestrated markup May–Jul | Possible distribution activity Jun–Jul top | Current behavior ambiguous — CO testing demand in markdown aftermath,"SC (Selling Climax): ~2026-03-13 @ 26.70 | AR (Automatic Rally): ~2026-03-23–24 @ 28.90 | ST (Secondary Test): ~2026-03-18–20 @ 26.62–27.17 | Spring candidate: 2026-03-19 @ 26.62 | LPS / Sign of Strength: 2026-04-29 gap-up @ 38.46 (news-driven, high volume) | Buying Climax candidate: 2026-07-21 @ 47.49 | Automatic Reaction: 2026-07-29 @ 35.74 | Secondary Test of BC: 2026-08-17–18 @ 39.49 area (resistance test)","Apr 29 gap-up (38.46 open, +2.2M volume) = Sign of Strength / SOS confirming accumulation success | Jul 17–21 climactic top with volume surge and immediate reversal = Buying Climax / UTAD risk | Jul 28–29 high-volume sell-off (3.17M) = Selling Climax of markdown | Aug range 35.61–39.49 is narrow with declining volume — classic re-accumulation OR distribution continuation | Price currently pressing against 38.43–39.49 resistance zone | No confirmed LPS or new SOS yet in Aug structure",Apr 29 spike may be news/event-driven distortion rather than organic CO activity | Distribution at 43–47 range not fully confirmed — could be UTAD or genuine top | Aug,19,8,3,6,7
VET,Accumulation,Low,42,Mixed,Bearish from March 2026 peak (~14.82) through July 2026 lows (~8.73) | Tentative recovery attempt from early July lows | Lower highs and lower lows dominant macro structure,"March 19 spike (11.7M vol, +~27% intraday range) = climactic effort with poor follow-through (BCLX/SC candidate) | May 6 drop on 3.2M vol with no recovery = supply dominance | July 22–23 rally on 2.3–3.5M vol shows emerging demand effort | Aug 18 close at 12.23 on 1.7M vol = positive result vs recent effort",Climactic volume Mar 19 (11.7M) = potential Buying Climax or SC | Elevated vol on Mar 20–23 selloff = AR/secondary test dynamics | Declining vol on consolidation Apr–May = absorption or lack of interest | Low vol dry-up at July lows (825K–1.05M) = potential selling exhaustion (ST/Spring zone) | Rising vol on July 22 – Aug 18 recovery = demand re-entering,Distribution: Mar 19 BCLX → Mar 20–23 AR → Apr–May ranging = classic distribution top | Re-accumulation possible: July lows with volume dry-up + recovery rally = potential Phase B/C of accumulation,Distributed aggressively into Mar 19 spike | Absorbed supply through Apr–May range | Allowed markdown into July | Possibly re-accumulating at $8.73–$9.80 support zone | Recent markup attempt July 22 – Aug 18 suggests early CO re-engagement,"BCLX/SC candidate: Mar 19 (14.70 high, 11.7M vol) | AR: Mar 20 (14.82 high) | Secondary Test: Mar 23–26 range | LPSY candidates: Apr 7 (14.25), Mar 31 (14.28) | Markdown: May 6 breakdown (3.2M vol) | Selling Climax candidate: Jul 2–6 ($8.73–$8.99 low, low vol) | Spring/LPS: Jul 6–7 base | Rally/SOS attempt: Jul 22 – Aug 18",Mar 19 climactic bar is the defining structural event | Price failed to sustain above 14.00 = distribution confirmed | May 6 markdown acceleration on elevated vol = Phase D distribution | Jul lows formed on declining volume = drying up of supply | Aug 18 push to 12.23–12.26 on rising vol = first potential SOS | Structure not yet confirmed as re-accumulation — needs sustained higher lows and volume confirmation above 12.50–13.00,Mar 19 spike could be SC (not BCLX) if prior downtrend context exists — data begins near lows | Only ~6 months of data limits full Wyckoff cycle identification | Aug 18 rally is single-day elevated vol — insufficient to confirm markup | Price still well below Mar highs — re-accumulation not confirmed | May repeat lower if 11.00 support fails | Low overall volume environment reduces signal reliability,16,8,6,6,8
HE,Accumulation,Low,38,Mixed,Primary downtrend intact | Series of lower highs and lower lows from Feb peak (~16.12) to Aug low (~11.42) | No sustained uptrend phase confirmed,"Effort without result on rally attempts | High volume sell-offs (May-11: 5.5M, Aug-10: 5.6M) produce large downside moves | Low-volume bounces fail to recover prior structure",Volume spikes concentrated on downside breaks | Rally volume consistently below breakdown volume | Declining volume on consolidations signals lack of demand absorption,Distribution dominant | No credible accumulation base established | Each consolidation phase resolves lower | Aug-10 high-volume breakdown confirms continued supply dominance,Composite Operator appears to be distributing into rallies | No evidence of professional accumulation | Weak hands being shaken out without markup follow-through,"PSY/BC candidate ~Feb-Mar (15.99–16.12 area) | Automatic Reaction into 14.29 (Mar-09) | ST/UTAD-like rally failures Apr–May | ICE break May-08 (~14.79) | SOW confirmed May-11 (gap-down 5.5M vol) | Secondary downtrend leg Jun–Jul | LPSY cluster Jun–Jul 13.50–13.77 range | Phase D Markdown acceleration Aug-10 (5.6M, -7%) | Creek break Aug confirmed","Peak at 16.12 (Mar-04) never recovered | May-11 breakdown (-1.07, 5.5M vol) = definitive SOW | Jun–Jul range 12.88–13.77 = LPSY zone not accumulation | Aug-10 breakdown through 12.22 to 11.29 = markdown continuation | Current price 11.56 near Aug-18 low — no base formed | Volume on bounces (1.7M–2.2M) insufficient to signal demand returning",No confirmed Spring or Shakeout with volume reversal | Aug-10/Aug-18 lows untested — potential for further markdown | No divergence between effort and result on downside | Misclassification risk: could be late-stage markdown not accumulation | Avoid long bias until high-volume reversal bar with close in upper range appears | Range 11.42–11.95 too narrow and too recent to call bottom,16,9,6,6,9
PTY,Accumulation,Low,34,Mixed,Primary downtrend from 12.92 (Feb 26) to current 11.67 | Series of lower highs and lower lows throughout | Multiple rally attempts capped below prior swing highs | No sustained upward progress,"High-volume down days produce meaningful price drops (Mar 03: 3.5M vol, -0.28; Mar 20: 2.6M vol, -0.37; Jun 22: 2.5M vol, -0.12) | Rally attempts on moderate volume fail to sustain | Aug 03–04 elevated volume (1.8M–2.2M) with minimal net price gain suggests absorption or distribution",Elevated volume on down thrusts | Low volume on bounces and consolidations | Recent Aug volume elevated without price follow-through — ambiguous absorption signal | Volume drying up near lows (Jul 21–28) could suggest selling exhaustion but unconfirmed,Leaning Distribution / Continued Markdown | No confirmed Accumulation base established | Each consolidation zone has been resolved to the downside | Current range (11.61–11.87) too nascent to confirm accumulation,Appears to be distributing or managing markdown | Rallies consistently sold into | No evidence of aggressive markup campaign | Possible testing of supply in recent sessions without commitment,"Potential Selling Climax (SC) candidate: Mar 03 (3.5M vol, wide spread down) | Automatic Rally (AR): Mar 09–10 partial bounce | Secondary Test (ST): Mar 11–13 lower close | Phase B distribution: Mar–Apr range 12.03–12.35 | Upthrust After Distribution (UTAD) candidate: May 07–08 (12.35–12.36 high, failed) | Sign of Weakness (SOW): May 14 drop, Jun 22 drop | Last Point of Supply (LPSY) candidates: Jun 29–Jul 09 zone (12.00–12.15) | Current markdown continuation: Jul–Aug","Price has declined ~9.7% from peak (12.92 to 11.67) | Multiple consolidation zones all resolved bearishly | Aug 03–04 volume spike (1.8M, 2.2M) with price holding 11.73–11.76 — only potential sign of absorption | Aug 07–11 minor bounce to 11.87–11.91 on moderate volume — insufficient to confirm reversal | Latest close 11.67 on 2.29M vol — elevated, bearish pressure resuming",No confirmed Spring or Shakeout identified — limits accumulation case | Volume spike Aug 18 (2.29M) on down close is bearish | No bullish SOS bar confirmed | Range too compressed and recent for reliable Phase D accumulation read | Could be mid-markdown with further downside | Possible secondary distribution forming at 11.70–11.90 zone,16,8,6,5,10
