symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
NTST,Accumulation,High,62,Clean,Bullish primary trend (17.14 → 21.28) | Intermediate distribution/consolidation range Apr–Jun (~20.15–21.07) | Late June breakout attempt with high-volume spike requires confirmation,Feb 12 ultra-high volume (8.97M) with strong close = strong demand effort with positive result | Jun 25 spike (7.99M) large range with close well below high = effort without proportional upside result (possible buying climax or supply absorption) | Mar–Apr decline on moderate volume = orderly markdown | Apr–Jun ranging = diminishing volatility,"Accumulation phase (Jan–Feb): rising volume on up-days, volume expansion on breakouts = bullish | Distribution zone (Apr–May): declining volume on rallies, volume drying up near highs = bearish divergence | Jun 16–18: volume surge on down-bars = supply entering | Jun 25: climactic volume spike on wide spread closing mid-range = ambiguous — possible UTAD or buying climax",Jan 5–13: Selling Climax / Automatic Rally setup | Jan–Feb: Accumulation Phase B/C | Feb 12 Spring/LPS breakout confirmation | Feb–Mar: Markup Phase | Apr–May: Potential Distribution Phase B or Re-Accumulation | Jun 16–18: weakness / possible LPSY | Jun 25–26: Possible UTAD or failed breakout,Early phase (Jan): CO absorbing supply on high volume shakeouts | Feb: CO marking price up aggressively | Mar–Apr: CO distributing into strength / allowing natural drift | Late Jun: CO behavior ambiguous — high-volume spike may indicate either re-entry of demand or distribution climax,"SC (Selling Climax): Jan 6–7 (~17.14 low, 2.9M vol) | AR (Automatic Rally): Jan 13 (18.11 high, 2.0M) | ST (Secondary Test): Jan 12 (17.10 low) | SOS (Sign of Strength): Feb 12–13 (8.97M vol breakout, close 20.20) | LPS (Last Point of Support): Feb 17–20 area | BU (Backup): Feb 18 pullback to 19.77 | Distribution PSY/BC candidate: Apr 17–23 (~20.84–21.18 zone) | LPSY: Jun 16–18 (breakdown below 19.45) | Possible UTAD: Jun 25 (21.25 spike, 7.99M vol, close 20.76)",Price rallied ~24% from Jan lows (17.14) to Apr highs (~21.18) | Feb 12 volume anomaly (8.97M vs avg ~1.2M) = institutional commitment | Apr–May range narrowing with declining volume = energy compression | Jun 16–18 high-volume breakdown below 20.00 = supply test | Jun 25 volume spike (7.99M) with upper wick and close at 20.76 suggests supply at highs | Jun 26 follow-through to 21.20 close on 5.6M = demand still present | Structure sitting at prior resistance zone requiring decisive close above 21.25 to confirm continuation,,32,9,0,7,1
DRH,Markup,High,78,Clean,Higher highs and higher lows confirmed from ~9.07 (Jan-20 low) through 12.54 (Jun-26 high) | Base range: 8.94–9.83 (Jan–Feb) | Markup initiated mid-Feb | Acceleration phase May–June | No structural breaks observed,"Early markup: effort aligned with result (rising price on expanding volume) | Mid-markup (Mar–Apr): low volume consolidation, minimal pullback = bullish absorption | Late markup (May–Jun): price advancing on moderate-to-declining volume = weakening effort-result harmony | Jun-26 spike volume (6.04M) on upper range = potential exhaustion signal",Jan-21: surge (4.25M) = Sign of Strength (SOS) | Jan-27: climactic spike (6.72M) with price reversal = minor Buying Climax / Upthrust test | Feb-4: expansion (7.04M) = SOS breakout | Mar decline: volume contraction on pullback = bullish (no supply) | Apr–May markup: orderly low-volume advance = healthy | May-21/22: elevated (2.97M/4.11M) = institutional participation | Jun-26: 6.04M on new high = potential Buying Climax warning,Accumulation completed: Jan–Feb base (8.94–9.83) represents completed Phase A–D accumulation | Distribution not yet confirmed but Jun-26 climactic volume at new high (12.54) introduces early distribution monitoring trigger | No confirmed distribution structure yet,Actively long; likely defending positions through low-volume consolidations (Mar–Apr) | Possible selective distribution beginning at upper ranges (May–Jun) given climactic volume on Jun-26 | No evidence of aggressive supply yet but vigilance warranted above 12.47,Selling Climax (SC): Jan-7/8 area ~8.94–8.95 | Automatic Rally (AR): Jan-9 to Jan-13 (~9.46) | Secondary Test (ST): Jan-20 ~9.07 | Sign of Strength (SOS): Jan-21 breakout (4.25M) | Back-Up Action (BUA): Jan-28–Feb-2 retest ~9.02–9.23 | Second SOS: Feb-4 breakout (7.04M) to 9.67 | Last Point of Support (LPS): Feb consolidation ~9.81–9.88 | Markup Phase E: Feb-26 breakout above 10.0 | Potential Buying Climax (BC): Jun-26 high 12.54 on 6.04M volume,Full Wyckoff accumulation cycle completed from Jan–Feb base | 40%+ price appreciation from base (~8.94) to current high (12.54) | Volume declining on recent highs (Jun-8 through Jun-17) before Jun-26 spike = divergence | Jun-26 wide-spread up bar on heaviest volume in weeks = classic BC setup condition | Price extended well above any obvious support — nearest support cluster ~11.84–12.02 | Consecutive higher closes Jun-1 through Jun-26 with one consolidation = parabolic behavior,Jun-26 volume spike (6.04M = ~4x average) at new high = Buying Climax risk | Price extended ~40% from base,31,9,2,6,2
CLDX,Distribution,High,72,Clean,Bullish primary trend from ~22.46 low (Feb-17) to current 35.26 | Higher highs and higher lows intact through April-May | Recent consolidation 29-32 range showing possible re-accumulation | June rally resuming markup,Feb-25 massive volume (3.8M) with large price jump = strong effort with result (SOS) | Mar-20 high volume (3.2M) confirms markup | Apr-02 climactic volume (5.2M) with wide spread = possible BC/buying climax | Jun-18 high volume (2.4M) with narrow close = effort without proportional result (warning) | Jun-26 extreme volume spike (4.8M) with wide range but needs confirmation,Jan accumulation: declining volume on weakness = constructive | Feb-25 SOS bar: 3.8M volume = institutional buying | Apr-02 climactic 5.2M volume = potential BC | Apr-Apr: volume declining on rally = weakening | May: volume expansion on weakness = distribution concern | Jun: volume expanding on rally but Jun-18 anomaly notable | Jun-26 spike = climactic or continuation,Accumulation phase: Jan-Feb (22.46-27) | Spring: Feb-17 low 22.46 | SOS: Feb-25 breakout | Markup phase: Mar-Apr rally to 35+ | Possible Distribution: Apr-20 area (35.79 peak) with declining closes | Re-accumulation: May consolidation 29-33 | Secondary markup: Jun rally 28.5-35.26,Accumulated aggressively Jan-Feb at 22-27 range | Marked up through Mar-Apr | Possible absorption/distribution near 34-35 zone in late April | Re-loaded during May pullback | Currently distributing or extending markup at 35+ zone,"SC (Selling Climax): Feb-05 (1.2M, wide down bar to 22.55) | AR (Automatic Rally): Feb-09 to 24.88 | ST (Secondary Test): Feb-13 low 22.51 | Spring: Feb-17 low 22.46 | SOS (Sign of Strength): Feb-25 breakout to 30.82 | LPS (Last Point of Supply): Mar pullback 28.72 | BC (Buying Climax): Apr-02 5.2M volume spike | LPSY candidate: May 33-35 zone | Secondary SOS: Jun-15 rally initiation | Potential UT (Upthrust): Jun-26 spike to 35.47 on extreme volume",Base formed 22.46-27 over ~6 weeks | Feb-25 SOS bar single-handedly confirmed accumulation completion | Apr-02 climactic volume (5.2M) is largest bar = distribution concern at 31+ | Price recovered above Apr climax = re-accumulation successful | May weakness (29-33) absorbed without new lows = bullish | Jun breakout from May consolidation = LPS confirmed | Jun-26 4.8M volume spike at new high = watch for reversal or continuation confirmation | Current price 35.26 near upper boundary | Overall net move: ~57% from Feb low to Jun high,Apr-02 climactic volume (5.2M) not yet fully resolved bearishly but flags exhaustion risk | Jun-18 wide spread high volume with weak close,31,10,2,9,3
TH,Distribution,High,72,Clean,Bullish | Multi-stage markup from ~6.72 (Jan 28 low) to ~20.83 (Jun 26 high) | ~210% advance | Rising structure intact but pace decelerating,"Jan–Mar: High effort, proportional results (accumulation) | Apr 1 gap: Extreme effort, extreme result (SOS/Spring breakout) | May 11/May 28: High volume with reduced follow-through (effort-result divergence warning) | Jun 26: High volume, narrow close, potential UTAD or distribution supply","Accumulation phase (Jan–Mar): Diminishing volume on declines, expanding on rallies | Markup phase (Apr–Jun): Sustained elevated volume | May 28 climactic spike (~6M) on sharp drop = warning sign | Jun 26 elevated volume (~2.9M) on narrow range = absorption or supply entry",Accumulation completed: Jan 27–Mar 31 base (~6.72–9.70) | Phase B/C completed with Spring-like low Jan 27–28 | SOS: Mar 11–12 gap breakout confirmed | Current phase: Possible early Distribution or UTAD zone above 20.00,"CO accumulated aggressively in 6.72–9.70 range | Markup engineered through Apr 1 gap (news/catalyst driven, 9715800 vol) | CO distributing possible above 18.00–20.00 zone | May 28 drop on 6M vol = potential CO offloading | Jun sustained grind higher with mixed volume = possible markup exhaustion","Selling Climax/SC: Jan 27–28 (~6.72–6.94) | Automatic Rally/AR: Feb 2–4 (~7.04–7.20) | Secondary Test/ST: Feb 12–20 (7.08–6.63) | Spring: Jan 27–28 low retest | Sign of Strength/SOS: Mar 11–12 gap (8.50→9.70, 965K–1.47M vol) | Last Point of Support/LPS: Mar 16–31 consolidation (9.03–9.39) | Jump Across Creek/JAC: Apr 1 explosive gap (9.28→12.66, 9.7M vol) | Buying Climax/BC candidate: May 11 (16.28→18.08, 5M vol) | Upthrust After Distribution/UTAD candidate: Jun 18–26 (20.16–20.83)",1. Full Wyckoff accumulation-to-markup cycle textbook complete | 2. Apr 1 gap on 9.7M vol = likely news catalyst amplifying CO intent | 3. Price has advanced ~210% from accumulation lows in ~5 months | 4. May 28 high-volume (6M) sharp reversal bar is most significant warning | 5. Jun range (17.05–20.83) showing elevated volume without strong directional resolution | 6. Jun 26 high-volume narrow range at highs = classic supply absorption or distribution entry | 7. Price holding above all key structural levels — no confirmed distribution yet,May 28 climactic volume drop (~6M) unresolved — potential BC or markdown trigger | Jun 26 wide spread high volume narrow close at range highs = supply signal |,31,9,2,7,4
ATEN,Distribution,High,74,Mixed,Strong uptrend from ~17.00 (Jan low) to ~35.19 (Jun high) | Higher highs and higher lows sustained | Price nearly doubled in ~6 months | Recent range compression near highs possible topping signal,"Jan–Feb: effort increasing, results minimal (ranging) | Feb-05 breakout: massive effort + strong result (SOS) | Mar–Jun: consistent effort yielding progressive higher closes | Jun-18: extreme volume spike (3.79M) on narrow-ish close – potential effort vs. result divergence | Jun-25/26: high volume with slowing upside momentum","Accumulation base: low-moderate volume on dips, rising on rallies | Feb-05 (1.98M) and Feb-09 (1.46M): explosive SOS volume | Mar-16 (3.45M) and Mar-20 (4.59M): anomalous spikes – possible shakeout/test | Apr-16/17: surge confirming markup continuation | Jun-18 (3.79M): climactic-style volume near highs – BCLX candidate | Jun-26 (2.2M): elevated volume on modest close – absorption warning",Jan–Feb: Classic Accumulation (Phase A–C) | Feb–Apr: Phase D markup with SOS confirmed | Apr–Jun: Phase E markup extension | Jun peak zone: Early Distribution Phase A signals emerging (PSY/BC pattern possible),Absorbed supply aggressively in Jan–Feb range | Engineered Spring near 16.80 (Jan-20) | Drove markup through multiple resistance levels | Jun-18 climactic volume suggests CO may be distributing into retail demand | Possible preliminary supply introduction at 35.19 high,"Preliminary Support (PS): ~Jan-09 (695K vol, 17.00 low) | Selling Climax (SC): ~Jan-20 (16.80 low, ~439K) | Automatic Rally (AR): Jan-22/26 (~17.81) | Spring/Last Point of Support: Jan-20 (16.80) | Sign of Strength (SOS): Feb-05 (17.72→19.33, 1.98M) | Backup to Edge of Creek (BUEC): Feb-17/27 (~18.75–19.28) | Secondary SOS: Mar-03/04 breakout | Markup Continuation: Mar–Apr progressive HH/HL | Buying Climax Candidate (BCLX): Jun-18 (33.26 close, 3.79M vol) | Potential Automatic Reaction (AR-Dist): Jun-25/26 (~35.19 high)",Price advanced ~107% from Jan-20 low (16.80) to Jun-25 high (35.19) | Feb-05 gap-up SOS was structural inflection point | Mar-16/20 volume anomalies (3.45M / 4.59M) likely institutional activity during re-accumulation | Apr-16/17 thrust confirmed Phase E entry | Jun-18 climactic bar is most significant caution signal | Price stalling between 33.26–35.19 over final 8 sessions with elevated volume | Upward momentum visibly decelerating at highs,Jun-18 volume (3.79M) = likely Buying Climax – distribution may be initiating,29,10,1,7,5
WERN,Accumulation,High,72,Mixed,Broader uptrend from March lows (~26.62) with higher lows and higher highs establishing | Markup phase active from late April onward | Current consolidation near highs suggests potential Phase B of re-accumulation or continuation,Jan–Feb: Strong effort yielding results (price surge 30→38) | Feb 6 reversal: High volume (2.9M) sharp drop = effort against trend | Feb 12: Wide spread down on elevated volume = supply dominance | March lows: Diminishing spread on moderate volume = effort absorbed | April onward: Moderate volume with expanding price = efficient markup | May 14 spring-like surge on 2.4M volume = strong demand response | June: Price advancing on declining volume = minor concern but not alarming,Jan 5: High volume wide spread up = Buying Climax candidate | Jan 16: Spike 2.87M on narrow range = churning/distribution sign | Feb 4–6: Climactic volume into reversal = Buying Climax / Automatic Reaction | Feb 12: 2.77M on wide down bar = Sign of Weakness | March 11–13: Elevated volume on capitulation = Selling Climax zone | March 16–20: Low volume narrow range = Secondary Test / No Supply | April 17: 1.53M expanding up = re-entry demand | Apr 29: 2.24M gap up = Markup acceleration | May 14: 2.43M explosive up = Spring Follow-Through / SOS | June 8: 1.04M up = sustained demand | June 9–10: Elevated volume pullback = minor distribution test,February peak (~38.45) = Distribution Phase A-B | March 11–20 lows (~26.62–27.17) = Accumulation Phase C (Spring/Shakeout zone) | March 23 onward = Phase D re-accumulation / markup initiation | April–June = Markup Phase with re-accumulation pauses | Current zone (42–44) = potential Phase B of new re-accumulation or continuation markup,Distributed aggressively Jan–Feb into retail buying | Absorbed supply through March lows with controlled low-volume tests | Re-entered long Feb 26–Apr with Spring confirmation | Driving markup May–June with controlled volume on advances | Currently testing commitment at new highs near 43–44,"Preliminary Supply (PSY): Jan 15–16 (~33.54–33.14, 2.87M) | Buying Climax (BC): Feb 4–5 (~38.39 high, 2.38M–2.04M) | Automatic Reaction (AR): Feb 6 (~33.18 low, 2.92M) | Secondary Test (ST): Feb 9–11 (~36.27 high) | Sign of Weakness (SOW): Feb 12 (~31.07 low, 2.77M) | Selling Climax (SC): Mar 13 (~26.70 low, 1.77M) | Automatic Rally (AR-Acc): Mar 16–24 | Secondary Test (ST-Acc): Mar 19–20 (~26.76) | Sign of Strength (SOS): Apr 29 gap (~38.46, 2.24M) | Last Point of Support (LPS): May 4–5 (~34.19–34.35) | Markup SOS: May 14 (~37.",,,29,11,0,0,6
ARI,Accumulation,High,62,Mixed,Broad trading range ~9.64–11.24 | Sharp markup event Jan 28 (JAC/SOS candidate) | Subsequent re-accumulation range ~10.27–11.24 | Recent decline into support zone ~10.63–10.78 with high volume (potential LPSY or secondary test),Jan 28 massive volume (5.3M) produced large upward spread — bullish effort/result | Mar 20 high volume (3.9M) on down-close to 10.06 — bearish effort signal (ST or SOW warning) | Jun 16–18 and Jun 24–25 very high volume (3.5M–5.0M) with narrow spreads and mixed closes — effort NOT producing result (absorption or distribution pressure),Climactic spike Jan 28 (5.3M) — possible BC/JAC | Declining volume on rally attempts Feb–Apr (healthy re-accumulation characteristic) | Volume expansion Apr 7–13 on upside — bullish | Volume climax Jun 16–18 and Jun 24–25 (3.5M–5.0M) on narrow ranges near highs — warning of potential supply re-emergence | Recent volume elevated vs prior accumulation baseline,Primary accumulation Jan 5–27 (base ~9.64–10.15) | Markup Jan 28 | Re-accumulation Feb–Apr (~10.27–11.24) | Possible secondary distribution or LPSY forming Jun 16–26 at ~10.63–10.91 zone with high-volume narrow spread bars,Appeared to be accumulating Jan 5–27 | Executed markup Jan 28 | Re-accumulated Feb–May | Recent behavior (Jun) ambiguous — possible CO defending support OR distributing into remaining demand; volume surges without progress favor caution,PS (Preliminary Support): Jan 5–7 ~9.64–9.71 | SC (Selling Climax) candidate: Jan 7 low 9.64 | AR (Automatic Rally): Jan 8–9 to 10.11 | ST (Secondary Test): Jan 12–14 ~9.81–9.86 | SOS (Sign of Strength)/JAC: Jan 28 gap-up 11.21 on 5.3M volume | SOW warning: Mar 20 drop to 10.06 on 3.9M volume | LPS (Last Point of Support): Apr 7–8 ~10.47–10.48 | SOS continuation: Apr 13–17 rally to 11.24 | Potential LPSY or Creek test: Jun 16–26 high-volume reversal at ~10.83–10.91,"Jan 28 gap-up on 5.3M volume is the dominant structural event — defines markup initiation | Price has held above Jan 28 open (~11.19 gap fill zone partially tested) | Jun 16–26 cluster of 5 sessions with 2.6M–5.0M volume and closes mid-range or lower is the most critical current signal | Support zone ~10.63–10.75 being tested with heavy volume | If ~10.63 holds with volume contraction, bullish LPS scenario intact | Failure to hold ~10.60 on volume would signal distribution and potential Phase B of distribution",,29,9,0,6,7
AHCO,Accumulation,High,62,Mixed,Primary uptrend Jan–May disrupted by climactic selling event (2026-05-05); secondary downtrend May–mid-June; tentative base forming mid-to-late June with potential markup initiation,"Effort visible on 2026-02-24 (massive volume, large spread down = selling climax / LPSY breakdown) | 2026-05-05 climactic volume (4.74M) with wide spread down = secondary selling climax | Late June increasing volume with upward closes = effort confirming demand returning",Climactic spike 2026-02-24 (4.17M) = Selling Climax (SC) | Follow-through selling Feb 25–27 on declining volume = Automatic Rally/ST zone | Vol spike 2026-05-05 (4.74M) = Secondary Test / redistribution climax | June base forming on contracting volume then expansion upward (2026-06-24/26) = demand re-entering,Accumulation Phase A/B identified Feb–Mar (post SC at 8.50 low) | Markup Phase C/D confirmed Mar–Apr (strong rally to 13.4 area) | Distribution or Re-Distribution Phase A Jan–May top (10.5–13.4 range) | Current: Re-Accumulation Phase B/C in 9.5–10.3 range post May climax,"Absorbed supply aggressively Feb 24–27 low zone (~8.50–9.35) | Marked up to 13.3+ through April | Distributed or shook out weak hands May 5 | Currently re-loading in June base ~9.5–10.3 | Late June surge (2026-06-26: 3.92M vol, wide up bar to 10.29) suggests CO re-engaging on upside","SC: 2026-02-24 (8.505 low, 4.17M vol) | AR: 2026-02-25 (9.495 high) | ST: 2026-02-27 | Spring/Test: 2026-03-09 (9.10 low, 2.39M) | SOS: 2026-03-13 (wide up bar, 1.99M) | BU/LPS: 2026-03-20 | Markup: 2026-03-24 through 2026-04-28 | UTAD/PSY: 2026-05-04 (13.43 high) | SC2: 2026-05-05 (10.80 low, 4.74M) | AR2: 2026-05-07 | Secondary ST: 2026-05-12–05-13 | Creek/Support: ~9.50–9.65 zone | SOS2: 2026-06-24 (wide up, 2.44M) | LPS2: 2026-06-25–06-26 | Jump: 2026-06-26 (10.29 close, 3.92M vol)",Two full Wyckoff cycles visible (Acc → Markup → Re-Dist/Re-Acc) | Feb 24 SC established key demand zone ~8.50 | May 5 second climax confirmed distribution above 13.00 |,,29,15,0,3,8
PGNY,Accumulation,High,74,Mixed,"Primary downtrend (Jan–Feb) → Basing/Accumulation Range (Mar–Apr, 17.00–18.70) → Markup impulse (May–Jun, breakout above 19.00 accelerating to 28.57)",Effort-Result CONFIRMED BULLISH | May-08 gap-up on 4.4M volume (highest single day) produced large price spread | Subsequent markup on declining but sustained volume indicates absorption complete | Jun-26 close at 28.51 on moderate volume suggests continuation without exhaustion,Climactic volume Feb-27 (5.2M) on massive down-bar = Selling Climax (SC) | Volume contraction during Mar–Apr base = Sign of supply absorption | Expansion on May-08 breakout = Sign of Strength (SOS) | Volume declining on pullbacks in May–Jun = healthy markup behavior | Jun-18 elevated volume (3.06M) on narrow range = potential minor supply test,ACCUMULATION confirmed | SC: Feb-27 | AR (Automatic Rally): Mar-06 bounce to 18.49 | Secondary Test (ST): Mar–Apr lows holding above SC low | Spring/LPS: Apr-10 low (16.10) | SOS: May-08 breakout | BU (Back-Up/LPS): May-14 to May-22 pullback zone | Markup phase now dominant,CO absorbed supply aggressively during Feb-27 climax and Mar–Apr range | CO tested supply with low-volume narrow-range days in Apr | CO executed markup with controlled volume expansion | CO appears to be distributing initial positions into Jun strength but markup structure still intact,"SC: 2026-02-27 (16.755 low, 5.2M vol) | AR: 2026-03-06 (18.49 high) | ST: 2026-03-13 / 2026-03-30 area | Creek/Resistance: ~18.60–18.70 | Spring: 2026-04-10 (16.10 intraday low) | LPS: 2026-04-13 to 2026-04-17 | SOS: 2026-05-08 (gap thrust, 4.4M vol) | BU/LPS: 2026-05-14 to 2026-05-22 | Continuation SOS: 2026-06-01 | Minor Supply Test: 2026-06-18 (3.06M narrow bar) | New High: 2026-06-26 (28.57)","Price traveled from SC low of 16.10 to current high of 28.57 = ~77% advance | Accumulation range was tight (16.10–18.70) with 7+ weeks of base building | May-08 was the dominant SOS — gap open, wide spread, volume surge | Pullbacks in May–Jun consistently find support above prior resistance-turned-support | Volume trend on rallies remains constructive | Jun-26 bar shows wide spread close (28.51) on 1.56M — not climactic, markup likely continuing",Jan-13 sharp reversal bar (28.75→25.18) precedes full markdown — late longs trapped | Feb-27 event-driven,28,11,2,6,9
ENR,Accumulation,High,62,Clean,Macro downtrend from ~24.54 (Feb peak) to ~15.75 (May low) | Current recovery rally from May lows forming higher lows and higher highs | Short-term uptrend intact from late May,"Jan 30 high-volume surge (3.59M) produced modest close — effort without result, distribution signal | May 5 anomalous bar (21.01→17.85, 2.02M) = Selling Climax / shakeout | May 19-20 high volume on narrow range near lows = absorption | Jun 18 volume surge (2.19M) with strong close at 21.52 = Sign of Strength",Expanding volume on declines (Feb→May) consistent with distribution/markdown | Volume drying up at lows (Mar-Apr base) = supply exhaustion | Volume expanding on recent rallies (Jun) = demand returning | Climactic volume at May lows confirms potential Selling Climax,Primary distribution Jan-Feb (19→24.54) | Markdown Feb-May (24.54→15.75) | Accumulation base forming Mar-May (~16-19 range) | Re-markup beginning Jun with SOS on Jun 18,Distributed aggressively Jan 30–Feb 5 into retail buying | Engineered shakeout May 5 (Spring/Terminal Shakeout below support) | Absorbed supply Mar–May in low-volume consolidation | Now marking up from accumulated base,PSY (Preliminary Supply): Jan 28–30 ~22.11 | BC (Buying Climax): Feb 4–5 ~24.54 | AR (Automatic Reaction): Feb 9–13 ~22.42 | ST (Secondary Test): Feb 17–24 range | SOW (Sign of Weakness): Mar 2–12 breakdown to 16.47 | SC (Selling Climax): May 5 ~15.75–17.85 | AR (Automatic Rally): May 6 ~18.97 | ST as Spring: May 13–20 ~15.75–16.23 | LPS (Last Point of Support): May 28–Jun 2 ~18.22 | SOS (Sign of Strength): Jun 18 ~21.52 on 2.19M volume | BU (Back-Up): Jun 22–25 minor pullback | Potential markup resumption: Jun 26 close 22.64,May 5 bar is critical — intraday range 21.01 to 17.49 with high volume = terminal shakeout/Spring below Mar-Apr support | Subsequent recovery and base ~16-18 shows accumulation | Jun 18 SOS bar breaks above prior resistance with conviction | Price now ~22.64 approaching Feb distribution zone resistance (~22.50–23.50) | Structure suggests Phase D markup underway | Volume declining on recent rally (Jun 25–26) warrants monitoring,"Approaching heavy distribution overhead supply zone (22.50–24.54) — absorption battle likely | May 5 anomaly may reflect external event distortion (gap open 21.01 from prior close 19.68) — data integrity or news-driven | Volume thinning on recent advance (Jun 25: 784K, Jun 26: 438K) = weakening demand | No confirmed",28,12,4,6,10
