symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
HOG,Accumulation,High,72,Clean,"Primary uptrend intact | Sequence: Accumulation base (Mar 3–24) → Markup wave 1 (Mar 24–Apr 21, ~17.5→24.68) → Re-accumulation/correction (Apr 22–Jul 31, 24.68→24.54) → Markup wave 2 initiating (Aug 3–present, targeting new highs)","Mostly harmonious | Large effort days (Mar 3-4, Apr 9, May 5) produced strong upward results | Jun 26 anomaly: extreme volume (14.3M) with modest net result (−0.27) signals distribution test or shakeout | Aug 13 strong effort (3.6M) with strong result (+1.88) confirms bullish intent","Accumulation phase (Mar): high volume on up-bars, declining volume on pullbacks | Markup phase: volume confirms breakouts | Re-accumulation (May–Jul): volume drying up on pullbacks (constructive) | Aug markup: volume expanding on up-days, contracting on pullbacks — bullish pattern",Net Accumulation | Composite operator absorbed supply during Mar base and Apr–Jul re-accumulation | No sustained high-volume distribution signature confirmed | Jun 26 spike warrants monitoring but insufficient follow-through selling to confirm distribution,"Accumulating | Evidence of controlled markup | Shakeouts at key levels (Mar 17–19, Apr 22–24, Jul 23–31) suggest professional support | Absorption of selling during consolidation phases consistent with CO re-loading","Selling Climax/Spring candidate: Mar 3 (17.30 low, high volume reversal) | Automatic Rally: Mar 4 (+6.4%) | Secondary Test: Mar 13–18 | Sign of Strength: Mar 24–26 breakout | Last Point of Support: Mar 27–31 | Markup Wave 1: Apr through Apr 21 | Buying Climax candidate: Apr 21 (24.68) | Automatic Reaction: Apr 22 | Secondary Test of BC: May 5–11 (25.12 high, rejected) | Secondary Re-accumulation range: 22.40–25.44 | Spring within range: Jul 23–31 (25.59→24.19 wick) | Sign of Strength re-emergence: Aug 3–4 surge | Last Point of Support re-accumulation: Aug 5–10 | New SOS: Aug 13 (27.85) | Potential new markup: Aug 14–21 progression toward 28.65",Price has rallied ~63% from Mar 3 low (17.30) to Aug 21 high (28.65) | Re-accumulation zone well-defined: 22.40–25.50 | Aug 13 breakout above 27.00 on elevated volume is high-confidence SOS | Volume declining during Aug 14–20 consolidation is bullish (no selling pressure) | Aug 21 new high (28.65) on moderate volume suggests controlled advance | Higher lows consistently respected: 17.30→22.40→24.19→25.59 | Price now trading at highest levels in dataset,"Jun 26 ultra-high volume bar (14.3M, ~8.5x average) with minimal net gain — potential hidden distribution or news-driven anomaly requiring monitoring | May 5",31,15,2,7,1
FBRX,Distribution,High,82,Clean,Persistent downtrend Mar–Jun | Climactic reversal Jun–Jul | Parabolic markup Jul-09 to Jul-27 | Abnormally tight range Aug consolidation at $76.50–$76.95,"Massive effort (4.8M+ vol Jul-09, 17.5M vol Jul-27) produced large result | Aug consolidation shows high volume with minimal price movement — effort/result divergence flagged",Capitulation volume Mar–May | Spring-like surge Jun-26 (3M) | Explosive markup Jul-09/10 (4.8M/3.1M) | Jul-27 anomalous 17.5M with near-zero range ($76.38–$76.60) | Aug volume elevated but price static,Early accumulation Mar–Jun (Phase A–C) | Strong SOS Jun–Jul | Jul-27 onward suggests possible Distribution Phase A or cause-building by Composite Operator at fixed price,Absorbed supply through Mar–Jun base | Aggressively marked up Jul | Now appearing to hold price at $76.50–$76.95 ceiling with controlled volume — likely positioning or distributing,SC (Selling Climax): ~Mar-20 $22.01 low | Spring: Jun-05 $15.71 / Jun-08 low | SOS: Jun-26 breakout surge | JAC: Jul-09 gap $21.25→$36.70 | Secondary Test highs: Jul-13 to Jul-24 | UTAD candidate: Jul-27 $76.50 pin with 17.5M vol | Distribution range: Jul-27 onward $76.50–$76.95,"Price jumped from ~$21 to $76.50+ in under 3 weeks — parabolic and unsustainable without consolidation | Jul-27 bar: 17.5M volume, $0.22 range — extreme absorption or distribution signal | Aug daily range consistently <$0.40 with declining but elevated volume — classic Wyckoff Distribution narrowing | No meaningful pullback post-markup suggests either controlled distribution or institutional holding | Two distinct climactic events: Jun-26 (news/catalyst) and Jul-09 (gap-up momentum)","Jul-27 volume (17.5M) is 20x+ average — unexplained without fundamental catalyst, extreme manipulation risk | Aug price pinned in $0.40 range for 18+ sessions — abnormal suppression | Parabolic markup from $15 to $76 in ~7 weeks is statistically unsustainable | No classic LPS or BUEC confirmation post-markup | Distribution cannot be ruled out — SOW may follow | Low-float / thin market behavior suspected given volume spikes vs. tight ranges",27,7,6,5,2
BLFS,Distribution,High,78,Mixed,Higher highs and higher lows dominant from Mar lows (~17.86) through Aug highs (~38.10) | Early phase shows tight trading range / re-accumulation | Late phase shows accelerating markup with expanding volume,"Effort-Result largely harmonious through markup | High volume thrusts (Jun-25 to Jun-26, Jul-22, Jul-28, Aug-19-20) producing commensurate price advance | Minor divergence emerging near Aug highs — wide spread on elevated volume but closes retreating from intraday highs","Low volume base in Mar-Apr accumulation range | Volume expansion confirms breakout from 20-22 range in May | Climactic volume spikes: Jun-26 (4M), Jul-22 (9.7M — Buying Climax candidate), Jul-28 (2.7M) | Aug volume moderating relative to price advance — mild distribution signal",Accumulation: Mar 2026 (~17.86–21.00 range) | Re-accumulation: Apr–May base (18.59–21.75) | Distribution potential forming: Jul-22 onward at 29–38 range | No confirmed distribution structure yet but climactic action noted,CO absorbed supply in Mar-Apr at depressed prices | Actively marked up through May-Jun | Potential early-stage distribution activity detected at Jul-Aug highs — testing demand and potentially offloading into strength,"Selling Climax (SC): Mar-03 (high vol, wide spread down, 1.24M) | Automatic Rally (AR): Mar-04/05 bounce to ~21.01 | Secondary Test (ST): Mar-09–13 range (~17.86 low) | Sign of Strength (SOS): May-18–21 breakout surge (972K–1.34M) | Last Point of Support (LPS): May-15 pullback (~20.27) | Markup acceleration: Jun-25–Jul-22 | Buying Climax (BC) candidate: Jul-22 (9.74M, 31.49 high, close 31.15 — reversal tail) | Automatic Reaction (ARxn): Jul-24 pullback | Secondary Test of BC: Jul-27 | Upthrust After Distribution (UTAD) candidate: Aug-19–20 (703K–681K, push to 38.10, close 36.97) | Potential top formation in progress",Mar low of 17.86 is primary support / accumulation base | Explosive SOS on May-18–21 confirms composite operator intent | Jun-26 volume (4M) marks institutional participation surge | Jul-22 is the single highest volume session (9.74M) — classic Buying Climax signature | Price unable to sustain above 31.49 after Jul-22 — temporary distribution zone | Jul-28 secondary surge (2.71M) retests highs and exceeds — UTAD or continuation | Aug-05 to Aug-21 steady grind higher on declining volume — weakening thrust | Aug-20 intraday high 38.10 on 681K — wide spread but moderate volume relative to prior climaxes — potential Upthrust,Jul-22 Buying Climax with 9.74M volume and failure to hold intraday high | Volume declining on Aug advance — effort-result divergence | Aug-20 spike to 38.10 not confirmed,27,11,3,8,3
NRIX,Distribution,High,62,Clean,Bullish long-term trend intact | Accumulation base ~14.00–16.00 (Mar–May 2026) | Explosive markup Jun–Aug 2026 | Recent consolidation/stall near 26.00–28.00 suggests exhaustion or early distribution,"Early markup: strong effort with strong result | Jun 8 spike (21M vol, wide range) = climactic buying | Jul–Aug: diminishing range on moderate volume = weakening upward effort | Aug 19–21: high volume with narrowing closes = potential supply entering",Accumulation zone: elevated vol on reversals (Mar 20: 5.4M) confirming absorption | Jun 8: 21M — climactic/shakeout event | Jun 25–26: 6M surge on breakout = SOS | Jul–Aug markup: declining volume trend on advances = weakening demand | Aug 19: 2.1M surge with upper wick = supply signal,Accumulation: Mar–May 2026 (~14.40–16.00 range) confirmed | Distribution: Early signs emerging Aug 2026 (~26.00–28.00) — insufficient data to confirm full distribution schematic,Absorbed supply aggressively Mar–May | Orchestrated markup through June | Potential early unloading near Aug highs — watching for UTAD or LPSY formation,"SC (Selling Climax): ~Mar 20 (5.4M vol, wide spread down, reversal) | AR (Automatic Rally): Mar 25 (2.1M, sharp bounce to 15.44) | ST (Secondary Test): Mar 30–31 | LPS (Last Point of Support): May 18–19 shakeout (~15.24) | SOS (Sign of Strength): Jun 8 (21M spike) + Jun 25 breakout | BU (Back-Up): Jun 9–11 retest | Markup Phase: Jun 22 – Aug 2026 | Potential PSY/BC forming: Aug 13–21 (~27.00–28.23 zone)",Clean Wyckoff accumulation schematic Mar–May | Jun 8 high-volume event acted as shakeout + SOS trigger | Price tripled from accumulation lows (~14.40) to Aug highs (~28.23) | Aug consolidation near highs on declining volume is cautionary | Upper wicks on Aug 19–21 suggest supply absorption at resistance,Jun 8 climactic volume (21M) may indicate institutional distribution camouflaged as breakout | Volume declining on Aug advance = potential hidden weakness | Aug 19–21 wide spread + upper wicks at highs = possible BC/UTAD | Insufficient post-Aug data to confirm distribution schematic | No confirmed LPSY or SOW yet — premature to call full Phase D distribution,27,8,5,5,4
FLYW,Distribution,High,72,Mixed,Primary uptrend intact from March lows (~11.17) to August highs (~19.59) | Higher highs and higher lows dominant | Recent consolidation zones forming at elevated prices | Short-term pullbacks absorbed with moderate volume,"Strong effort-to-result confirmation on May 6 gap-up (10.3M vol, +20% move) | June 24-26 surge (3.1M–5.4M vol) confirmed demand | Aug 5 thrust (5.7M vol, wide spread) shows continued markup | Recent Aug high (19.54) on moderate vol suggests possible effort divergence beginning",Volume expansion on upthrusts confirms institutional participation | May 6 climactic volume (10.3M) = Buying Climax candidate | June 25-26 secondary volume surge (5.0M–5.4M) | Aug 5 high-volume thrust (5.7M) | Post-spike volume contracting at highs = warning sign | Low-volume rallies near 19.00+ area suggest weakening demand,Large accumulation base built Mar–Apr (11.17–12.56 range) | Markup Phase D confirmed April 13–16 breakout | Current zone (18.00–19.59) shows potential early distribution characteristics | No confirmed distribution structure yet,Actively marking up inventory accumulated in Mar–Apr base | May 6 gap suggests news-driven institutional push | Continued buying into June rallies | August surge may represent last leg of markup or early distribution testing,"Spring/Selling Climax: 2026-03-19 to 2026-03-27 (11.17 low, low volume) | Sign of Strength (SOS): 2026-04-13 high-volume reversal (3.2M) | Last Point of Support (LPS): 2026-04-02 to 2026-04-12 low-volume test | Breakout/Markup Begin: 2026-04-15 to 2026-04-16 | Buying Climax Candidate: 2026-05-06 (10.3M vol, wide spread gap) | Automatic Reaction: 2026-05-11 to 2026-05-29 pullback | Secondary Test of BC: 2026-06-01 to 2026-06-11 | Renewed SOS: 2026-06-24 to 2026-06-26 | Potential Upthrust/BC2: 2026-08-05 (5.7M) and 2026-08-21 (19.54 high)","~70% total gain from March low (11.17) to August high (19.54) | Three distinct volume climaxes suggest institutional activity at key levels | Consolidation ranges (May–June, July–August) show orderly absorption | Price currently testing new highs near 19.54 with declining volume trend | Weekly range compression at highs (Aug 17–21) is a caution signal | Mar–Apr base was textbook accumulation with clear creek/spring structure","May 6 Buying Climax (10.3M vol) still unresolved — distribution possible | July 22 sharp drop (3.6M vol, wide spread) suggests latent supply | Volume declining on recent new highs (Aug 19–21) = effort-result divergence | Aug 21 high (19.",26,9,4,6,5
NCNO,Accumulation,High,72,Mixed,Higher lows forming from May 2026 lows (~14.29) | Higher highs progressing from ~15.0 toward ~20.92 | Bullish structure intact post-June 26 spring,Strong upside follow-through on expanding volume confirms effort/result alignment | Jun 26 spike (19.6M vol) with price breakout = climactic spring/SOS | Aug 13 breakout bar (2.95M) with +1.66 close confirms markup effort,"Declining volume on pullbacks (Mar–May lows) = absorption | Expanding volume on rallies (Apr 1, Jun 26, Aug 13) = demand dominance | Low-volume consolidation Aug 6–12 = re-accumulation | Volume contraction near highs (Aug 7–12) = healthy pause not distribution",Accumulation evident across Mar–Jun range | Mar–May washout = selling climax zone (SC near ~13.80) | Jun 26 ultra-high volume spring event | Post-spring markup confirms distribution has not begun,Actively absorbing supply through Mar–May trading range | Engineered spring on Jun 26 with immediate price recovery | Markup phase initiated late June through August | No evidence of distribution yet,Selling Climax (SC): ~Mar 27 low 13.80 | Automatic Rally (AR): Apr 1 spike to 18.44 | Secondary Test (ST): May 13–14 lows ~14.47 | Spring: Jun 26 low 14.38 on 19.6M vol with immediate recovery | Sign of Strength (SOS): Jul 1–Jul 7 rally to 18.87 | Last Point of Support (LPS): Jul 22–24 pullback ~16.13–16.56 | Markup Continuation: Aug 3–21 progression to 20.92,Trading range established ~13.80–18.87 | Jun 26 spring was definitive with 19.6M volume (highest in dataset) | Price broke above trading range resistance (~18.50) in Aug | Aug 13 gap-up bar with strong close signals continuation | Current price ~20.62 above former resistance = markup phase | Pullbacks shallow and low-volume = bullish,Apr 1 open gap (18.37→16.09 range) suggests potential volatility instability | Multiple false starts (Apr rally failed back to May lows) introduce phase timing uncertainty | Aug 17–20 slight distribution of daily gains warrants monitoring | No confirmed climactic volume at current highs yet but approach with awareness above 21.00,26,7,4,6,6
CALY,Distribution,High,74,Mixed,Uptrend (Mar–Jun 26) → Topping/Distribution Range (Jun 26–Aug 5) → Markdown initiation (Aug 6–present),Effort without result on upside post-Jun 26 highs | Aug 5–6 high volume with sharp price rejection confirms supply dominance | Declining price on moderate volume in markdown = efficient selling,"Climactic spike May 8 (8.09M, ~17.52 close) = Buying Climax (BC) | Elevated volume on down days Jun 15, Aug 4–6 | Volume contracting on rallies post-Aug 6 = bearish | High vol selling Aug 6 (3.0M, range 17.27–18.94, close 17.38) = Sign of Weakness (SOW)",DISTRIBUTION — price distributed between ~18.22–19.28 (Jun 18–Jun 29) after BC | Lower highs and lower lows emerging post-Aug 5,Composite Operator shows evidence of absorption near highs (BC May 8) followed by systematic distribution through Jun–Jul range | Active markdown initiated Aug 6 with supply re-entering on rallies,"Preliminary Supply (PSY): ~Apr 17 (15.36, 5.94M) | Buying Climax (BC): May 8 (17.52, 8.09M) | Automatic Reaction (AR): May 11–12 (16.11–15.73) | Secondary Test (ST): May 20–27 range | Upthrust After Distribution (UTAD): Jun 26 (19.25, 5.38M) | Sign of Weakness (SOW): Aug 6 (17.38, close below range, 3.0M) | Last Point of Supply (LPSY): Aug 3–5 rally to 19.57 rejected",BC at 17.52 (May 8) established supply ceiling | UTAD at 19.25 (Jun 26) trapped late buyers with high volume | Post-UTAD failure to hold gains = classic distribution confirmation | Aug 6 breakdown on wide spread = markdown phase entry | Price now at 15.79–15.89 testing prior accumulation base (Mar range ~12.88–14.58) | Rallies being sold; no sustained buying pressure evident,"Prior accumulation base (Mar–Apr: 12.88–14.58) may provide support — watch for re-accumulation signals | Volume on markdown not consistently climactic — markdown may be gradual | If price holds above 15.50–15.67 with volume expansion and close near highs, re-test of range possible | Small-float dynamics may exaggerate moves | Only ~15 days of markdown data — early to confirm full Phase D/E",25,7,5,6,7
WKC,Distribution,High,72,Mixed,Primary uptrend from accumulation base (~22.59) through successive markup legs to peak zone (~41.20) | Now showing declining highs and increased volatility compression suggesting trend exhaustion,"Effort/Result divergence present — large volume spikes on Apr-24 (3.19M), Jul-24 (4.37M), Jul-16 (2.71M) producing diminishing upside follow-through | Aug selling volume elevated with poor recovery closes","Accumulation base (Mar): elevated volume on down-days absorbed | Markup legs: confirming volume on breakouts Apr-24, Jun-26, Jul-9-10, Jul-13-16 | Distribution zone (Jul-16 onward): climactic volume with price failing to extend | Aug: persistent supply-side volume dominance","Accumulation completed: Mar 2026 (~22.57–23.09 range) | Markup Phase: Apr–Jul 2026 | Probable Distribution: Jul-16–Aug-21 (price range 35.52–41.20, repeated high-volume reversals, lower closes)",CO absorbed supply through Mar base | Aggressively marked up through Apr-Jul | Likely distributing into public buying on Jul-24 climax and subsequent rallies | Current behavior consistent with CO offloading positions,"SC (Selling Climax/Support): Mar-20 (3.34M vol, close 22.64) | JAC (Jump Across Creek): Apr-24 (gap 28.75–29.80, 3.19M vol) | Secondary Test of JAC: Apr-27–May-01 | Continuation Markup: Jun-26 (2.28M, new high 33.72) | Buying Climax (BC): Jul-24 (4.37M, high 41.20, close 38.14) | Automatic Reaction (AR): Jul-25–Aug-07 (drop to 36.11) | Secondary Test (ST): Aug-10–Aug-21 (rallies fail sub-38, lower highs)","Three distinct gap-up events (Apr-24, Jun-26, Jul-24) each followed by consolidation or reversal | Jul-24 BC prints wide spread with close well off highs — classic distribution signal | Aug structure shows consistent failure to reclaim 38.50+ | Range compression Aug-10–Aug-21 on declining volume suggests supply still overhanging | Lower highs sequence: 40.25 → 39.86 → 39.06 → 37.23 → 36.43 → 35.64",No confirmed Sign of Weakness (SOW) break below AR low (~36.11) yet — distribution not fully confirmed | Price still above Apr-24 JAC gap zone (~26–28) — structural support far below | Could be re-accumulation if 37.00–38.50 holds with volume contraction | Thin data post-Aug-21 limits projection confidence | Jul-24 climax could represent news-driven spike not purely CO distribution,25,7,5,5,8
HOPE,Distribution,High,72,Mixed,Bullish long-term | Price advanced from ~10.66 (Mar low) to ~14.59 (Aug high) | Recent consolidation/pullback pattern forming below Aug peak | Lower highs emerging post-Aug 5,Effort-Result divergence emerging | Large volume on Aug 3–5 with diminishing upside progress | Aug 19–21 show elevated volume with price declining — supply entering,"Volume expanded on advance phases (Apr 1, Jun 26, Jul 28) confirming markup | Recent volume spikes on down/stall bars (Aug 19: 1.2M, Aug 21: 1.4M) signal potential absorption by weak hands | Volume contracting on up days post-Aug 14",Prior Accumulation complete (Mar 2026 base ~10.66–11.05) | Distribution characteristics beginning to emerge near Aug highs | No confirmed distribution schematic yet — early warning stage,CO appears to have completed markup campaign | Possible early profit-taking/re-distribution near 14.45–14.59 zone | Testing demand below recent highs,Selling Climax analog (SC): Mar 9 low 10.66 high volume | Automatic Rally (AR): Mar 23 bounce to 11.38 | Secondary Test (ST): Mar 27–30 retest ~10.87–10.98 | Sign of Strength (SOS): Apr 1 high-volume breakout 11.70 | Last Point of Support (LPS): Apr area ~11.63–11.79 | Markup Phase: Apr–Aug sustained advance | Preliminary Supply (PSY) candidate: Aug 4–5 high near 14.48 | Buying Climax (BC) candidate: Aug 13–14 area 14.50–14.59 | Automatic Reaction (AR-dist): Aug 19 drop on volume | Sign of Weakness (SOW) early: Aug 19–21 failure to reclaim 14.40+,Price failed to sustain above 14.45 after Aug 13–14 peak | Three consecutive closes ~13.97 with mixed-to-elevated volume signals supply/demand balance shift | Aug 21 1.4M volume with narrow range and close at 13.97 — possible stopping action or continued distribution | 14.50 area acting as resistance | Range compression between 13.85–14.13 in recent sessions,No confirmed Upthrust (UT) yet — distribution not fully established | Could be normal LPS in ongoing markup if 14.00 holds | Single distribution event not sufficient to confirm Phase A of distribution | Watch for failure below 13.85 to confirm SOW | Volume on Aug 21 elevated but ambiguous — could be re-accumulation within markup,25,10,5,5,9
PBI,Distribution,High,68,Mixed,Bullish impulse (Mar–Apr) → Distribution range (Apr–Jun) → Markdown (Jul–Aug) | Lower highs and lower lows dominant since late July,"Strong effort on upside (Apr 21–22 spike, high volume) produced diminishing results above 15.00 | Aug decline shows moderate volume with consistent price deterioration — supply in control",Climactic volume Apr 21 (9.8M) and Apr 22 (8.0M) at highs = Buying Climax (BC) | Jun 18 and Jun 26 elevated volume near highs = Last Point of Supply (LPSY) signals | Aug volume declining but price continues lower = weak demand absorption,"Distribution: BC confirmed Apr 21–22 | AR (Automatic Reaction) into Apr 30 consolidation | UT/UTAD attempts at 15.85–16.56 range (May 18) | LPSY signals Jun 18, Jun 26 | Markdown confirmed post-Jul 02 break",Distributed aggressively Apr 21–Apr 30 near 14.60–15.85 zone | Maintained supply pressure through May–Jun range | Currently defending minimal positions; markdown underway with no visible accumulation support yet,"SC/Spring: Mar 18–19 (~9.69 low) | Creek cross/Markup: Mar 23 onward | BC: Apr 21 (9.82M vol, 14.63 close) | AR: Apr 30–May 01 (~15.46–15.53) | Secondary Test: May 06 (high vol shakeout, recovered) | UT/UTAD: May 18 (16.56 high, 4.9M) | LPSY: Jun 18 (8.0M, 17.50) | LPSY2: Jun 26 (8.36M, 18.12 high) | SOW: Jul 02 break below 17.00 | Markdown: Jul–Aug sustained","Apr 21–22 two-day climactic blow-off on 17.8M combined volume marks probable BC | Price failed to sustain above 16.00 after Jun peak | Jul 02 high-volume reversal bar (16.59 low) confirmed SOW | Aug stair-step decline with shrinking volume = no demand, not capitulation yet | 16.00–16.50 zone acting as near-term resistance | Current price ~16.00–16.50 approaching prior support; watch for secondary SC",No confirmed Selling Climax in markdown yet — further downside likely before accumulation phase | Aug volume drying up but price still declining = latent supply | Potential bear trap if 15.80–16.00 holds with volume reversal | Do not mistake low-volume drift for accumulation without SC + AR structure | Mar lows (~9.69) are extreme downside reference if markdown accelerates,24,10,5,6,10
