symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
BLFS,Distribution,High,78,Clean,Bullish markup trend intact | Higher highs and higher lows from May 18 onward | Price advanced from ~18.60 to ~37.20 (~100% gain) | Recent deceleration near 37-38 zone | Potential topping behavior developing Aug 25-28,Strong effort-result harmony through June-July markup | Jul 22 climactic spike (9.7M vol) with strong result | Jul 28 high volume (2.7M) strong result | Aug 19-21 renewed thrust | Aug 25 high volume (1.37M) with minimal price gain = effort-result divergence | Aug 27-28 declining price on sustained volume = bearish divergence,Mar-May: Low-moderate volume base building | May 18-20: Volume surge (972K-1.34M) signals accumulation completion | Jun 25-29: Explosive volume (1.9M-4M) confirms markup | Jul 22: Climactic volume 9.7M = Buying Climax candidate | Jul 28: 2.7M secondary push | Aug 25-28: Elevated volume with price stalling/declining = distribution signal,Accumulation: Mar 10 - May 17 (range ~18.00-20.50) | Spring event: Mar 11-13 (low 17.86) | Secondary Test: Apr 6-7 | Sign of Strength: May 18-20 breakout on massive volume | Markup Phase: May 18 - Aug 24 | Potential Distribution onset: Aug 25-28,Completed aggressive accumulation in Mar-May range | Executed markup campaign through May-August | Climactic buying activity Jul 22 and Jul 28 suggest CO distributing into strength | Aug 25 high-volume narrow spread = potential CO offloading | Aug 27-28 declining closes on volume confirms CO absorption of supply,Selling Climax (SC): Mar 10 (735K high vol sharp drop to 18.67) | Automatic Rally (AR): Mar 11-17 | Secondary Test (ST): Mar 20 / Apr 6-7 | Spring: Mar 13 low 17.86 | Sign of Strength (SOS): May 18-20 breakout | Last Point of Support (LPS): May 15 low | Markup acceleration: Jun 25-29 | Buying Climax (BC) candidate: Jul 22 (9.7M vol) | Secondary Test of BC: Jul 24-Aug 7 consolidation | Upthrust After Distribution (UTAD) candidate: Aug 19-21 | Potential Distribution top forming: Aug 25-28,Full Wyckoff cycle visible from accumulation to markup | ~100% price appreciation from accumulation base | Volume climax Jul 22 is the most significant event in the dataset | Price has held above prior resistance turned support (~28-30 zone) | Recent Aug 25-28 stall at 37.00-37.20 with high volume is a critical warning zone | Aug 28 close 36.38 on volume = potential early distribution signal | AR-to-SC ratio and range compression consistent with Wyckoff textbook structure,Aug 25 volume spike (1.37M) with minimal price advance = supply entering | Aug 27-28 consecutive closes declining on above-average volume | Potential Buying Climax already,30,11,3,7,1
DEI,Accumulation,High,62,Mixed,"Primary: Bullish (Mar lows ~9.12 → Jun highs ~12.82) | Secondary: Distributive/Corrective (Jul–Aug ranging 11.49–12.88) | Micro: Neutral-to-weak, lower highs forming since Jul 15",Effort-Result Divergence present: High-volume thrusts (May 6: 5.09M; Apr 16: 4.73M) produced strong price advance | Jul–Aug high-volume days (Aug 5: 3.78M; Jun 9: 4.22M; Jun 18: 3.11M) coincide with selling pressure and failed follow-through — supply absorbing demand,Volume declining on rallies (Aug 18–21: sub-1.1M) | Volume expanding on down/sideways days | Climactic volume on May 6 (5.09M) marked potential Buying Climax (BC) | Aug 5 spike (3.78M) on wide spread down suggests supply re-entering | Drying volume in Aug consolidation (596K–1.5M) ambiguous — could be Last Point of Supply or absorption,"Early phase (Mar–Apr): Clear Accumulation — Springs, tests, LPS events visible | May–Jun: Markup phase with BC behavior near 12.50–12.82 | Jun–Aug: Characteristics shift toward Distribution or Re-accumulation — range 11.49–12.88, with multiple UT/UTAD attempts failing",Operator appears to have accumulated Mar–Apr (9.12–10.00 zone) | Marked price up aggressively May 6 | Testing supply Jul–Aug in potential Distribution range | Absorption of supply ongoing but no confirmed SOS breakout above 12.88,"Selling Climax (SC): ~2026-03-20 (9.25 low, 5.06M vol) | Automatic Rally (AR): ~2026-03-25–Apr 8 (9.12→9.92) | Secondary Test (ST): ~2026-04-02 (9.04 low) | Sign of Strength (SOS): 2026-04-15–Apr 20 (breakout above AR high) | Buying Climax (BC): ~2026-05-06–May 8 (12.53 high, 5.09M vol) | Upthrust After Distribution (UTAD) attempt: ~2026-07-06–Jul 07 (12.79 high, reversal) | Secondary Test in Distribution: 2026-07-15 (12.97 high rejected) | Last Point of Supply (LPSY) candidates: Jun 9–10, Jul 15–17 | Spring/test absent in current Aug range","Price failed 3x to sustain above 12.50 (Jun 10, Jul 7, Jul 15) | Aug consolidation 11.49–12.16 is tight but on declining volume — ambiguous | Markup from 9.12→12.82 = ~40% gain; now in corrective/distributive phase | No confirmed re-accumulation SOS yet above 12.20 | Lower highs: 12.82 (Jun",,29,9,0,5,2
UNIT,Accumulation,High,62,Clean,Primary uptrend (Mar–Apr markup) | Secondary downtrend (May–Jul distribution/markdown) | Tertiary sideways (Aug consolidation ~9.27–10.33),Mar 31–Apr 1 high-volume surge with strong price result (Sign of Strength) | May 11 high-volume wide spread with poor close (Effort vs No Result — distribution) | Jun 18 high-volume selling (supply entering) | Jun 26 extreme volume narrow range (Stopping Action) | Jul 30 climactic selling volume 5.6M with sharp drop (Selling Climax candidate) | Aug 26–28 low volume narrow range (No Supply),Expanding volume on markdown (bearish) Mar–Jul | Climactic spike Jul 30 (5.6M) suggesting exhaustion | Drying volume on Aug consolidation (bullish absorption) | Low volume rallies Aug 12–28 suggest cautious re-accumulation,March low base = Accumulation (Phase A–B–C) | Apr–May peak = Distribution or Phase B top | Jun–Jul decline = Markdown / Distribution confirmed | Aug 2026 = New Accumulation Phase A–B forming (~9.27–10.33 range),"Accumulated Mar lows aggressively | Distributed Apr 17–May 11 zone (11.60–12.77) | Initiated markdown Jun–Jul | Currently absorbing supply in Aug range — intent unclear, watching for re-accumulation confirmation","Selling Climax (SC): 2026-07-30 (9.29 close, 5.6M vol) | Automatic Rally (AR): 2026-08-04–08-05 (~10.05–10.18) | Secondary Test (ST): 2026-08-07–08-11 (9.27–9.54 zone) | Sign of Strength (SOS): 2026-03-31–04-01 (7.82→10.01, high vol) | Upthrust After Distribution (UTAD): 2026-06-11–06-12 (12.52–12.75, exhaustion) | Last Point of Supply (LPSY): 2026-06-15–06-17 (12.88 fail, markdown begins) | Spring candidate: 2026-08-10–08-11 (9.315–9.39 low, low volume)","Clean accumulation base Mar 10–30 (7.56–8.15) | Powerful SOS breakout Mar 31–Apr 1 confirmed CO presence | Distribution range Apr 17–Jun 12 (11.60–12.77) with multiple distribution signals | UTAD Jun 11 (12.645 high) followed by rapid markdown confirms distribution | SC Jul 30 at 9.29 with 5.6M volume likely marks markdown exhaustion | Aug base forming between 9.27–10.33 | Shrinking volume on Aug rally attempts = No Supply condition | Price currently ~10.02–10.16, mid-range of Aug consolidation",No confirmed LPS (Last Point of Support) or SOS from Aug base yet | Aug rallies remain low-volume — lacks conviction for markup confirmation | Broader markdown trend not fully invalidated until sustained close above 10.50+ | Jun,28,7,4,8,3
PAX,Accumulation,High,62,Clean,Macro downtrend from April peak (~13.49) → current base ~10.55–11.80 | Short-term: lateral consolidation with higher lows forming cautiously | No confirmed uptrend,"Effort rising on down-bars (May 7: 2.27M vol, large spread down) with poor upside result | Recent up-bars on moderate volume showing improved result-to-effort ratio | July–August base showing diminishing spread on declining volume = absorption",High volume on selloff (May 7–13: climactic character) | Volume contraction during lateral base (Jun–Jul) = drying up of supply | August showing moderate volume on upswings = tentative demand emerging | No strong SOS volume spike yet,Net Accumulation bias — selling climax characteristics in May | Extended testing phase June–July | August showing modest constructive behavior | Distribution phase ended; re-accumulation probable,Appears to be absorbing supply in 10.55–11.80 range | No aggressive markup initiated | Testing patience of weak holders through prolonged lateral action | Likely building cause for eventual markup,"Potential SC (Selling Climax): 2026-05-07 (2.27M, wide spread down) | AR (Automatic Rally): 2026-05-29–06-02 (~11.65) | Secondary Test: 2026-06-22–06-24 (low 10.72) | Spring Candidate: 2026-07-29–07-31 (low 10.55, highest vol in range) | Back Up to Creek test: 2026-08-03–08-04 (volume expansion, price recovery) | LPS candidates: 2026-08-06, 08-10, 08-18, 08-20 (higher lows, declining vol)",Spring at 10.55 (Jul-31) on elevated volume then recovery = key structural low | August price holding above spring low consistently | Spread narrowing in August on moderate volume = supply exhaustion | Range approximately 10.55–11.85 | Cause building but insufficient for major markup signal | Price respecting lower channel of previous markdown,No definitive SOS (Sign of Strength) bar with strong close and high volume above creek | Aug 28 close weak (11.34) on moderate vol = possible supply re-entry | Multiple failed rally attempts above 11.80 | Structure could still resolve as redistribution if 10.55 Spring low breaks | Macro context (Apr–May breakdown) suggests caution on long entries without SOS confirmation,27,6,5,6,4
RLJ,Accumulation,High,62,Mixed,Primary uptrend from Mar lows (~7.15) to Aug highs (~12.57) | Current pullback from 12.57 high to ~10.77 low | Higher lows structure intact on macro view | Short-term lower highs forming post-Aug 6 break,"Upward effort from Apr-Jun well rewarded (strong price advance on rising volume) | Aug 6-7 sharp drop on elevated volume (1.8M–3.8M) = effort-to-downside with result | Recovery from 10.77 to 11.50 range on moderate volume = labored, incomplete effort",High volume climactic action at Aug 6-7 break (distribution or shakeout test) | Volume drying up on recovery bounce (Aug 12-28) = absorption but weak demand | Jun 26 volume spike (6.1M) = Buying Climax / Upthrust signal | May 1-8 surge (4.4M–6.2M) = markup acceleration,"Early period (Mar-Apr): Accumulation — tight range, low volume, spring on Apr 7 (~7.15) | Apr-Jun: Markup Phase confirmed | Jun 26 - Aug 5: Distribution/Topping formation at highs | Aug 6-28: Re-accumulation OR distribution continuation — unresolved",CO executed clear accumulation Mar-Apr | Aggressive markup through May-Jun | Possible distribution near 12.00-12.57 zone | Aug selloff may represent engineered shakeout (bullish) OR controlled exit (bearish) — ambiguous,"Spring/LPS: 2026-04-07 (~7.15 low, high volume) | Sign of Strength (SOS): 2026-04-08 to 04-09 rally | Buying Climax (BC): 2026-06-26 (12.03, 6.1M volume spike) | Automatic Reaction (AR): 2026-07-07 to 07-08 pullback | Upthrust After Distribution (UTAD) candidate: 2026-08-03 to 08-05 (~12.57) | Secondary Test / Shakeout: 2026-08-07 (11.13, 3.8M volume) | Creek Test / LPS candidate: 2026-08-10 to 08-28 range (~10.77–11.57)","1. Full Wyckoff cycle visible: accumulation → markup → potential distribution | 2. Jun 26 volume anomaly (6.1M) is single most significant event — likely BC | 3. Aug 6-7 collapse (12.89→11.09) on 1.8M+3.8M = possible shakeout OR distribution confirmation | 4. Recovery volume (Aug 12-28) averaging 1.2M–1.7M — insufficient to confirm strong re-accumulation | 5. Price consolidating in 10.83–11.57 range post-drop — range contraction, possible cause building | 6. Macro structure still bullish (price 57% above Mar lows)",Aug 6 gap-down open (12.89 open vs 12.57 prior close) suggests external shock or news event — invalidates pure technical read | Volume on recovery,27,7,2,6,5
CBZ,Accumulation,High,72,Mixed,Multi-phase: Accumulation base (Mar–Apr) → Markup (Apr–Jul) → Climactic Top (Jul 29) → Tight Consolidation/Distribution (Aug),"Jul 29 extreme volume (16.9M) with price jump ~$8 = Buying Climax (BC); Post-BC volume declining sharply with price locked in narrow 54.42–55.33 band = effort exhausted, result stagnant | Early markup (Apr–Jun) showed good price progression on moderate volume = healthy markup","Mar–Apr: Elevated volume on shakeouts/springs (accumulation signal) | Apr 28–29: Volume surge confirming markup breakout | Jul 29: Massive climactic volume spike (BC) — highest in dataset at 16.9M | Aug: Volume declining from 4.6M to sub-1M with price compressing in <1% daily ranges — Automatic Reaction (AR) absent, suggesting absorption or distribution in disguise","Early phase (Mar–Apr 24): Accumulation characteristics — shakedowns, volume on down-bars absorbed, spring-like behavior Mar 24 | Mid phase (Apr–Jul): Clean markup with higher highs/lows | Late phase (Jul 29+): Distribution signals — BC confirmed, price unable to advance, volume drying up near highs",Early: Composite Man absorbed supply in Mar $24–27 range | Mid: Markup campaign executed Apr through Jul with controlled volume | Late Jul: BC event suggests CO distributing into public buying frenzy on news/momentum | Aug: CO holding price in tight range ($54.42–$55.33) — either secondary test (ST) of BC or active distribution via thin-volume compression,"Preliminary Support (PS): ~Mar 24 ($24.29 low, 2.2M vol) | Selling Climax (SC) candidate: Mar 24 ($24.29) | Sign of Strength (SOS): Apr 6 breakout ($28.28, 1.7M) | Last Point of Support (LPS): Apr 13–24 consolidation | Buying Climax (BC): Jul 29 ($54.90, 16.9M) | Automatic Reaction (AR): Absent or extremely muted | Secondary Test (ST): Aug 3–28 narrow range compression","Jul 29 BC is the dominant structural event — price +$8 on 16.96M shares vs avg <1M = classic distribution climax | Post-BC price has NOT declined meaningfully — trading 54.42–55.33 for 22+ sessions | Volume decay from 4.6M → sub-600K suggests supply temporarily exhausted or trapped longs holding | No clear AR drop following BC is anomalous — could indicate ETF/index mechanics, hard float, or continued absorption | Range compression (daily ATR <$0.50) in Aug signals coil — breakout or breakdown imminent | Entire markup from $25 to $55 = ~120% gain providing large distribution profit motive","Absence of normal AR after BC is atypical — reduces distribution confidence | Extremely tight Aug range may indicate artificial price support rather than natural ST | Low float or index-rebalancing event could explain Jul 29 anomaly — fundamental catalyst unknown | If BC resolves to upside with volume, re-evaluation to Phase C/D markup required |",26,7,4,6,6
MQ,Accumulation,High,62,Mixed,Macro: Bullish (3.78 low → 18.69 high) | Micro (Aug): Consolidating/corrective | Structure: Higher lows forming post Aug-05 climax selloff | No clean LPS confirmed yet,Mixed | Mar–Apr: effort matched results (upside follow-through) | May-06 wide bar down on high volume = selling climax signal | Jun high-volume down bars with poor close = distribution effort | Aug-05 high-volume shakeout = potential ST or SC on smaller range,Mar–Apr: rising volume on advances = bullish | May-05 climax spike (6.98M) followed by reversal = exhaustion | May-27 volume spike (8.45M) on decline = selling pressure | Jun-01 high vol (9.55M) strong close = demand | Jun-03 high vol drop = supply re-entry | Aug-04/05 vol surge with wide range down = shakeout/SC candidate | Aug thinning volume on sideways = absorption,Pre-gap (Mar–Jun ~3.78–4.52): Accumulation range | Post-gap (Jun-25 ~15.80–18.69): Redistribution/Re-accumulation | Aug correction into 15.46–16.78 zone = potential re-accumulation base forming,"Pre-gap: CO accumulated aggressively in 3.78–4.52 range | Gap event (Jun-25) = mark-up/corporate event trigger | Post-gap: CO allowing price to digest | Aug shakeout = CO testing supply, clearing weak hands | Current sideways = CO absorbing at 15.48–16.60","PS (Preliminary Support): ~2026-05-15 (3.80 area) | SC (Selling Climax): ~2026-05-27 (3.72 low, 8.45M vol) | AR (Automatic Rally): ~2026-06-01 (4.35 close, 9.55M vol) | ST (Secondary Test): ~2026-06-03/05 | Price Gap/Markup: 2026-06-25 (4.0→15.80) | Post-gap SC candidate: 2026-08-05 (16.41 low, high vol) | LPS candidate forming: 2026-08-17–28 (15.48–16.47 range)",1. ~4x price gap on Jun-25 is a structural discontinuity — likely corporate action (reverse split or news catalyst) | 2. Post-gap price has failed to sustain 18.69 high and is forming lower consolidation | 3. Aug-05 shakeout on high volume with recovery = potential SC in post-gap range | 4. Volume declining into Aug sideways = absorption characteristic | 5. Price holding above 15.46 support = bullish near-term bias | 6. Mar–May pre-gap base ~3.78–4.52 was textbook Wyckoff accumulation,"Price gap on Jun-25 is likely a reverse stock split or equivalent — invalidates direct price comparison across periods | Post-gap volume significantly lower than pre-gap = thinner liquidity, signals less reliable | No confirmed SOS (Sign of Strength) bar in post-gap",26,7,3,6,7
CALX,Distribution,High,74,Mixed,Bearish | Lower highs from 54.97 (Mar-25) → 52.98 (Apr-20) → 51.88 (Apr-17) → 40.88 (Aug-13) | Lower lows confirming downtrend | No sustained higher-high sequence since Mar-25 peak,"Bearish divergence dominant | Large effort (high volume) on down days produces significant price drops (Apr-22: 4.36M vol, -8+ pts) | Rally attempts on moderate volume fail to recover prior highs | Aug rallies show diminishing upside with shrinking volume","High volume on sell-offs (Apr-22 4.36M, Jul-21 4.88M, Jun-23 2.80M) | Low volume on bounces indicating weak demand | Volume spikes at new lows = climactic selling attempts | Recent Aug volume declining on narrowing range = temporary equilibrium not confirmed reversal",Distribution confirmed | No re-accumulation base established | Each rally absorbed by supply | Price migrating from ~54 zone to ~37–38 zone = sustained markdown,Selling into strength | CO distributing on Mar rallies (51–54 zone) | Engineered breaks below support to trigger stops | Weak hands flushed on high-volume shakedowns | No evidence of institutional absorption at current lows yet,UTAD/Distribution Top: Mar-25 @ 54.97 | Sign of Weakness (SOW): Apr-01/02 break ~46 on heavy vol | Last Point of Supply (LPSY): Apr-17/20 rally to 51.88–52.98 fails | Secondary SOW: Jul-21 @ 34.26 intraday low on 4.88M vol | Multiple failed rallies = LPSY confirmations | Potential Selling Climax attempt: Jul-21 / Jun-25–26 zones,Price declined ~31% from Mar-25 high (54.97) to Aug-28 close (37.49) | Jul-21 spike low (34.26) on massive volume may represent SC candidate but no strong AR followed | Aug base (37.37–40.88) is narrow and low-volume — insufficient for confirmed re-accumulation | Repeated failures to sustain above 40 suggest supply still present | Current price ~37.49 approaching Jul lows,Jul-21 high-volume spike could be Selling Climax — premature to confirm without strong Automatic Rally | Aug range may be re-accumulation or dead-cat consolidation — needs volume confirmation on upside | No clear Phase E bottom yet — further downside to 34–35 zone possible | Thin volume in Aug reduces conviction of any phase call | Avoid long bias until clear Spring + volume confirmation,25,6,5,5,8
PENN,Distribution,High,72,Mixed,Uptrend exhausted at ~22.35 (April–June peak zone) | Lower highs and lower lows forming since late June | Current markdown accelerating below key support ~19.00,Large effort (volume) on April 23 spike to 17.26 confirmed markup | June 26 volume surge (19.77M) at highs signals climactic action (BC/UTAD candidate) | Recent downside bars on moderate volume suggest limited absorption,Climactic volume at June 26 top (19.77M) | Volume drying up on rallies post-July | Selling pressure persistent on declining volume — no buying absorption evident | August decline on steady volume confirms distribution,Distribution — supply overcoming demand since mid-June | No re-accumulation signs in current markdown phase,Distributing — CO appears to have offloaded inventory between April 23 breakout (17.26) and June 26 climax (22.12) | Now withdrawing support allowing markdown,"Spring/LPS: March 19 (13.60 low, high volume reversal) | SOS: March 31 (15.03 close, 7.44M volume) | Markup Phase: April–June | Buying Climax (BC): June 26 (22.12 high, 19.77M vol) | Automatic Reaction (AR): June 30 pullback | UTAD test: July 2 (22.09) | Sign of Weakness (SOW): July 8 break below 20.50 | Last Point of Supply (LPSY): July 16–21 rally to 21.72 failure | Markdown: August — progressive lower lows",Full Wyckoff cycle visible — accumulation (March) → markup (April–June) → distribution (June peak) → markdown (July–August) | Price now ~17.33–17.85 approaching prior accumulation lows | August 25 break below 17.75 is bearish continuation signal | No high-volume reversal bars suggesting markdown continuation | Range low from March (~13.60–13.80) represents ultimate downside magnet if support fails,Volume declining in markdown may indicate near-term exhaustion | Price approaching prior accumulation zone (~13.80–14.50) — watch for secondary accumulation | August 26 high volume (3.41M) on bounce attempt requires monitoring | Thin volume environment reduces signal reliability | No confirmed stopping action yet,25,9,5,5,9
HAPN,Distribution,High,72,Mixed,Uptrend from March lows (~13.05) to July peak (~21.25) | Topping/Distribution range ~19.00–21.25 | Current breakdown below range support | Lower highs and lower lows emerging post-peak,"Upthrust on 2026-07-02 (high 21.125, close 19.69) on heavy volume (6.76M) — effort up, result failed | 2026-04-28 spike (18.88 high, close 16.87, vol 13.36M) = selling climax/UTAD precursor | Recent down days closing near lows on moderate volume — effort confirms supply dominance","Climactic volume on 2026-04-28 (13.36M) — largest bar, wide spread down = absorption/distribution | 2026-06-17 spike (4.74M, wide range) = secondary test of supply | 2026-06-25–06-26 elevated volume on advance — last buying wave | July–August volume declining on rallies, elevated on declines — bearish",Distribution — smart money offloading into retail buying | No re-accumulation signals confirmed yet | Price failing to hold above 20.00 after multiple attempts,Distributing — manufactured rallies to sell into | Upthrust actions used to trigger stops and offload inventory | Current behavior: allowing price to deteriorate with minimal support,"Preliminary Supply (PSY): ~2026-04-17–04-20 (~18.02) | Buying Climax (BC): 2026-04-28 (18.88, 13.36M vol) | Automatic Reaction (AR): 2026-04-29–04-30 (~16.04) | Secondary Test (ST): 2026-05-06–05-08 (~17.49) | Sign of Weakness (SOW): 2026-05-13 (15.32 low, 2.30M) | Last Point of Supply (LPSY): 2026-06-17 (20.54 high, 4.74M, close 18.81) | UTAD candidate: 2026-07-01–07-02 (21.21 high, failed close 19.69, 6.76M) | Breakdown below ICE: 2026-07-23 onward | Phase E entry: August decline below 19.00 with lower highs","BC at 18.88 on 13.36M is dominant structural anchor | UTAD confirmed on 2026-07-02 — highest high (21.21), immediate reversal on massive volume | August price compressing 17.89–20.44 with declining volume on bounces | Support ~18.20–18.50 being tested repeatedly — erosion in progress | No climactic selling yet in Phase E — gradual markdown underway","No definitive selling climax in Phase E yet — markdown may be early stage | Short-term bounce possible from 18.00–18.50 support cluster | Volume drying up (Aug 11: 598K, Aug 14: 853K) could signal temporary equilibrium | Re-accumulation scenario not ruled out if price holds 17.80 with absorption signals | Small-cap/mid-cap liquidity constraints may distort volume interpretation",25,9,5,5,10
