symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
NWBI,Accumulation,High,74,Clean,Higher Lows established from Mar 2026 lows (~11.76) | Higher Highs confirmed through Jul 2026 (~16.16) | Price traveled from ~11.76 to ~16.16 (~37% appreciation) | Structure intact but pace slowing,Feb–Mar selling effort produced diminishing downside (effort without result = absorption) | Mar 20 anomalous volume (8.8M) on narrow range = climactic absorption / Selling Climax | Mar 25 volume spike (5.4M) = Secondary Test confirmation | Apr 28 breakout volume (2.2M) = SOS signal | Jul 28 volume surge (1.8M) on breakout to 16.16 = continued markup effort | Recent Jul 30–31 narrowing ranges on declining volume = effort-result divergence emerging,"High volume on downswings (Feb–Mar) signaling Selling Climax | Volume contracted during creek-testing phase (Apr–early May) = normal accumulation breath | Markup phases show rising volume on advances | Volume spikes at key breakout points (Apr 28, Jul 16, Jul 28) confirm SOS | Recent volume declining on range compression = early distribution concern",Accumulation completed: Feb–Mar base (11.76–13.50 range) | Accumulation Range: ~11.76–13.50 | Distribution NOT confirmed | Possible early re-accumulation or minor distribution forming at 15.50–16.16 zone | Net bias: Accumulated,CO absorbed supply aggressively during Feb–Mar selloff | CO marked up through Apr–Jul with controlled volume | CO testing commitment at Jul highs | Possible CO reducing exposure or rotating near 15.70–16.16 resistance | No confirmed CO distribution yet,"Selling Climax (SC): Mar 9 (2.08M, low 11.76) | Automatic Rally (AR): Mar 23–25 (~12.70) | Secondary Test (ST): Mar 18–19 (low 11.95–11.98, vol elevated) | Sign of Strength (SOS): Apr 28 breakout (~14.16, 2.2M vol) | Last Point of Support (LPS): May 12–15 pullback (~13.40–13.52) | Jump Across Creek (JAC): Jun 23–26 (price clears 14.86–15.14) | Backup to Creek (BU): Jul 6–10 (~14.78–15.11) | Continuation SOS: Jul 16 (15.67, 1.29M) | Jul 28 Thrust: 16.16 high on 1.8M",Accumulation base clearly defined Feb–Mar 2026 in 11.76–13.50 range | SC confirmed with volume climax Mar 9 | Full Phase A–D sequence traceable | Markup began Apr 2026 and remains intact | Jul 28 breakout to 16.16 is new high with strong volume | Price now consolidating 15.29–15.90 range post-breakout | Structure suggests either re-accumulation pause or early Phase B distribution forming | Support zone: 15.00–15.20 | Resistance: 16.00–16.20,Jul 30–31 narrowing range + declining volume after 16.16,32,9,1,9,1
HOPE,Accumulation,High,74,Mixed,Primary uptrend intact from ~10.51 low (Mar 2026) to ~14.23 high (Jul 2026) | Higher highs and higher lows maintained through markup | Recent consolidation near highs ~13.35–14.23 signals possible distribution range forming | No confirmed trend break yet,"Accumulation phase: High volume climactic selling (Feb 27: 1.30M, Mar 20: 2.48M) with diminishing price decline = effort absorbed | Markup phase: Apr 1 (2.65M) thrust confirmed SOS | Jun 26 (3.56M) high-volume up-bar = bullish thrust but potential climactic action | Jul 16 (1.36M) upside extension | Late July volume expanding on narrowing ranges = possible effort-result divergence emerging","Selling climax volume: Feb 27 1.30M | Capitulation/SC zone: Mar 2–12 decreasing volume on sideways = drying up | Spring/test volume low: Mar 16–19 low volume = successful test | AR/SOS thrust: Apr 1 2.65M = institutional demand | Jun 26 3.56M climactic up-volume at highs = potential BC/UTAD signal | Jul distribution zone: volume elevated on reactions, mixed on advances","Accumulation: Feb 23–Mar 20 (range ~10.51–12.22) fully completed | Phase A: SC ~Feb 27 (11.18 low, 1.30M) | Phase B: sideways Mar 2–19 | Phase C: Spring Mar 12 (10.51 low, low volume) | Phase D: SOS Apr 1 thrust 2.65M | Phase E: Markup Apr–Jun 2026 | Possible early Distribution: Jul 2026 range ~13.35–14.23 with climactic volume Jun 26",Accumulated aggressively Feb–Mar at ~10.51–12.00 | Marked up through Apr–Jun systematically | Jun 26 climactic volume (3.56M) suggests possible CO distribution activity beginning | Jul price holding ~13.35–14.23 range = CO either re-accumulating for further markup or initiating distribution | Behavior neutral-to-cautionary at current levels,SC (Selling Climax): Feb 27 ~11.18 low / 1.30M vol | AR (Automatic Rally): Mar 23–24 ~11.38 high | ST (Secondary Test): Mar 12 ~10.51 low / declining vol | Spring: Mar 19–20 ~10.57 low / low vol then 2.48M reversal | SOS (Sign of Strength): Apr 1 ~11.82 high / 2.65M vol | LPS (Last Point of Support): Mar 30–31 ~10.88–11.01 | BU (Back-Up): Apr 13–17 consolidation | Markup SOS continuation: Jun 24–26 thrust to ~13.64 / 3.56M (possible BC) | UTAD candidate: Jul 1 ~14.00 high / 1.27M | SOW warning: Jul 8 ~13.00 low / 1.78M high volume down bar,Full accumulation structure,,29,10,0,1,2
CXW,Accumulation,High,62,Clean,Primary uptrend intact from ~15.74 (Feb-23 low) to ~32.69 (Jul-21 high) | Higher lows structure respected through May-June | Recent July pullback breaking minor HL sequence | Potential lower high forming at 32.69,"Strong effort (volume) on Feb-12 and Feb-20 drops — shakeout character | Mar-17 breakout effort confirmed with follow-through | Jun-04 to Jun-10 high-volume thrust — strong markup | Jul-06 wide-spread bar on high volume (2.75M) closing lower — effort without result, bearish divergence | Jul-29/30 low volume on pullback — ambiguous",Climactic selling Feb-12 (2.47M) and Feb-20 (3.07M) — Selling Climax signatures | Volume expansion on Mar-16/17 breakout — Sign of Strength | Declining volume on Apr-May consolidation — normal re-accumulation | Expanding volume Jun-04 through Jun-18 — markup acceleration | Jul-06 high volume reversal bar — potential Buying Climax (BC) | Post-Jul-06 volume contracting on pullback — inconclusive,Deep accumulation: Feb-20 to Mar-13 (15.74–18.43 range) | Re-accumulation: Mar-20 to Apr-01 (~19.07–20.51) | Markup phase: Apr-02 through Jul-02 | Potential distribution beginning: Jul-06 to present with lower closes on elevated volume,Accumulated aggressively in Feb-Mar shakeout zone | Marked up steadily through April-May | Accelerated markup June — possible distribution into strength | Jul-06 spike high with reversal suggests CO may be offloading into retail buying,"Selling Climax (SC): Feb-20 (3.07M, wide down bar to 16.37) | Automatic Rally (AR): Feb-25 to Mar-03 | Secondary Test (ST): Mar-09/11 | Sign of Strength (SOS): Mar-16/17 breakout | Last Point of Support (LPS): Mar-27 to Apr-01 | Markup Phase: Apr-02 through Jul-02 | Potential Buying Climax (BC): Jul-06 (32.60 high, reversal) | Automatic Reaction (AR): Jul-07/08 drop | Potential Sign of Weakness (SOW): Jul-23 to Jul-31 declining closes","157% rally from SC low (15.74) to BC high (32.69) in ~5 months | Feb-12 gap down and Feb-20 follow-through formed textbook SC/ST structure | Jun-04 gap up on volume initiated final markup leg | Jul-06 bearish outside reversal on highest recent volume is critical warning | Current price ~29.90 — testing prior support zone 29.50–30.00 | If 29.50 breaks on volume, redistribution phase likely confirmed",Jul-06 high-volume reversal unconfirmed as BC — could be shakeout before higher move | Only 3 weeks of post-peak data — insufficient to confirm full distribution structure | Low float characteristics (volume spikes disproportionate) may distort Wy,29,9,3,6,3
PEB,Distribution,High,62,Mixed,Primary uptrend from ~11.57 (Mar 13) to ~19.75 (Jul 21) | Higher highs and higher lows dominant | Recent narrowing range and failed follow-through above 19.75 suggests weakening momentum | Topping structure forming July 2026,Strong effort-to-result through Apr–Jun markup | Jun 16–17 high-volume reversal bar (6.09M/6.43M) with wide spread but close well off highs = effort without result (bearish divergence) | Jul 22–23 narrow range at highs on declining volume then sharp reversal = classic upthrust behavior | Jul 30 wide-range down bar on above-average volume signals supply re-entering,Feb 26 spike (5.0M) = shakeout/spring candidate | Apr 8–9 breakout volume surge confirmed markup initiation | Apr 29 climactic spike (9.2M) = potential Buying Climax (BC) | Jun 16 (6.1M) + Jun 17 (6.4M) high-volume reversals = Automatic Reaction (AR) zone | Jul volume declining on rallies | Jul 30 elevated volume on down close = distribution pressure,"Feb–Mar 2026: Accumulation (Phase C spring ~11.57, Phase D markup initiation) | Apr–May 2026: Markup phase confirmed | Jun–Jul 2026: Transitioning to Distribution | Apr 29 BC → Jun 16-17 AR → range forming between ~18.33–19.78",Accumulated aggressively Feb–Mar at 11.57–12.50 range | Marked up through April–June | Now distributing into retail buying at 19.00–19.78 highs | Recent pullbacks absorbed but with increasing supply signature,"Potential Spring: Mar 13 (11.57 low, high volume reversal) | Sign of Strength (SOS): Apr 8–9 breakout (13.38–13.64, volume surge) | Buying Climax (BC): Apr 29 (14.72 high, 9.2M volume, closed 14.32) | Secondary Test: May 4–5 pullback | Markup continuation: May–Jun acceleration | Potential BC #2 / Upthrust After Distribution (UTAD): Jun 16 (19.39 high, 6.1M, reversal) | Automatic Reaction (AR): Jun 17 (close 18.33, 6.4M) | Secondary Test of BC: Jun 22–24 | Distribution range: ~18.33–19.78 | Potential Upthrust (UT): Jul 21–22 (19.75–19.93) | Jul 30 down bar = possible Sign of Weakness (SOW)","Full Wyckoff cycle visible from accumulation (11.57) through markup to potential distribution at 19.75 | Apr 29 climactic volume (9.2M — nearly 4x avg) is the most significant single event | Jun 16–17 double-top with extreme volume and reversal is high-conviction distribution signal | Price unable to sustain above 19.50 on multiple attempts | Jul 30 wide-range reversal bar (19.51→18.36, close 18.71) on 2.44M = renewed supply | Range of 18.33–19.78 defining potential Distribution Trading Range (",,29,11,0,6,4
PBI,Accumulation,High,62,Clean,Higher highs and higher lows established from Mar lows (~9.69) to Jul highs (~19.07) | Recent price unable to sustain above 18.50-19.00 resistance | Late July shows lower highs and lower lows — short-term trend weakening,"Feb-Mar: High effort (volume) with minimal upside result — accumulation confirmed | Apr 21-22: Explosive volume with large price advance — markup initiation | May 6 & 11: High volume with reduced upside follow-through — early supply emergence | Jun 18 & 26: Volume spikes with mixed closes — possible UTAD/supply test | Jul 30: High volume wide-range bar closing mid-range — effort without result, warning sign",Declining volume on rallies post-Jun highs | Elevated volume on down/reversal bars in late July | Volume expansion on failed breakout attempts above 18.50-19.00 | Overall volume trend contracting during consolidation — absorption possible but not confirmed,"Early phase (Feb-Mar): Classic accumulation — SC at 9.69, AR, secondary tests | Mid phase (Apr-May): Markup with SOS bars | Late phase (Jun-Jul): Distribution characteristics emerging — UTAD candidate at 19.07 | Net bias shifting toward distribution at current levels",Feb-Mar: Active accumulation — absorbing supply on weakness | Apr-May: Markup — operator distributing into strength | Jun-Jul: Possible secondary test of distribution range — operator may be offloading into retail buying,Selling Climax (SC): ~2026-03-18 low 9.79 | Automatic Rally (AR): ~2026-03-23-27 | Secondary Test (ST): ~2026-03-19 low 9.69 (Spring) | Sign of Strength (SOS): ~2026-04-17 to 04-22 | Last Point of Support (LPS): ~2026-05-06 low 13.88 | Buying Climax (BC) candidate: ~2026-04-21 high 14.87 | Upthrust After Distribution (UTAD) candidate: ~2026-07-30 high 19.07 | Sign of Weakness (SOW) candidate: ~2026-07-31 close 17.53 on elevated volume,Full Wyckoff cycle visible from accumulation (~10.00) to markup (~19.00) in ~5 months | Price failed to hold above 19.00 on Jul 30 high-volume reversal bar | Jul 31 gap-down and close at 17.53 is bearish engulfment of prior 2 weeks | Declining volume on recent advances signals waning demand | 17.50-18.00 zone is key support — loss would confirm distribution | Range 17.50-19.10 now defines potential distribution zone,Jul 30-31 high-volume reversal is most significant warning — possible UTAD confirmed | Price remains above all major structural supports — too early to confirm full distribution | Low volume days in Jul 20-28 range could indicate re-accumulation not distribution | Single climactic bar (Apr 21) may indicate mid-markup not terminal distribution | Extended markup without clear redistribution shelf makes phase E distribution call premature,27,8,5,6,5
VET,Accumulation,High,62,Clean,Primary uptrend (Feb–Mar 19 climax) | Distribution/markdown (Mar 20–Jul 6 low) | Reaccumulation base forming (Jul 6–present) | Early markup signal Jul 22–31,Mar 19 climax: extreme volume (11.7M) with large spread = Buying Climax (BC) | May 6 high-volume down-bar = Sign of Weakness (SOW) | Jul 6–7 low-volume narrow spread at lows = no selling pressure | Jul 22 volume surge with strong spread upward = effort confirming result (markup),Climactic volume Mar 19 (BC) | Elevated supply Mar 20–Apr 8 | Declining volume on selloff Jun–Jul = supply exhaustion | Surge volume Jul 22–23 on upthrust through range = demand entering | Volume contracting on Jul 27–28 pullback = normal test behavior,Post-BC distribution/markdown phase dominant Mar–Jul 6 | Absorption/reaccumulation evidence Jul 6–31 | Net bias shifting to accumulation at lows,Absorbed supply aggressively at lows (Jul 6–21 base) | Initiated markup Jul 22 with high-volume breakout | Testing for supply Jul 27–28 on declining volume (bullish test) | Resuming markup Jul 29–31,BC (Buying Climax): Mar 19 @ 14.42 | AR (Automatic Reaction): Mar 20–23 | ST (Secondary Test): Mar 27 | SOW (Sign of Weakness): May 6 | LPSY (Last Point of Supply): May 19–20 | Secondary markdown: May 21–Jul 6 | SC (Selling Climax): Jul 2–6 @ 8.74–8.99 | AR (Automatic Rally): Jul 7–8 | Spring/Test: Jul 10–21 narrow range low volume | SOS (Sign of Strength): Jul 22 breakout | BU (Back-Up/Test): Jul 27–28,"Mar 19 spike is textbook BC with 11.7M volume and massive spread | Price failed to make new highs post-BC = distribution confirmed | Jun–Jul decline absorbed at ~8.74 with diminishing volume = SC characteristics | Jul 22–23 SOS bar: volume 2.38M–3.48M, spread ~$0.85–$1.05 = institutional demand | Jul 27–28 pullback low-volume narrow spread = healthy BU/test | Jul 29–31 resumption with expanding price and volume confirms early Phase D markup",Overall structure from Mar high still ~17% below BC peak — overhead supply significant | Jul 22–23 rally partially retraced (Jul 27–28) — must hold above ~10.20–10.36 support | No confirmed LPS above prior resistance yet | Reaccumulation thesis invalidated if price breaks below 8.73 SC low | Broader market context unknown — exogenous risk not factored,27,11,5,6,6
TRIN,Accumulation,High,62,Clean,Downtrend (Feb) → Accumulation Range (Feb-Mar lows ~14.13–14.18) → Markup (Apr–Jun) → Consolidation/Distribution Test (Jun–Jul at 17.50–18.10),Feb–Mar: High volume on down bars = supply dominance | Mar–Apr: Volume declining on tests = supply absorption | Apr–Jun: Rising price on moderate volume = markup | Jun–Jul: High effort on Jun-29 breakout (~1.87M) with strong result; Jul pullback on lighter volume = bullish,Feb: Elevated volume on decline (1.4M–2.35M) signals distribution/selling | Mar lows: Climactic volume on 2026-03-16 (2.02M) = potential SC | Apr: Low volume consolidation = sign of absorption | May–Jun: Moderate volume on advance | Jun-29: Volume surge (1.87M) on breakout = SOS | Jul: Declining volume on pullback = normal LPS behavior,Accumulation — base built Feb–Apr between ~14.13–15.55; composite operator absorbed supply through multiple low-volume tests,Accumulating — absorbed Feb–Mar selling; engineered spring near 14.13 (Mar-16); markup phase initiated Apr onward; currently testing new support near 17.30–17.55,"Preliminary Support (PS): ~2026-02-23 (14.59 low, 2.35M vol) | Selling Climax (SC): ~2026-03-16 (14.13 low, 2.02M vol) | Automatic Rally (AR): ~2026-03-17–03-25 (bounce to ~14.74) | Secondary Test (ST): ~2026-03-27–04-01 (14.23–14.37 zone) | Sign of Strength (SOS): 2026-04-13–04-17 (breakout above range) | Last Point of Support (LPS): 2026-04-21–04-24 (~15.60–15.84) | Secondary SOS: 2026-06-29 breakout to 17.73 | Current LPS Test: Jul 2026 pullback to 17.26–17.55",Base duration ~7 weeks (Feb–Apr) | Range: 14.13–15.55 | Markup from 14.13 to 18.08 = ~28% advance | Jun-29 breakout on highest volume since SC = institutional participation | Jul pullback contained above prior resistance (now support ~17.26–17.55) | Volume declining on July retracement = demand still in control | Price compressing in narrowing range Jul-22 to Jul-31 ~17.26–17.72 = potential coil before next leg,No clean shakeout/spring with dramatic volume undercut | Jul range showing lower highs (18.08 → 17.93 → 17.78) = minor distribution risk | Volume on Jul advances thin (695K–835K) = reduced conviction | Failure to hold 17.26 would signal failed markup and potential Phase D rollover | Extended markup without significant consolidation increases retest risk | Current narrow Jul range could resolve either direction,26,8,6,7,7
PENN,Distribution,High,62,Mixed,Bullish from Feb lows (~11.66) to June peak (~22.36) | Price has since consolidated/pulled back to 20.27–21.88 range | Higher lows weakening | Current structure forming lower highs from June peak,"Feb 26 spike (14.64, vol 14.6M) = SOS effort with result confirmed | May 27 thrust (19.09, vol 6.6M) = strong effort with follow-through | Jun 10 (21.45, vol 6.1M) = strong result | Jun 26 (21.88, vol 19.8M HIGH) = anomalous volume with modest close = potential Buying Climax / UTAD signal | Jul volume shrinking on rallies = effort-result divergence","Feb accumulation: elevated volume on down days absorbed | Feb 26–27: SOS surge volume | Apr 23 thrust: 11.3M vol gap-up = institutional interest | Jun 26: 19.8M vol = highest in dataset, suspicious with limited net gain = distribution signal | Post-Jun: declining volume on attempted rallies = weakening demand","Early phase (Feb–Mar): Classic Accumulation — SC at 11.66, AR, ST, Spring-like behavior, SOS | Mid phase (Apr–Jun): Markup Phase D/E | Late phase (Jun–Jul): Possible Distribution beginning — high-volume reversal candles, narrowing range, lower highs","Accumulated aggressively Feb 11–26 | Marked up through April–June | Potential distribution activity beginning Jun 26 (massive volume, limited upside) | Now testing commitment of late buyers near 20–21 range",SC (Selling Climax): ~2026-02-13 low 11.66 | AR (Automatic Rally): ~2026-02-18 close 13.14 | ST (Secondary Test): ~2026-02-23 low 11.89 | SOS (Sign of Strength): 2026-02-26/27 surge to 15.64 | LPS (Last Point of Support): ~2026-03-09 to 03-18 pullback | Markup continuation: Apr–Jun | BC (Buying Climax candidate): 2026-06-15 to 06-16 high 22.36 | UTAD/Distribution trigger: 2026-06-26 vol 19.8M | SOW (Sign of Weakness emerging): Jul pullback to 20.12–20.57 with lower highs,Full Wyckoff accumulation cycle completed from Feb | 87%+ markup from SC low (11.66) to BC high (22.36) | Jun 26 volume anomaly (19.8M vs avg ~3M) is the critical pivot event | Price failed to extend meaningfully above 22.36 after climax volume | July consolidation range: 20.12–21.88 = potential Distribution TR | Shrinking volume on July rallies confirms weakening absorption | Multiple lower highs post-June peak,Jun 26 volume spike (19.8M) = 6x average — unconfirmed if accumulation re-entry or distribution | No confirmed breakdown below TR lows (~20.12) yet — premature to call full distribution | Could be re-accumulation in markup pause if 20.12 holds,26,9,3,7,8
DRH,Accumulation,High,82,Mixed,Bullish | Price advanced from ~9.21 (Mar-20 low) to 13.48 (Jul-31 high) | Series of HH/HL intact | No structural breakdown detected,"Positive correlation dominant | High-volume thrusts (Jun-26: 7.35M, Jul-21: 3.82M, Jul-31: 4.58M) produce price gains | Occasional high-vol narrow bars (Feb-27, May-22) signal temporary supply absorption","Accumulation-phase volume (Feb–Mar): elevated on down bars, drying up on rallies | Markup-phase volume (Apr–Jul): rising volume on upthrusts, declining volume on pullbacks (healthy) | Jun-26 volume spike (7.35M) = demand surge / possible SOS | Jul-31 elevated volume on up-close = continuation demand",Accumulation completed Feb–Apr in 9.19–10.67 range | Re-accumulation May consolidation ~10.25–10.79 | Distribution NOT evident — no climactic exhaustion pattern confirmed at current highs,Actively marking up | Absorbed supply during Feb–Mar base | Re-accumulated May | Aggressive markup Jun–Jul suggests CO in control with minimal supply overhead,PS (Preliminary Support): ~Feb-09 9.39 low | SC (Selling Climax): Mar-20 9.19 low / high volume | AR (Automatic Rally): Apr-08–Apr-17 bounce | ST (Secondary Test): Mar-30–Apr-07 low retest | SOS (Sign of Strength): Apr-08–Apr-17 thrust + Jun-04 breakout thrust | LPS (Last Point of Supply): May consolidation ~10.25–10.47 | BU (Back-Up): Jun-01 pullback to 10.83 | Markup acceleration: Jun-18 breakout above 12.11 | Phase E extension: Jul-20–Jul-31 new highs 12.75→13.48,Base formed over ~6 weeks (Mar–Apr) between 9.19–10.67 | May re-accumulation compressed range before renewed thrust | Jun-18 high-volume gap/bar (3.39M) marked breakout acceleration | Jul-21 (3.82M) and Jul-31 (4.58M) confirm institutional buying on new highs | Price appreciation ~46% from SC low (9.19) to current high (13.48) | Pullbacks shallow and volume contracts on dips = strength,Jul-30 wide-range reversal bar (13.22 open → 12.72 low → 12.91 close) on elevated volume may indicate temporary supply | Jul-23–Jul-24 minor distribution test warranting monitoring | RSI/momentum divergence possible at extended levels (not confirmed in price data alone) | No clear Buying Climax (BC) yet but extended run warrants caution on new longs without pullback confirmation | Low-volume days in May–Jun consolidation could re-emerge as resistance if markup stalls,25,9,5,6,9
BXMT,Distribution,High,78,Mixed,Primary Downtrend | Early range 19.25–20.35 (Feb) | Distribution top ~20.12–20.43 (Apr) | Markdown accelerating Jul–present | Series of LH/LL confirmed | No meaningful higher-low recovery sustained,"Effort exceeds result on rallies (high vol, minimal upside) | Result exceeds effort on declines (Jul 30–31: 5.2M–6.0M vol, price collapses 14.54 from ~16.40 prior) | Climactic selling Jul 30–31 = potential Selling Climax (SC) candidate",Low vol on counter-rallies (Apr 23–24: ~780K; Jun 12: ~777K) | High vol on break-downs (Mar 20: 3.99M; Apr 29: 4.34M; Jun 24: 3.06M; Jun 26: 4.18M; Jul 30: 5.29M; Jul 31: 6.0M) | Volume expanding on weakness = distribution/markdown confirmed | Climactic volume surge Jul 30–31 notable,Distribution dominant | No accumulation base formed | Each rally sold into | Composite operator distributing into strength since Apr highs,Bearish | Active distribution Apr 14–17 (20.01–20.43 highs on rising vol) | Markup failed; markdown initiated | Aggressive supply re-entering on every rally | Possible SC forming Jul 30–31,PSY (Preliminary Supply): Apr 16 high 20.43 | BC (Buying Climax): Apr 15–17 cluster ~20.12–20.43 | AR (Automatic Reaction): Apr 29 drop to 19.08 | UT/UTAD failure: Apr 17 retest | SOW (Sign of Weakness): Jun 24–26 break 17.11–17.47 | ICE break: Jun 30 close 16.95 | SC candidate: Jul 30–31 collapse to 14.11–14.54 on extreme volume,Price declined ~28% from Apr high (20.43) to Jul 31 low (14.11) | Jul 30 open 15.83 / low 14.90 / close 14.97 on 5.29M = panic selling | Jul 31 low 14.11 on 6.0M = potential exhaustion/SC | No base formation yet to confirm accumulation | Structure remains bearish until AR bounce and base develop | Next Wyckoff event to watch: Automatic Rally (AR) off SC | Watch for low-volume test of Jul 31 lows,SC not confirmed until AR bounce and ST (Secondary Test) observed | Further markdown possible if 14.11 breached on volume | No accumulation signals present yet | Premature accumulation call would be incorrect | Jul 31 close 14.54 leaves price vulnerable | Macro/sector context unknown — could accelerate further markdown,24,7,6,7,10
