symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
CLBK,Accumulation,High,62,Clean,Primary Uptrend (Feb–Jul) | Climactic Blowoff (Jul 17–21: 8→11.74) | Sideways Consolidation/Distribution (Jul 21–Aug 11) | Tentative Rebound Aug 11,Effort/Result Divergence Present — massive volume Jul 17–21 (16M→57M) produced price advance but Jul 21 close well off highs (11.74 H vs 11.08 C) indicating absorption | Aug 11 strong close on 10M volume = potential Sign of Strength (SOS) retest,"Climactic Volume Spike Jul 20–21 (36.8M, 57.5M) = Buying Climax (BC) signal | Volume contraction Jul 22–Aug 10 during ranging = supply absorption or distribution | Aug 11 volume expansion with upside close = demand re-emerging","Prior Accumulation: Feb–Apr (7.73–8.50 range, low volume tests, Spring-like behavior Mar 19–20) | Current Phase: Possible Distribution at highs OR re-accumulation after BC | Inconclusive — range too tight and short to confirm",CO completed markup from ~7.73 (Mar 19 Spring) to 11.74 (Jul 20 BC) | CO now either offloading into strength (distribution) or pausing before secondary markup | Aug 11 SOS-like bar suggests CO may be defending/absorbing,"Spring Candidate: 2026-03-19 (7.73 low, high volume reversal) | Sign of Strength (SOS): 2026-04-28 (gap up, 1M vol) | Last Point of Support (LPS): 2026-04-27 area | Markup Acceleration: Jun 26, Jul 16 | Buying Climax (BC): 2026-07-20 (36.8M) / Jul 21 (57.5M) | Automatic Reaction (AR): Jul 22–31 range compression | Secondary Test (ST): Aug 03–10 low volume drift | Potential SOS: Aug 11 (10M, close 11.11)",1. BC confirmed by volume (57M+) and wick rejection Jul 20–21 | 2. Post-BC price has held above 10.51 (Aug 4 low) — no aggressive markdown yet | 3. Aug 11 upside breakout to 11.11 on 10M vol = bullish re-test or new markup initiation | 4. Range 10.51–11.11 defines current TR boundaries | 5. Accumulation base (Feb–Apr) was textbook with decreasing volume on tests and spring behavior,Climactic volume Jul 20–21 (57M) = high distribution risk | Price has not made new high above 11.74 — potential lower high forming | Insufficient post-BC data to confirm re-accumulation vs. distribution | Volume contraction Jul 22–Aug 10 ambiguous without DOM/tape data | Aug 11 single-bar SOS unconfirmed — needs follow-through above 11.11–11.74 zone
ZIM,Accumulation,Low,42,Mixed,Primary downtrend from ~29.18 (Feb) to ~22.93 (May 29 low) | Partial recovery attempts | Lower highs dominant | Recent breakdown below 25.00 support accelerating decline,"Multiple high-effort days with poor upside results | May-05 spike (8.47M vol, high 29.30) failed to sustain — classic UTAD or bull trap | Aug-04 spike (3.41M vol, +1.29 close) fading immediately | Jul-06 gap-down (4.80M vol) shows supply overwhelming demand","Declining volume on rallies | Expanding volume on selloffs | May-05 anomalous spike (8.47M) — largest bar — closed far from high, bearish implication | Aug-04 elevated volume rally (3.41M) reversing sharply Aug-10/11 | Volume contracting into recent lows = possible selling climax developing",Distribution dominant | No confirmed accumulation base established | Feb-Mar range (~28.50–29.30) broke down | May-June recovery range (~24.50–26.00) now breaking down | Structural lower lows confirm net distribution,Appears to be distributing into strength | Engineered May-05 markup (possible UTAD/test of supply) then allowed decline | Current behavior consistent with CO managing inventory lower | No evidence of aggressive absorption at lows yet,PSY (Preliminary Supply): ~29.18 Feb-19 | BC (Buying Climax): May-05 spike to 29.30 on 8.47M vol | AR (Automatic Reaction): May-07 drop to 26.09 | ST (Secondary Test): May-08 to Jun range | SOW (Sign of Weakness): Jul-06 gap-down 4.80M vol | LPSY (Last Point of Supply): Aug-04 rally to 27.40 failing | Current: Potential creek break / markdown acceleration,"Feb-May range (~22.93–29.30) defines full structure | May-05 volume anomaly (8.47M, ~3x avg) is pivotal — close at 28.55 vs high 29.30 = significant wick rejection | Aug-04 to Aug-11 rapid 27.40→24.53 collapse = bearish engulfing of rally | 24.50 level now acting as resistance | Current price ~24.53 testing critical support | Diminishing volume on bounces throughout June-July | No constructive base-building behavior identified",May-05 spike ambiguous — could be shakeout (SC) rather than UTAD if absorption occurred | Short data window limits phase certainty | Low absolute volume levels make interpretation noisy | Aug-04 volume surge could represent institutional buying (accumulation test) — needs follow-through confirmation | Phase classification may shift rapidly if 24.00 holds with strong demand response
DHT,Accumulation,Low,38,Clean,Bearish bias dominant from Mar-02 peak (20.55) | Lower highs established Jun-22 (19.90) fails to reclaim Mar highs | Series of lower lows from May-27 onward | Recent stabilization 17.76–18.57 range lacks conviction,"Negative divergence at Mar-02 (high volume 13M, gap-fill reversal, poor result) | Jun-15 spike (7.85M) failed to sustain above 18.50 | Jun-26 (9.98M) heavy selling on downthrust confirms supply dominance | Aug volume declining into narrow range – inconclusive",Climactic volume Mar-02 (13.06M) – potential Buying Climax (BC) | Jun-22 rally volume (7.64M) – secondary test of distribution | Jun-26 (9.98M) – supply surge/Sign of Weakness (SOW) | Drying volume Jul-Aug (1.68M–4.3M) – possible Last Point of Supply (LPSY) or re-accumulation base forming | No sustained demand volume,Distribution dominant from Mar-02 high | Range 16.35–20.55 established | Current price 18.21 mid-range | Failure to return to upper range confirms distribution bias | No clear Spring or terminal shakeout confirming accumulation,Distributive posture – CO absorbed retail buying at Mar and Jun peaks | Jun-26 breakdown bar signals CO-sponsored markdown | Recent low-volume drift suggests CO absence or passive holding | No aggressive re-accumulation footprint detected,"Potential BC: 2026-03-02 (20.55 high, 13.06M vol) | AR (Automatic Reaction): 2026-03-12/13 (~16.84 low) | ST (Secondary Test): 2026-03-09 (19.09 high) | SOW: 2026-06-26 (9.98M, breakdown bar) | LPSY Candidate: 2026-06-22/23 (19.77–19.96, failed rally) | UT/UTAD Candidate: 2026-06-22 (19.90, above prior range briefly) | Current: Possible creek retest / LPSY zone 18.00–18.60","Mar-02 BC volume never exceeded – demand exhaustion signal | Three distinct rally failures below 20.00 (Mar, May, Jun) | Jun-26 SOW volume (9.98M) largest sell bar since BC – high significance | Price compressed into 17.76–18.87 range Aug with declining volume | No Spring confirmation – markdown not yet definitively underway | 16.35 low (May-29/Jun area) is critical support – breach = confirmed markdown",Phase classification ambiguous – could be re-accumulation within larger uptrend if 16.35 holds as Spring | Insufficient data on prior trend (no pre-Feb context) | Low Aug volume could indicate absorption not distribution | No clear Creek/ICE line definitively broken with follow-through | Range-bound action 17.40–18.90 for 2+ months reduces distribution confidence | Markdown confirmation requires sustained close below 16.35 on volume
AKR,Accumulation,Low,47,Mixed,Macro uptrend Feb→May (19.00→22.50) | Distribution/SOW Jun→Aug (22.90→20.08) | Current: Testing lower range support ~20.10–20.60,Mar 5 high-volume thrust (2.8M) with limited follow-through = effort without result | Jun 10 climactic volume (6.7M) sharp decline = supply overwhelming demand | Aug 6 wide-range down bar on 2.5M = renewed selling pressure,"Expanding volume on down moves (Jun 10, Aug 6) | Contracting volume on rallies post-Jun = weak demand | Recent volume (Aug 10–11) very low = possible drying up of supply or disinterest",Distribution dominant: Failed rally at 22.90 (Jun 9) | Lower highs since Jun | Breakdown below prior support levels | Possible secondary test forming Aug 10–11 if selling exhausted,Appears to be offloading: Distributed into strength Mar–Jun | Engineered markup to ~22.90 | Now allowing markdown | Late-stage absorption possible but unconfirmed,"PSY/BC candidate: Mar 5 (2.8M, 21.47 high) | Minor ST: Mar 5–6 reversal | Markup Phase: Mar→Jun 9 | UTAD/Distribution Top: Jun 9 (22.90, 1.29M) | SOW: Jun 10 (6.7M, -1.13 range) | LPSY candidates: Jun 15–17 | Markdown: Jun→Aug | Potential Spring/SC: Aug 6–10 zone","Jun 10 is the defining structural break — 6.7M volume with largest range down bar signals major supply entry | Price has retraced ~62% of Feb–Jun advance | Aug 10–11 volume collapse (886K, 144K) may indicate selling exhaustion | Current price 20.26–20.60 sits near Feb origin zone | No confirmed SOS (Sign of Strength) rally yet",Extremely low volume Aug 11 (144K) may reflect data anomaly or session truncation — verify | No clear SOS bar to confirm accumulation re-entry | Distribution structure is dominant; spring unconfirmed without higher-volume demand response | Risk of continued markdown toward 19.00–18.75 support if 20.08 breaks on volume
NOG,Accumulation,High,62,Mixed,Primary downtrend from ~31.17 (2026-03-27 high) to ~17.37 (2026-07-06 low) | Secondary recovery rally from 17.37 forming higher lows | Recent breakout impulse above 23.49 on elevated volume,"Effort exceeded result during markdown (high volume, large ranges, minimal recovery) | Recent 08-10/08-11 surge shows result exceeding effort (explosive price gain on strong volume — bullish shift)",Climactic selling volume on 2026-06-15 (5.67M) | Elevated supply on 2026-06-26 (7.22M) and 2026-06-29 (5.98M) | Absorption visible in late June–early July low-volume consolidation | Strong demand surge 2026-08-07 through 08-11 with volume expansion confirming markup intent,Net Accumulation — selling climax region identified late June/early July | Composite operator absorption evident in tight price action July 6–August 6 | Breakout surge 08-10 to 08-11 consistent with SOS (Sign of Strength),Actively accumulating — absorbed supply through June–July base | Initiating markup phase as of 08-10/08-11 | Earlier distribution phase completed at 31.17 peak in late March,PSY (Preliminary Supply): 2026-03-27 @ 31.17 | UTAD/Distribution Top: 2026-03-27 | LPSY: 2026-04-07 @ 29.61 | Markdown Phase: April–June | SC (Selling Climax): 2026-06-29 @ 17.76 low | AR (Automatic Rally): 2026-07-07–07-08 | ST (Secondary Test): 2026-07-06 @ 17.18 | LPS (Last Point of Support): 2026-08-03–08-06 range ~19.77–20.67 | SOS (Sign of Strength): 2026-08-10 breakout to 23.49 | BU (Back-Up) pending,Price declined ~44% from March peak to July trough | Creek resistance ~22.00–22.50 breached on 08-10 with volume confirmation | 08-11 gap-up open and continuation to 24.28 high signals aggressive demand entry | Base formation July 6–August 6 shows ~30 days of consolidation (sufficient for accumulation) | Volume on 08-10 (3.70M) and 08-11 (212K partial day) confirms institutional participation | Higher lows sequence: 17.37 → 19.77 → 20.24 intact,08-11 volume (212K) appears to be partial/incomplete session — confirmation needed | Extended markdown may indicate fundamental weakness not purely technical | Re-accumulation zones in Feb–Mar and April may cloud clean Wyckoff phasing | Thin volume in mid-accumulation base (July) could indicate lack of conviction | No confirmed BU (backup to creek) yet — premature to confirm full Phase D | Overall market context unknown — exogenous risk remains
ARR,Accumulation,Low,38,Mixed,Bearish-to-Neutral | Primary downtrend from ~18.34 peak | Multiple lower highs | Range compression between ~15.32–18.34 | Current consolidation ~16.33–16.75,"Weak effort-to-result ratio | High volume on down-bars (Mar-20: 7.68M, Jul-15: 8.27M) with limited recovery | Rally attempts on declining volume suggest weak demand | Supply re-entering on strength",Elevated volume on markdown bars | Recovery rallies show declining volume | Recent volume (Aug) moderate and uninspired | Jul-14/15 spike volume failed to sustain upside — distribution signal | Jun-26/30 volume spikes resolved lower,"Ambiguous — elements of both present | Selling climax candidate Mar-20 (SC: 15.32 low, 7.68M) | Automatic rally followed | But repeated tests of lows and failure to markup suggest distribution or re-distribution dominates | No clear sign of strength (SOS) confirmed",Likely defensive/distributing | Absorbing supply at lows but not aggressively marking up | Testing demand repeatedly without committing | Possible re-distribution within broader topping structure,"Potential SC: 2026-03-20 (15.32 low, 7.68M vol) | AR: 2026-04-02 (17.15 high) | ST: 2026-04-16/17 | Secondary tests multiple times Apr–May | UTAD candidate: 2026-07-15 (17.60 high, 8.27M — rejected sharply) | LPS candidates: Mar-23/24 | SOW: Jul-17 to Aug-11 decline | Multiple failed rally attempts",Range: ~15.32–18.34 with compression now ~16.30–16.75 | UTAD Jul-15 rejected on highest volume in dataset (8.27M) — bearish | Price unable to sustain above 17.00 post-UTAD | Lower highs since Jul-15: 17.30→16.61→16.43→16.63 | Current price (~16.67) sitting at mid-lower range | No markup phase initiated | Repeated tests of 16.30–16.40 support zone | Structure favors continued weakness or prolonged base-building,UTAD rejection on extreme volume is significant bearish signal | No confirmed SOS bar in recent action | Failed rallies on low volume post-Jul-15 | Support at 15.85–16.13 zone vulnerable if 16.30 breaks | Ambiguity between re-accumulation and re-distribution prevents high-confidence classification | Thin volume on bounces Aug-4 to Aug-11 suggests lack of institutional sponsorship | Phase assignment could shift to Phase D distribution if 16.08 breaks with volume
BRSL,Markup,Low,42,Clean,Primary downtrend from 13.90 (Feb-26) to 9.90 (Jul-30) | Potential base forming 9.90–11.55 | Lower highs persist | No confirmed uptrend,Aug-04 climactic volume (4.97M) with large range and strong close (11.30) suggests effort meeting result to upside | Prior down-thrust days showed supply absorption | Multiple high-volume down days with limited follow-through = effort vs result divergence favoring buyers near lows,"Climactic selling May-12/13 (3.56M/3.84M) = Selling Climax candidate | Volume contraction through Jun–Jul during drift lower = weak supply | Aug-04 volume spike (4.97M) largest in dataset = potential Sign of Strength or markup initiation | Post-spike volume normalizing (2.58M, 1.93M, 2.73M) = healthy test behavior",Leaning Accumulation | Selling climax May-12/13 | Automatic Rally May-21/22 | Secondary Test Jun–Jul | Spring Jul-30/Aug-03 near 9.90–10.09 | Aug-04 SOS-like thrust,Absorbing supply below 11.00–11.55 | Engineered shakeout Jul-30/Aug-03 to flush weak hands | Aggressive re-entry Aug-04 suggests operator-driven markup initiation,Preliminary Supply (PS): Feb-26 @ 13.90 | Buying Climax (BC): Feb-25/26 area 13.85–13.90 | Automatic Reaction (AR): Mar-10/13 @ 12.64–12.76 | Secondary Test (ST): Mar-23 @ 13.28 | Sign of Weakness (SOW): May-12/13 breakdown 12.77→10.75 | Selling Climax (SC): May-12/13 @ 10.75–11.53 range | Spring candidate: Jul-30/Aug-03 @ 9.90–10.09 | SOS thrust: Aug-04 @ 10.26→11.55 high | Back-Up (BU)/LPS: Aug-05–11 consolidation 10.90–11.36,9.90 low (Jul-30) represents lowest point and probable Spring | Aug-04 reclaimed 11.00+ on highest volume in dataset = high conviction thrust | Price consolidating Aug-05–11 above 10.90 = constructive | Range support ~10.09–10.25 | Range resistance ~11.55–12.30 | SOS needs confirmation via sustained trade above 11.55 | Current price ~11.24 sitting mid-range,No confirmed higher high yet | Failed rallies throughout May–Jul reduce confidence | 11.55–12.30 is significant supply zone requiring absorption | Spring not yet clearly confirmed with back-up and LPS sequence completed | Low PHASE_CONFIDENCE_SCORE due to prolonged choppy decline without clean Wyckoff TR boundaries | Aug-11 close (11.24) still below key resistance | Dataset ends early in potential markup — premature to confirm Phase D
DV,Accumulation,High,74,Clean,Primary uptrend established from ~8.61 low (2026-05-14) | Higher lows and higher highs confirmed | Markup phase underway | Recent parabolic extension on extraordinary volume warrants caution,"2026-02-27 strong effort+result (SOS) | 2026-06-26 massive effort (21.9M vol) with strong result (gap up, strong close) = Sign of Strength / Buying Climax candidate | 2026-08-07 extreme effort (38.4M vol) massive gap up = Buying Climax / Potential UTAD | 2026-08-10/11 low result on elevated volume = effort not producing upside = warning",Early phase: moderate declining volume on pullbacks (bullish) | 2026-06-26: volume spike 21.9M = institutional catalyst/SOS | 2026-08-07: 38.4M volume = climactic | 2026-08-10/11: volume drying up at highs with narrow range = absorption or distribution beginning,Accumulation base: 2026-02-23 to 2026-04-17 (~8.84–11.03 range) | SC=2026-02-23 (8.84) | AR=2026-02-27 (10.60) | ST=2026-03-16/17 | Spring/LPS=2026-05-14 (8.61) | SOS=2026-06-01/02 | Potential distribution forming above 13.20,Accumulated between 8.61–10.60 range | Markup executed through June–August | Climactic action on 2026-08-07 suggests CO may be distributing into strength | Narrow range compression post-spike (13.21–13.26) suggests controlled supply,"SC=2026-02-23 (8.84 low, elevated vol) | AR=2026-02-27 (10.60 high, 5.4M vol) | ST=2026-03-09 to 03-17 | Secondary Test/Spring=2026-05-13 to 05-14 (8.80–8.61) | SOS=2026-06-01 to 06-02 (10.54, high vol) | LPS=2026-06-08 (10.26) | Markup SOS=2026-07-06 (11.67, 5.6M) | Potential BC/UTAD=2026-08-07 (13.21–13.23, 38.4M vol)",1. 2026-08-07 gap-up on 38.4M volume (>16x avg) is a textbook Buying Climax signal | 2. 2026-08-10/11 show extremely tight range (13.21–13.26) on declining but still elevated volume = potential Automatic Reaction setup pending | 3. Full markup from 8.61 to 13.26 = ~54% gain | 4. 2026-06-26 was inflection catalyst (news/event driven) triggering Phase D acceleration | 5. Volume trend post-BC is contracting = supply entering,Buying Climax on 2026-08-07 extremely
HE,Accumulation,Low,34,Mixed,Primary Downtrend | Series of lower highs (16.20 → 15.96 → 15.44 → 13.93 → 12.88 → 11.68) | No higher-low sequence confirmed | Support eroding incrementally,"Bearish divergence dominant | Large effort on down days yielding large results (5/8/26, 5/11/26, 8/10/26) | Rally attempts on low volume fail to recover prior highs | 3/2/26 wide-range up bar on high volume produced no follow-through (absorption or failed thrust)","Climactic selling signals present (8/10/26: 5.59M, 5/11/26: 5.53M, 3/20/26: 7.73M) | Selling climax candidates at 11.68 and 13.39 lows | Post-climax volume declining (8/11/26: 1.86M) – potential exhaustion | Rally volumes consistently below selling volumes – no institutional demand confirmed yet",Net Distribution from mid-February highs (~16.20) to current (~11.85) | Possible Selling Climax (SC) forming at 11.29–11.68 zone | No confirmed Automatic Rally (AR) yet | No Spring confirmed | Early-stage Phase C conditions hypothetically forming but unverified,Distributing | Absorbed supply at 15.50–16.20 range Feb–Apr | Systematic markdown through May–August | Possible CO testing demand near 11.29–11.85 | No re-accumulation footprint confirmed,Preliminary Supply (PSY): ~16.20 (2/19/26) | Buying Climax (BC) candidate: 16.83 (3/2/26) | Automatic Reaction (AR): 14.29 (3/9/26) | Secondary Test (ST): 15.96 (4/17/26) | Sign of Weakness (SOW): 13.07 (6/10/26) | Last Point of Supply (LPSY): 13.57–13.76 zone (Jun–Jul) | Selling Climax (SC) candidate: 11.29 (8/10/26) | Potential AR forming: 11.845 (8/11/26 – insufficient data to confirm),Trend is a textbook markdown from distribution range 15.50–16.20 | Three high-volume flush events mark potential exhaustion zones | Post-SC bar (8/11) shows reduced volume and minor recovery – watch for AR follow-through | Price compressed into 11.29–11.85 – critical demand test zone | No base-building behavior confirmed; accumulation case requires multiple weeks of tight lateral action with volume confirmation,Only 2 bars post-SC – insufficient data to confirm Phase D/E transition | No confirmed AR or Spring structure yet | Volume on 8/11 recovery is light – could be dead-cat bounce | Broader downtrend structure fully intact – premature accumulation calls are high-risk | Lower-low sequence broken only if price holds above 11.29 and builds cause | Any close below 11.29 invalidates SC hypothesis and signals further markdown
NTST,Accumulation,Low,52,Noisy,Primary uptrend from March lows (~18.47) to July highs (~22.47) now reversing | Lower highs and lower closes forming post-July peak | Breakdown below 21.00 support accelerating,"Effort without result on upside (July 16–17 spike on modest volume, failed to hold) | Heavy volume on June 25–26 climactic move (~22–30M shares) with limited follow-through = Buying Climax (BC) signal | Recent downside bars on rising volume = supply emerging",Climactic surge June 25–26 (7.9M + 21.9M) = Buying Climax | Volume declining on rallies post-July peak | Volume expanding on down days Aug 7–10 = Distribution pressure | Aug 11 partial data insufficient but trend bearish,Distribution — Buying Climax (BC) confirmed June 25–26 | Automatic Reaction (AR) and failed rally sequence post-BC | LPSY (Last Point of Supply) likely formed ~22.26–22.47 range | No sign of re-accumulation yet,Distributing — CO used June climactic surge to offload supply | Markup phase exhausted | CO not defending price at 21.00 support,Selling Climax precursor (March low ~18.47) | Spring/Test (late March) | Sign of Strength rally to ~22.47 | Buying Climax (BC) June 25–26 | Automatic Reaction | Upthrust After Distribution (UTAD) attempt July 16–17 | Multiple LPSYs July–August | Sign of Weakness (SOW) Aug 7–11 breakdown,BC volume (21.9M on June 26) is anomalous — ~20x average daily volume | Price failed to sustain above 22.00 after climax | Aug 7–10 breakdown through 21.00 on above-average volume confirms supply dominance | Range: 18.47 (support) to 22.47 (resistance) | Current price ~19.89 approaching mid-range and prior accumulation zone,"Limited post-BC data to fully confirm distribution vs. re-accumulation | Aug 11 data is partial (early session) — phase confirmation premature | If 19.00–18.47 support holds with volume dry-up, re-accumulation possible | Climactic June volume may reflect news/event-driven move rather than pure CO activity | Small-cap liquidity constraints may distort Wyckoff volume interpretation"
