symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
PRVA,Accumulation,Low,Mixed,0,,,
PK,Accumulation,High,Clean,0,,,
SBLK,Distribution,Low,Mixed,0,,,
HTGC,Accumulation,Low,Clean,0,SC (Selling Climax): 2026-02-27 @ 14.10 / 10.16M vol | AR (Automatic Rally): 2026-03-04/05 to ~15.37 | ST (Secondary Test): 2026-03-12/13 @ 14.04 on declining volume | SPRING: 2026-03-27 @ 13.70 low on moderate volume (3.12M) — undercut of SC low | SOS (Sign of Strength attempt): 2026-03-31 to 2026-04-06 rally 13.89→15.26 on improving volume | LPS (Last Point of Support): 2026-04-09/10 @ 14.66–14.74 holding above spring | Secondary SOS: 2026-04-13/17 push toward 16.06 on 2.9M–2.6M vol | BU/Backup: 2026-04-23 to 2026-05-22 range 15.24–16.11 — testing creek resistance | Creek resistance zone: ~15.80–16.10 (prior AR high / multiple rejections),"1) Selling Climax Feb 27 is the dominant structural anchor — 10.16M volume represents approximately 5–8x average daily volume, textbook exhaustion signal; 2) Spring on Mar 27 @ 13.70 successfully undercut the SC low (14.10) and recovered — classic Phase C shakeout of weak holders; 3) Post-spring volume behavior is constructive — rallies carry 1.5M–3M vol while pullbacks compress to sub-1.2M, indicating absorption; 4) Price has built a trading range approximately 13.70–16.11 (~17% width) over ~3 months — meaningful cause accumulating; 5) May–June 2026 shows volume contraction (900K–2.2M range) with price holding 15.20–15.75 — consistent with Phase D LPS behavior and supply exhaustion; 6) Repeated tests of 15.20–15.30",
FSK,Accumulation,Low,Noisy,0,,,
CXW,Accumulation,Low,Mixed,0,,,
PENN,Transitional,Medium,Mixed,0,,,
AKR,Accumulation,Medium,Mixed,0,,,
DX,Accumulation,Low,Mixed,0,,,
KMT,Distribution,Low,Clean,0,,,
HOG,Transitional,Medium,Mixed,0,,,
IVT,Transitional,Medium,Mixed,0,,,
NMRK,Accumulation,Low,Mixed,0,"SC(2026-02-12,low=13.36,vol=5.24M) | AR(2026-02-18,high=15.57) | ST(2026-02-23,low=14.315) | Secondary_ST(2026-02-27,low=14.14) | Spring(2026-03-02,low=13.71) | Spring_Retest(2026-03-12,low=13.57) | SOS(2026-04-08,close=15.38,vol=1.80M) | SOS_Continuation(2026-04-17,high=16.66) | LPS_Candidate(2026-04-24,low=15.80) | Markdown_Retest(2026-05-14,low=14.78,vol=1.63M) | Deep_Pullback_Test(2026-",,
DRH,Distribution,Low,Mixed,0,"PS(Jan-02 @ 8.90, vol 2.53M); SC(Jan-02 wide-spread reversal bar, high vol); AR(Jan-09 @ 9.44); ST(Jan-20 @ 9.07); SPRING(Jan-27/28 @ 9.02–9.14, vol 6.72M — highest range volume); SOS#1(Feb-04 @ 9.63 close,",,
WTTR,Distribution,Low,Clean,0,,,
DNOW,Accumulation,Low,Mixed,0,,,
WERN,Accumulation,Low,Clean,0,,,
PBI,Transitional,Medium,Mixed,0,,,
RAMP,Accumulation,Low,Clean,0,"SC (Selling Climax): 2026-02-03 to 2026-02-04 (lows 22.32–21.71, volume 753K–884K); AR (Automatic Rally): 2026-02-",,
HE,Accumulation,Low,Mixed,0,,,
SHO,Markup,Low,Mixed,0,,,
PEB,Distribution,Low,Mixed,0,,,
BRSL,Accumulation,Low,Clean,0,"PRELIMINARY SUPPORT (PS): ~Jan 20 low 13.80 / SELLING CLIMAX (SC) PRIMARY: ~Jan 20-21, low 13.80, volume 2,150,600-2,737,200 / AUTOMATIC RALLY (AR): Jan 30, high 14.51, volume 2,302,100 / SECONDARY TEST (ST): Feb 12-13, low 13.39-13.41, volume 1,477,000-1,662,800 / SIGN OF WEAKNESS (SOW) / FAILED ACCUMULATION: Feb 23 - Apr low progression, price unable to hold above AR high, grinding to new lows 12.17-12.48 / MAJOR SELLING CLIMAX (SC2): May 12-13, catastrophic volume 3,564,000-3,845,800, price collapses to 10.75 — resets accumulation base / AUTOMATIC RALLY (AR2): May 21-22, rally to 11.46 on volume 1,951,500-2,015,200",,
NWBI,Distribution,Low,Clean,0,"PS(Preliminary Support): Jan 5 low 11.92 on expanding volume 728K after Dec decline | SC(Selling Climax)/Spring: Jan 2 low 11.84 vol 679K — minor climax | AR(Automatic Rally): Jan 8 high 12.47 vol 712K | ST(Secondary Test): Jan 13 low 11.96 vol 882K confirms accumulation base ~11.84-12.50 | SOS(Sign of Strength)-1: Jan 21 close 12.92 vol 1.487M — first breakout from base, spread 0.49 on highest volume to that point | LPS(Last Point of Support)-1: Mar 9 low 11.76 vol 2.085M — shakeout/spring of larger structure, undercuts Jan lows, high volume absorption | Anomalous Volume Event: Mar 20 vol 8.825M close 12.21 — likely forced/institutional repositioning, not cleanly Wyckoff but functionally acts as secondary SC | SOS-2: Apr 8-9 thrust 13.47→13.73 vol 1.31M-1.16M — breakout confirmation above Feb highs | LPS-2: Apr 13-22 consolidation 13.20-13.47 range on declining volume — healthy backtest | SOS-3/JAC(Jump Across Creek): Apr 28 close 14.16 vol 2.248M — decisive breakout, largest clean-trend volume event | LPS-3: Apr 29-May 15 pullback 14.20→13.32 on declining volume — orderly retest | SOS-4: May 20 upthrust continuation vol 1.422M, May 29 vol 1.597M |",,
AUPH,Accumulation,Low,Mixed,0,,,
ARR,Accumulation,Low,Mixed,0,,,
