symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
PRVA,Transitional,Medium,Mixed,0,,,
PK,Markup,High,Mixed,0,,,
SBLK,Accumulation,Low,Clean,0,,,
HTGC,Accumulation,Low,Mixed,0,"BC(Jan 5–6 ~19.03 high, vol surge); AR(Jan 7 low 18.21, 1.53M vol); ST(Jan 8–15 tests of BC zone); SOW(Feb 3–5 breakdown 18.09→16.22, extreme vol 4–4.9M); LPSY(Feb 9–12 rally to 17.06 on declining vol); Secondary_SOW(Feb 13 collapse to 15.",,
FSK,Accumulation,Low,Noisy,0,,,
CXW,Transitional,Medium,Mixed,0,,,
PENN,Distribution,Low,Mixed,0,,,
AKR,Accumulation,High,Clean,0,"BC(Feb-11-2026,22.36-to-20.54,vol=1457500); AR(",,
DX,Accumulation,Low,Clean,0,,,
KMT,Accumulation,Low,Mixed,0,,,
HOG,Accumulation,Low,Mixed,0,,,
IVT,Accumulation,Low,Mixed,0,SC(Selling Climax)=2026-01-05@27.75/vol=805000; AR(Automatic Rally)=2026-01-06-to-2026-01-08/peak=29.50; ST(Secondary Test)=2026-01-09@28.45; LPS(Last Point of Support)=2026-01-27-to-2026-01-28@28.51-28.57; SOS(Sign of Strength)=2026-01-30-to-2026-02-05/price=29.39-to-30.66/expanding_volume; BU(Back-Up/Creek Test)=2026-02-09-to-2026-02-13/range=29.93-to-30.59; Markup_Acceleration=2026-03-16/gap_to=31.67/vol=553800; Markup_Top_Zone=2026-04-17-to-2026-04-28/range=32.62-to-33.19; PSY(Preliminary Supply)=2026-05-19-to-2026-05-22/vol_surge=829700-to-1108100/price=32.43-to-32.89; BC(Buying Climax)=2026-06-08/price=34.28/vol=2707800; ARD(Automatic Reaction Down)=2026-06-15-to-2026-06-17/price_drop=34.62-to-34.20; Secondary_BC_Attempt=2026-06-16/high=36.15/vol=1351300; Potential_ST_in_Distribution=2026-06-18/close=34.33/vol=12086200_EXTREME,,
NMRK,Accumulation,Low,Mixed,0,"PSY=18.01(Jan-21); BC=18.25(Jan-22); AR=16.89(Jan-02); UTAD_ATTEMPT=17.64(Jan-05); SOW_MAJOR=14.56-13.36(Feb-11/12,vol:2.3M-5.2M); LPSY=17.35(Feb-09); SC_CANDIDATE=13.57(Mar-12,vol:1.71M); AR_FROM_SC=15.05(Mar-17); ST=13.71(Mar-02); SPRING=13.57(Mar-12); SOS=15.55(Apr-08)/16.66(Apr-17,expanding_vol); BUEC=15.80-16.03(Apr-23/24,declining_vol); FAILED_MARKUP_OR_LPSY2=17.13(May-08); SOW2=13.935(May-19,vol:1.27M); CURRENT_SC2_CANDIDATE=13.62(Jun-01)","1. Clean distribution structure completed Dec-2025–Jan-2026 with BC at 18.25 and textbook AR; 2. Feb-11/12 catastrophic SOW (gap-down, range expansion, 5.2M volume on Feb-12",
DRH,Transitional,Medium,Mixed,0,,,
WTTR,Distribution,Low,Mixed,0,,,
DNOW,Accumulation,Low,Mixed,0,,,
WERN,Distribution,Low,Clean,0,,,
PBI,Distribution,Low,Clean,0,,,
