symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
VISN,Markup,Low,42,Mixed,Prior uptrend (~17.5–19.5 Jan–Apr) violently broken | Gap-down from ~19.53 to ~9.90 (≈49% overnight) | Post-gap base forming in 10.00–13.00 range | No confirmed higher highs/higher lows sequence yet established,Pre-gap: Effort matched result in measured rally | Gap event: Extreme volume (20.5M+30M) with catastrophic price destruction — effort massively overwhelmed supply | Post-gap: Moderate volume with diminishing effort on rallies and declines suggesting absorption in progress | Recent consolidation 12.00–12.88 showing balanced effort/result,Pre-gap: Declining volume on rally (Feb–Apr) = weakening demand | Apr 28–30: Climactic volume spike (20.5M | 16.7M | 30.1M) = Selling Climax / Automatic Rally sequence | Post-gap: Volume normalizing 5M–12M range | Declining volume on downswings (positive) | Recent sideways range showing reduced volume = supply absorption,Accumulation Phase A–C structure forming post-gap | SC: Apr 28 (~9.47 low) | AR: Apr 30 (~13.22 high) | ST/Secondary Test activity: May–Jun consolidation | Possible Spring: May 19 (10.955 low) | Current price action in potential Phase C/D boundary,Pre-gap: Likely distribution at 18.50–19.67 zone | Gap event: Forced liquidation or major negative catalyst absorbed | Post-gap: Composite Man appears to be accumulating in 10.00–13.00 range | Defending 11.00–11.20 support on tests | Gradual mark-up attempts in Jun–Jul suggest early repositioning,Preliminary Supply (PSY): Feb 9–10 ~19.72 | Buying Climax (BC): Apr 27 ~19.675 | Automatic Reaction (AR)/Gap Collapse: Apr 28 ~9.47 | Secondary Test of BC: Apr 29–May area | Selling Climax (SC): Apr 28 ~9.47 | Automatic Rally (AR): Apr 30 ~13.22 | Secondary Test (ST): May 13–19 ~10.955–11.10 | Creek/Resistance Zone: 12.70–13.00 | Last Point of Support (LPS) candidate: Jun 5–8 ~11.70 | Sign of Strength (SOS) attempt: Jun 11–15 ~12.65–13.04,Catastrophic gap Apr 28 (≈-49%) dominates entire structure | Creates a classic Wyckoff cause-building base opportunity | AR high 13.22 defines upper creek resistance | SC low 9.47 defines support base | Price has recovered and is consolidating 12.00–12.88 for 6+ weeks | Volume declining on pullbacks within range (bullish absorption signal) | Jun–Jul trading range tightening near upper end of range | Jul 1–2 pullback to 12.15 on elevated volume = LPS test signal | Jul 6–8 stabilization above 12.00 = potential reaccumulation,Gap event cause unknown — fundamental risk not priced by
NMRK,Accumulation,High,62,Mixed,Primary downtrend from Jan highs (~18.25) into Feb-Mar lows (~13.57) | Basing range established ~13.57–15.64 | Higher lows forming since early March | Recent rally attempts capped ~16.87–17.45 zone,"Large spread down on 2026-02-11 (17.42→14.56) and 2026-02-12 (5.24M vol, close 14.33) = climactic selling effort with poor downside follow-through = supply exhaustion signal | Rally efforts from Mar–Apr show improving price response on moderate volume | May pullback on declining volume suggests supply absorption",Selling climax behavior: 2026-02-11 (2.3M) and 2026-02-12 (5.24M) = SC candidates | AR bounce to ~15.57 on 2026-02-18 | Subsequent retests on lower volume confirm supply reduction | Jun–Jul volume normalizing with modest upside progress | Spike on 2026-06-26 (5.47M) at ~15.27 warrants monitoring — possible test of supply or shakeout,Net Accumulation — evidence of absorption through multiple low-volume retests of lows | No distribution pattern detected at current price levels | Composite operator appears to be building position in 13.57–15.50 range,"Likely in late accumulation — absorbing supply on weakness, allowing minor shakeouts, testing commitment of weak holders | Range top resistance ~15.64–16.87 being probed | No clear sign of markup phase initiation yet","SC (Selling Climax): ~2026-02-11 to 2026-02-12 | AR (Automatic Rally): ~2026-02-18 (15.57) | ST (Secondary Test): ~2026-02-23 (14.315 low) | Spring candidate: ~2026-03-02 (13.71 low) | LPS (Last Point of Support) candidates: ~2026-03-12, 2026-05-19–2026-05-29 retests | SOS (Sign of Strength): 2026-04-08 surge, 2026-04-17 breakout attempt | BU (Back-Up): May pullback from ~16.87 to ~13.95 | Secondary Spring test: 2026-06-01 (~13.62 intraday low)","Range support: ~13.57–13.80 | Range resistance: ~15.64–16.87 | Feb climactic volume marks probable demand zone | Price holds above SC lows on all retests = bullish absorption | Jun–Jul price building higher lows (~14.37→15.72) = constructive | 2026-06-26 volume spike needs confirmation — if price holds above, supports LPS/SOS narrative | Current price ~15.40 is mid-range, approaching resistance cluster",May 2026 drop from ~16.87 to ~13.95 is deep (−17%) and may indicate distribution within range rather than simple LPS | 2026-06-26 anomalous volume spike (5.47M vs avg ~1.3M) unconfirmed in context | Multiple failed attempts to sustain above 16.00 suggest lingering supply | Markup confirmation requires sustained close and volume above ~15.64–16.00 with follow-through |
PGNY,Accumulation,High,78,Clean,Bullish | Series of higher lows and higher highs from mid-April onward | Strong impulsive move on 2026-05-08 (climactic gap-up) | Continued markup through July,"Positive alignment in markup phase | Large effort (4.4M vol) on 2026-05-08 produced large upside result (+24% gap) | Subsequent volume contraction on rallies suggests low resistance | Minor distribution effort on 2026-06-18 (3M vol, narrow spread, close near low) warrants monitoring",Selling climax volume spike 2026-02-27 (5.2M) | Accumulation base ~17–18.5 range on declining/moderate volume | Breakout volume confirmation 2026-05-08 | Volume declining on markup pullbacks (healthy) | Elevated volume on 2026-06-18 with bearish close (caution signal),"Accumulation completed | SC: 2026-02-27 (~16.75 low, 5.2M vol) | AR: 2026-03-06 (~18.49) | Secondary Test: multiple tests of 17.0–17.5 zone (Mar–Apr) | LPS: 2026-04-10 (~16.10) | SOS: 2026-05-08 gap breakout | Re-accumulation: 2026-05-11 to 2026-05-27 (~22.5–25.7 range) | BU/LPS: 2026-05-22–05-29 | Continued markup Phase E",Accumulation complete | CO absorbed supply ~16.10–18.50 range | Markup campaign underway | CO appears to be distributing partial positions on strength near 27–31 range | No confirmed distribution top yet,"SC: 2026-02-27 (16.755 low, 5.2M vol) | AR: 2026-03-06 (18.49) | ST: 2026-03-11 to 04-10 (multiple tests 17.0–17.5) | Spring/LPS: 2026-04-10 (16.10 low) | SOS: 2026-05-08 (gap to 23.39, 4.4M vol) | BUEC/Re-accumulation: 2026-05-11–05-27 | SOS2: 2026-06-01 (26.43 high) | Continued markup: 2026-06-26 to 07-08 (28.51–31.21 highs)",Full Wyckoff accumulation schematic visible from Jan–Apr 2026 | Selling climax Feb-27 is defining structural event | LPS at 16.10 provided clear entry signal | May-08 SOS was gap-and-go with 4x average volume | Re-accumulation consolidation May-11 to May-27 absorbed supply before next leg | Price now in extended markup near 30–31 resistance zone | Trend intact with no confirmed distribution top,Price extended ~85% from SC low (16.75) to current (31.21) — climax risk elevated | 2026-06-18 high-volume narrow-spread bearish close (3M vol) possible Upthrust
HE,Accumulation,Low,52,Clean,Primary uptrend (Jan–Feb) | Distribution topping (Feb 6–Mar) | Markdown (Mar–May) | Re-accumulation attempt (May–Jul),"Effort up Jan→Feb yielded results (price rose ~24%) | High effort on May 11 selloff (5.5M vol, -5.6% close) = climactic | Post-May effort declining with minimal downside result = absorption signal",Expanding volume on markup Jan–Feb | Climactic volume on selloff May 8–11 | Volume contracting in consolidation May–Jul = drying up supply | Jun 26 volume spike (4.5M) = possible SOS bar,"Distribution: Feb 6–Mar 6 (price peaked ~17.38, volume elevated, price failed to sustain) | Markdown: Mar–May (structured lower highs/lows) | Re-accumulation: May 12–Jul 8 (tight range ~13.07–13.93, volume contracting)",Distributed into Feb strength | Allowed markdown to ~13.07 | Now appears to be quietly re-accumulating in low-volume tight range,"PSY/BC: Jan 29 high 16.67 early warning | UTAD/SOW: Feb 6 high 17.38 on volume = Distribution climax | ST after Distribution: Feb 9–13 | Markdown begins: Mar 6 breakdown below 15.48 | SC (Selling Climax): May 11 — 5.53M vol, low 13.34 | AR (Automatic Rally): May 12–20 bounce to ~13.93 | ST (Secondary Test): May 22–Jun 1 drift to 13.17 | Spring candidate: Jun 22 low 12.72 | SOS candidate: Jun 26 spike 4.53M vol close 13.57 | LPS: Jun 29–Jul 8 narrow range, low volume",Price compressed in ~13.07–13.93 range for 8+ weeks | Volume steadily declining into range = supply exhaustion | Jun 22 low 12.72 undercut prior lows = Spring characteristic | Jun 26 high-volume up-close = potential SOS | Current price ~13.35–13.54 hugging LPS zone | No confirmed markup yet — price must reclaim 14.00+ to validate Phase D,"No strong SOS follow-through above 14.00 yet | Range remains below all prior structure | Markdown from 17.38 to 12.72 = 27% decline, re-accumulation unconfirmed | Jun 26 volume spike isolated — needs confirmation | Multiple failed rally attempts post-May | Low daily volumes may indicate disinterest not accumulation | Phase assignment could shift to Distribution Phase E (continuation markdown) if 12.72 breaks"
ARR,Accumulation,Low,42,Mixed,Bearish | Series of lower highs and lower lows from 19.31 peak | Multiple breakdown thrusts on elevated volume | Rallies consistently fade below prior resistance,"Effort without result on upside | High-volume down days produce follow-through | High-volume up days (e.g., 2026-01-16, 8.1M) fail to sustain gains — bearish divergence throughout","Volume expands on down thrusts (Jan-30, Mar-09, Mar-20, May-18) | Volume contracts on rallies indicating weak demand | Persistent low-volume bounces signal absorption is incomplete or absent","Net Distribution | No confirmed Sign of Strength (SOS) sustained | Multiple Signs of Weakness (SOW): Jan-30 breakdown, Mar-09 plunge, Mar-20 climactic drop to 15.32, May-15/18 fresh leg down | Current range (16.68–17.34) resembles weak re-accumulation but lacks confirming SOS",Bearish bias | CO appears to be distributing into rallies | No evidence of aggressive absorption at lows sufficient to reverse trend | Possible testing behavior in June–July range but unconvincing,Preliminary Supply (PSY): ~19.31 on 2026-01-16 | Buying Climax (BC) candidate: 19.31 high Jan-16 | Sign of Weakness (SOW-1): Jan-30 breakdown 18.35→17.26 on 7.5M vol | SOW-2: Mar-09 gap down 17.5→16.6 on 6M vol | Selling Climax (SC) candidate: Mar-20 low 15.32 on 7.68M vol | Automatic Rally (AR): Mar-23 to Apr-02 rally 15.43→17.14 | Secondary Test (ST): Apr-13–16 pullback | Failed re-test and renewed weakness: May-15/18 breakdown | Creek re-test zone: Jun–Jul 16.68–17.34,Price ranged 15.32–19.31 over period | Current price ~16.89 sits below all major breakdown levels | June–July action shows narrowing range and declining volume — potential cause-building or distribution continuation | No volume confirmation of genuine accumulation | Rally attempts capped near 17.34–17.65 repeatedly | Last three sessions show declining closes on moderate volume,No confirmed LPS (Last Point of Support) established | Rallies lack volume conviction — possible re-distribution forming | Breakdown below 16.47 would invalidate any accumulation thesis | Phase classification as accumulation would require minimum SOS on volume above 5M closing near highs | Current structure equally consistent with Phase D Distribution re-test or Phase E Markdown pause | Low-confidence environment — avoid long bias without clear SOS confirmation
PEB,Distribution,High,62,Mixed,Broad uptrend from Jan lows (~11.29) to Jun peak (~19.60) | Parabolic acceleration May–Jun suggests climactic action | Recent rollover from 19.60 high with lower highs forming | Current price ~17.77 breaking below near-term support,"Upthrust on 2026-06-16 (high vol 6.09M, wide spread to 19.39, close near high) followed by 2026-06-17 reversal (high vol 6.43M, wide spread, close 18.33) — effort up, result failed | 2026-04-29 climactic volume (9.23M) with upper wick — buying climax signal | Recent distribution range 18.33–19.60 shows diminishing upside progress on elevated volume","Buying Climax: 2026-04-29 (9.23M spike, price stalls) | UTAD candidate: 2026-06-16 (6.09M) | Distribution volume: 2026-06-17 (6.43M reversal bar) | Declining volume on rallies post-Jun peak | Increasing volume on declines (2026-07-08: 2.49M on breakdown bar to 17.77)","Early data (Jan–Mar): Accumulation characteristics — tests of lows with reduced volume, spring-like behavior near 11.29 | Mid-period (Mar–May): Markup phase confirmed | Late period (Jun–Jul): Distribution characteristics dominant — UTAD, supply bars, failed rallies",CO completed markup from ~11.29 to ~19.60 | Appears to be offloading supply in Jun–Jul range | Recent break of 18.30 support suggests CO withdrawing bids | Distribution range: approximately 18.30–19.60,"Preliminary Support / SC: 2026-01-28 (3.22M, low 11.29) | Spring/Test: 2026-01-30–02-03 (narrow range, low volume) | Sign of Strength: 2026-02-06 (2.24M, breakout to 12.38) | Backup/LPS: 2026-02-23–25 (pullback, holds) | Secondary Test: 2026-02-27 (5.0M climactic spike to 13.35) | Markup acceleration: Apr–Jun | Buying Climax (BC): 2026-04-29 (9.23M, 14.72 high) | Automatic Reaction (AR): 2026-04-30 pullback | Secondary Test (ST): 2026-05-04–05 | UTAD: 2026-06-16 (19.39 high, 6.09M) | Sign of Weakness (SOW): 2026-06-17 (reversal, 6.43M) | Last Point of Supply (LPSY): 2026-06-29–30 rally fails ~19.56 | Breakdown: 2026-07-08 close 17.77 below support",Price traveled ~73% from Jan low (11.29) to Jun peak (19.60) | Distribution range established ~18.30–19.60 | 2026-07-08 close at,
RLJ,Accumulation,High,68,Mixed,Primary Uptrend Broken | Higher-lows structure violated after 12.03 peak | Lower-highs forming since June 26 | Current price 11.07 represents ~8% decline from peak | Support zone 11.00–11.10 being tested,Effort NOT confirming result on upside near peak | June 26 spike to 12.03 on 6.1M volume failed to hold — classic UTAD signal | July pullback showing increased effort with diminishing recovery — bearish divergence | May markup phase showed healthy effort-result alignment (confirming markup),Climactic volume on June 26 (6.1M) at 12.03 high — probable Buying Climax / UTAD | Volume expanding on down days post-peak | May 1–8 markup volume surge (4.4M–6.2M) confirmed markup phase | April 7 selling climax (3.6M) at 7.15 low confirmed SC | Declining volume on bounces post-June 26 — bearish,Accumulation base: Jan–Apr 2026 (~7.15–7.70 range) | Markup phase: Apr 8 – Jun 26 (~7.15 to 12.03) | Distribution beginning: Jun 26 onward | UTAD candidate: Jun 26 spike to 12.03 | Current: Early distribution/markdown phase,CO completed accumulation quietly Jan–Apr | Drove markup aggressively May–June | Appears to be distributing into strength post-June 26 | Stopping action observed July 7–8 at 11.00–11.10 zone — CO may be testing demand before decision,SC (Selling Climax): Apr 7 @ 7.15 on 3.6M vol | AR (Automatic Rally): Apr 8–9 rally to 7.95 | ST (Secondary Test): Apr 22–23 @ 7.85–7.90 | SOS (Sign of Strength): Apr 27 – May 5 breakout with volume surge | LPS (Last Point of Support): Apr 29–30 @ 8.19–8.24 | BC (Buying Climax): Jun 26 @ 12.03 on 6.1M vol | UTAD (Upthrust After Distribution): Jun 26 spike | SOW (Sign of Weakness): Jul 7–8 break below 11.40 support | PSY (Preliminary Supply): Jun 8 @ 10.87,"1. Full Wyckoff cycle visible — accumulation → markup → distribution | 2. June 26 UTAD on highest volume of entire dataset (6.1M) is high-conviction BC signal | 3. Price rejected hard from 12.03, now -8% in 8 sessions | 4. July 8 close at 11.07 testing critical support at 11.00–11.10 | 5. Volume on down days (Jul 7: 1.8M, Jul 8: 2.4M) expanding vs. recent up days — distribution signature | 6. Recovery rallies post-June 26 are shallow and volume-light — weak demand | 7. May markup momentum was strongest phase — now exhausted",
HOPE,Distribution,High,62,Mixed,Higher lows and higher highs from March 2026 lows (~10.51) to July 2026 highs (~14.05) | Parabolic push into 14.00 followed by sharp rejection and declining structure,"Strong effort on 2026-03-20 (vol 2.48M, small range) signals absorption | 2026-04-01 large range+volume confirms SOS | 2026-06-26 climactic volume (3.56M) on narrow range = buying climax signal | 2026-07-08 high volume (1.74M) with wide down-bar = supply dominance","Accumulation phase (Mar 2026): elevated volume on up-days, drying volume on dips = demand absorption | Markup phase (Apr–Jun): rising volume confirming trend | Climax zone (Jun 25–Jul 1): volume spikes on narrow/reversal bars = distribution signal | Jul 6–8: declining price with elevated volume = bearish","Accumulation confirmed: Jan–Mar 2026 trading range (~10.51–12.79) with SC/AR/ST structure | Distribution characteristics emerging: Jul 2026 UTAD/BC at 14.05, followed by supply bars",CO absorbed supply through Feb–Mar 2026 range | Initiated markup April 2026 via SOS | Appears to be distributing into strength Jun–Jul 2026 near 13.50–14.05 zone,SC (Selling Climax): ~2026-03-12 low 10.51 | AR (Automatic Rally): 2026-03-20/23 bounce | ST (Secondary Test): 2026-03-27/30 retest ~10.87 | SOS (Sign of Strength): 2026-04-01 breakout vol 2.65M | LPS (Last Point of Support): 2026-04-06/07 ~11.65–11.88 | BC (Buying Climax): 2026-07-01/02 ~14.00–14.05 | AR (Auto Reaction from BC): 2026-07-06–08 drop to 13.00,"Full Wyckoff accumulation schematic completed from Jan–Mar 2026 | Clean markup phase Apr–Jun 2026 with higher lows | Buying climax signal at 14.05 with immediate rejection | 2026-07-08 closes at 13.13 on 1.74M vol — largest supply bar in weeks | Jan 2026 high ~12.36 acted as resistance, later became support = classic re-accumulation | 2026-06-18 anomalous volume spike (2.45M) on down bar = early distribution warning","Buying climax at 14.05 unconfirmed as full distribution top — could be minor reaction | Only 3 sessions of post-climax data — insufficient to confirm Phase A of Distribution | If 13.00 holds as support, re-accumulation possible | Absence of LPSY/UTAD confirmation keeps distribution thesis tentative | Low sample density post-July 1 limits structural conviction"
TRIN,Accumulation,High,72,Mixed,Primary downtrend Jan–Mar 2026 (17.20→14.13) | Accumulation base Mar–Apr 2026 (14.13–14.99) | Markup Phase D May–Jun 2026 (15.0→17.38) | Re-accumulation/consolidation Jun–Jul 2026 (16.72–17.76) | New markup attempt late Jun–Jul 2026,"Feb–Mar selloff: high volume with price deterioration (supply dominant) | Mar low ~14.13 with elevated volume = Selling Climax effort | Apr recovery on moderate volume = absorption confirmed | May 06 spike (2.03M, 17.38 high) = Sign of Strength effort with result | Jun–Jul consolidation: declining volume on narrow ranges = low effort, held price = re-accumulation",Selling Climax: 2026-02-23 (2.35M) and 2026-03-02 (2.39M) | Automatic Rally follows | Secondary Test Mar–Apr on declining volume | SOS bar 2026-05-06 (2.03M) confirms demand | Jun consolidation volume dry-up (600K–1.1M range) = healthy | Jun 29 breakout (1.87M) and Jun 30 (1.25M) = fresh markup volume,"ACCUMULATION | Selling Climax confirmed Feb–Mar | Spring-like low ~14.13 (2026-03-16, 2.02M) | Phase B testing completed | Phase C Spring: 2026-03-16 | Phase D markup: Apr–May | Re-accumulation: Jun 2026 | Phase D continuation: Jun 29 breakout",Absorbed supply aggressively Feb–Mar at 14.13–15.00 zone | Allowed markup May to test demand | Engineered re-accumulation Jun in 16.72–17.35 range | Initiated new markup Jun 29 with volume expansion | Behavior consistent with institutional accumulation and controlled markup,"Preliminary Support (PS): ~2026-02-23 (14.59L, 2.35M) | Selling Climax (SC): ~2026-03-02 (14.38L, 2.39M) | Automatic Rally (AR): 2026-03-04/05 (~15.31H) | Secondary Test (ST): 2026-03-16 (14.13L, 2.02M) = Spring | Phase B testing: Mar–Apr ranging 14.13–15.11 | Sign of Strength (SOS): 2026-05-06 (17.38H, 2.03M) | Last Point of Supply (LPS): 2026-05-07/08 pullback to ~16.91 | Re-accumulation TR: Jun 2026 (16.72–17.35) | Jump Across Creek (JAC): 2026-06-29 (17.73C, 1.87M) | Continuation markup: Jul 2026 (17.30–17.90)",Trading range low: 14.13 | Trading range high (initial): 15.31 | SOS breakout to 17.38 confirmed Phase D | Re-accumulation range: 16.72–17.35 (approx. 4 weeks,
AVO,Accumulation,High,62,Mixed,Primary downtrend from ~15.53 (Apr-08 peak) into Jun low ~10.07 | Secondary recovery underway from Jun-08 low | Higher lows forming since Jun-08 | Recent Jul breakout above trading range resistance,Jan-15 spike volume (4.19M) with wide range = selling climax (SC) candidate | Mar-13 high volume (2.72M) breakdown = sign of weakness (SOW) | Jun-08/09 extreme volume (2.04M / 5.11M) = selling climax + automatic rally (AR) | Jul-06 expansion volume (1.92M) with wide up-range = bullish effort confirming result,"Climactic selling: Jan-15, Mar-13, Jun-05, Jun-08, Jun-09 | Volume expansion on rallies (Jun-09, Jun-10, Jun-11, Jun-26, Jul-06, Jul-07, Jul-08) | Volume contraction on pullbacks post-Jun = bullish | Diminishing volume on recent consolidation = absorption complete",Net Accumulation — price base built between ~10.07–12.50 (Jun–Jul) | Earlier distribution phase visible Feb-19 peak (~15.02) through Apr-08 secondary high (~15.53) | Current structure favors re-accumulation after markdown,CO absorbed supply heavily Jun-08/09 at lows | CO defending range through Jun consolidation | CO initiating markup Jul-06/07/08 with expanding price and volume | Markup phase consistent with CO-driven price engineering,"SC (Selling Climax): Jan-15 ~10.37 low / Jun-08 ~10.07 | AR (Automatic Rally): Jan-16/20/21 | ST (Secondary Test): Jan-22–Feb area | LPSY (Last Point of Supply): Apr-15 ~13.74 | SOW (Sign of Weakness): Mar-13, Apr-20/21, May-27/29 | Spring/Terminal Shake: Jun-08 ~10.07 (lowest low, high volume reversal) | LPS (Last Point of Support): Jun-17/22/30 zone ~11.07–11.39 | SOS (Sign of Strength): Jun-09 rally, Jun-24/26, Jul-06 | BU (Back-Up): Jun-29/30 minor pullback | JAC (Jump Across Creek): Jul-06 break above ~12.50 resistance",Jan-15 low (10.37) and Jun-08 low (10.07) form double bottom / terminal selling structure | Jun-09 single-day volume (5.11M) is largest in dataset — strong absorption signal | Price recovered from 10.07 to 13.57 (+34.8%) in structured rally | Jul-06 breakout on 1.92M volume closes at 13.29 — highest close since May | Jul-07/08 continuation confirms breakout validity | Range from ~11.07–12.50 acted as creek; now broken above | Trend structure shifting from downtrend to early markup,"Multiple failed rallies (Feb-19, Apr-08) warn of distribution re-engagement if markup stalls near 14.00–15.00 | Overall context shows prior distribution at highs — structural damage is significant | Jun–Jul recovery volume good but"
