symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
VISN,Accumulation,Low,38,Mixed,Bearish macro trend (Jan–Apr 27) | Violent dislocation gap (~50% drop Apr 28) | Partial recovery attempt (Apr 29–30) | Secondary downtrend/distribution (May–Jun) | Narrow ranging/attempted stabilization (Jun–Jul),Pre-dislocation: rising volume with declining price = supply dominance | Apr 28–30: extreme volume with chaotic price action = panic/capitulation | May–Jun: elevated volume with minimal upside progress = absorption uncertain | Jul: reduced volume on lateral chop = inconclusive,"Jan–Apr 27: moderate volume, gradual price erosion = steady distribution | Apr 28: 20.5M surge (climactic — Selling Climax candidate) | Apr 29–30: 16.6M / 30.1M = secondary reactions, high volatility | May: 6.8M–13.9M elevated, declining gradually | Jun–Jul: normalizing 3–10M range, no clear demand surge",Pre-Apr 28: Distribution confirmed (Phase B/C breakdown) | Apr 28–30: Potential Selling Climax + Automatic Rally sequence | May–Jun: Re-accumulation attempt inconclusive; price unable to reclaim 13.00 | Jul: Tight lateral range 11.77–12.49 suggests potential base building but insufficient breadth,Pre-dislocation: Composite Man distributing 17.50–19.50 range | Post-dislocation: Ambiguous — possible absorption at 9.47–12.80 zone but no conviction markup | Recent: CO appears passive; no clear campaign visible,Preliminary Supply (PSY): ~Feb 6–9 peak 19.72 | Buying Climax (BC): Apr 27 high 19.675 | Sign of Weakness (SOW)/Dislocation: Apr 28 catastrophic gap to 9.47 | Selling Climax (SC): Apr 28 low 9.47 vol=20.5M | Automatic Rally (AR): Apr 29–30 to 13.22 | Secondary Test (ST): May 1–8 retest lows 11.57–11.93 | Creek/Resistance: 12.65–13.00 zone | Last Point of Support (LPS) candidate: Jun 5 / Jul 2 lows ~11.65–11.77,"Catastrophic gap Apr 28 (19.675→9.47) destroyed prior structure entirely | 50%+ single-session loss indicates non-market structural event (halt/reverse split/corporate action — verify data integrity) | Post-event trading range 9.47–13.22 = Creek resistance at 12.80–13.04 | Price has tested Creek 3x (Jun 15, Jun 22, Jun 30) without sustained breakout | Volume declining on rally attempts = weak demand | Jul range tightening (11.77–12.49) = potential spring setup but unconfirmed | No Sign of Strength (SOS) bar yet visible",DATA INTEGRITY WARNING: Apr 28 open=9.64 vs Apr 27 close=19.53 suggests possible reverse stock split or corporate action — Wyck
NMRK,Accumulation,High,62,Mixed,Primary downtrend from ~18.25 (Jan 22) to lows ~13.57 (Mar 12) | Basing range established ~13.57–15.64 | Recent higher lows forming | Tentative upward bias but no confirmed markup,Large-volume down days (Feb 11–12: 2.3M–5.2M) produced climactic price drops suggesting selling exhaustion | Recovery rallies on moderate volume show limited upside follow-through | Jun 26 volume spike (5.47M) on narrow range suggests absorption or test,Climactic selling: Feb 11–12 | Elevated volume on down-tests with price holding = absorption signal | Volume contracting on reactions within range = bullish drying up | No strong markup volume yet confirmed,Accumulation bias — structure consistent with base-building after distribution/markdown phase | Price holding above climactic lows | Repeated tests of 13.57–14.30 zone with diminishing selling pressure,Likely absorbing supply in 13.57–15.64 range | No aggressive markup initiated yet | Testing behavior visible in Mar–Jun lateral action,Preliminary Support (PS): ~Feb 11 14.95 close after wide spread down | Selling Climax (SC): Feb 12 low 13.36 on 5.24M volume | Automatic Rally (AR): Feb 18–19 to ~15.57 | Secondary Test (ST): Mar 12 low 13.57 | Creek/Resistance: ~15.57–15.97 zone | Spring candidate: Mar 12 13.57 | Last Point of Support (LPS): multiple tests Jun–Jul ~14.68–14.87 | Sign of Strength (SOS) attempt: Apr 8–17 rally to 16.66 | Back-Up Action: Apr 21–May 19 pullback to ~13.95,,Second significant drop May 14–19 to 13.95 raises re-accumulation vs. continued distribution question | Price failed to sustain above 16.66 resistance on SOS attempt | Jul 8 close 15.40 remains below prior SOS highs | Multiple lower swing highs in Apr–May suggest overhead supply not yet cleared | Narrow ranges with moderate volume in Jul = indeterminate | No confirmed Jump Across the Creek (JAC) yet
PGNY,Accumulation,High,78,Mixed,Bullish | Higher lows established from Apr low (~16.10) | Higher highs sequence: 18.64 → 22.33 → 26.43 → 28.99 → 31.36 | Ascending structure intact,"Positive Effort-Result harmony in markup phase | May 8 gap surge (vol 4.4M, +~24% gap) = climactic effort with strong result | Continued advance on moderate volume confirms absorption | Minor negative divergence Jul 7–8 (declining closes on elevated vol)","Feb 27 Selling Climax spike (5.2M vol, wide spread down) = SC event | Mar–Apr base on declining volume = Sign of supply exhaustion | May 8 volume explosion = SOS confirmation | Jun–Jul markup on sustained moderate vol = healthy trend | Jul 7–8 slight vol expansion with upper wick = caution",Accumulation confirmed complete | Phase: Feb 27 SC → Mar–Apr Creek (17.50–18.50 range) → Apr 10 Spring (~16.10) → Apr 13 Test → May 8 SOS breakout | Secondary Re-accumulation: May 11–Jun 11 consolidation (~22.24–26.09) with LPS Jun 3–4,Bullish CO fingerprint evident | Absorbed supply aggressively Feb 27 SC | Allowed minor shakeout Apr 10 Spring before launching markup | Accelerated through resistance Jun 26 – Jul 2 | Currently distributing or pausing at extended levels,SC (Selling Climax): 2026-02-27 @ 16.755 low vol 5.2M | AR (Automatic Rally): 2026-03-06 @ 18.49 | ST (Secondary Test): 2026-03-11–13 @ 17.25–17.50 | Spring: 2026-04-10 @ 16.10 | Test of Spring: 2026-04-13 @ 16.16 | SOS (Sign of Strength): 2026-05-08 gap to 23.72 | LPS: 2026-06-03–04 @ 24.70–25.08 | Markup acceleration: 2026-06-26 through 2026-07-08,"1. Full Wyckoff accumulation schematic completed with textbook SC-AR-ST-Spring-SOS sequence | 2. May 8 SOS bar is defining event — volume 4x average, gap through resistance | 3. Re-accumulation successfully held above prior AR highs | 4. Price has recovered full Feb 27 crash and exceeded Jan highs (26.29) | 5. Jul 1–8 shows parabolic extension with decreasing momentum on closes | 6. 30.76–31.36 zone represents first area of potential distribution interest",Jul 7 upper wick + lower close on elevated vol = potential Upthrust behavior | Jul 8 close 30.76 below intraday high 31.21 = effort not fully rewarded | Distance from 20-day mean extended — pullback risk elevated | No confirmed Distribution structure yet but monitoring warranted above 31.00 | May 11 gap
HE,Transitional,Low,52,Mixed,Macro downtrend from ~17.38 (Feb 6 high) | Consolidation range forming ~12.72–13.78 | Higher lows attempting to form from Jun 22 low (12.72) | No confirmed higher highs yet,Effort up on Mar 20 spike (7.7M vol) with minimal net result (close 14.06) — absorption signal | May 8–11 high volume selling (5.5M) breaking support — supply pressure | Jun 26 volume spike (4.5M) with upside close (13.57) — demand entering,"Volume declining on rallies within consolidation zone (bullish drying up on weakness) | Spike volume on key support tests (Jun 18: 3.09M, Jun 22: 1.83M) with stabilization | Recent volume low and contracting — consistent with Phase C spring/test behavior",Leaning Accumulation | Price holding above Jun 22 spring low (12.72) | Repeated tests of 13.00–13.10 support with diminishing supply volume | No distribution top structure present in current consolidation,Appears to be absorbing supply in 12.72–13.78 range | Testing downside without follow-through — possible shakeout behavior | Not yet showing aggressive markup — still in cause-building phase,PSY/BC candidate: Jan 29 high (16.67) | AR (Automatic Reaction): Feb 12–19 decline | ST (Secondary Test): Mar 2–4 rally failure | Sign of Weakness: May 8–11 breakdown to 13.34 | Spring candidate: Jun 22 low (12.72) | Spring Test: Jun 17–18 retest area | LPS attempt: Jun 26 surge on high volume | Current price testing LPS zone,Range established approximately 12.72–13.78 over 6+ weeks | Spring on Jun 22 (12.72) not violated since | Jun 26 high-volume upthrust close is strongest demand bar since May collapse | Price compressing near upper range resistance (13.54–13.65) | Declining volume on pullbacks from Jun 26 demand surge is constructive,No confirmed SOS (Sign of Strength) bar breaking above 13.78 range resistance | Macro structure still bearish (17.38 → 12.72) — any markup faces significant overhead supply | Spring low (12.72) shallow — not a dramatic washout | Jul 6–8 price action weakening from Jun 26 peak — potential re-test needed | Low absolute volume throughout consolidation limits conviction | Phase D markup not confirmed until decisive close above 13.78–14.00
ARR,Distribution,High,72,Mixed,Primary downtrend from ~19.31 (Jan 16) to current ~16.89 | Series of lower highs and lower lows | Recovery attempts capped repeatedly | No sustained upthrust breakout,"High-volume down bars produce significant price drops (Jan 30: 7.5M vol, -1.0pt | Mar 20: 7.68M vol, -1.5pt | Mar 9: 6.05M vol, -0.7pt) | Rally attempts on declining volume show weak demand | Effort to upside not rewarded with sustained gains",Volume spikes confirm selling pressure on breakdown bars | Recovery volume consistently below breakdown volume | Recent volume (Jun–Jul) elevated on down/sideways bars suggesting continued distribution | Drying up volume on rallies = lack of institutional buying,DISTRIBUTION dominant | No identifiable accumulation base formed | Each consolidation phase resolved to downside | Lower price equilibrium being established,Bearish bias — Composite Operator appears to be distributing into rallies | No evidence of absorption or re-accumulation | Rallies used to offload remaining inventory | Current price action shows continued supply overhang,Preliminary Supply (PSY): ~19.31 Jan 16 | Buying Climax (BC): Jan 16 high 19.31 on volume surge | Automatic Reaction (AR): Jan 21–23 drop | Sign of Weakness (SOW): Jan 30 breakdown on 7.5M vol | Last Point of Supply (LPSY): Feb 13 ~18.61 | Secondary Test failure: Feb 23–26 ~18.21 | Major markdown acceleration: Mar 9 and Mar 20 | Minor re-accumulation attempt: Mar 23 – Apr 10 (15.43–17.42 range) | LPSY sequence: Apr–May 17.60–17.80 zone | Renewed markdown: May 15–19 | Current: Jun–Jul sideways with downward drift ~16.68–17.45,Price failed to reclaim 18.00+ zone after Jan distribution | Each rally capped progressively lower (19.31 → 18.61 → 17.89 → 17.73 → 17.26) | Mar 20 climactic sell bar likely SC candidate but no sustained recovery | Apr–May range (17.19–17.78) acted as LPSY not re-accumulation | Jun–Jul price compressing near 16.68–17.45 with volume increasing on weakness | Current range bottom ~16.55 being tested,Minor accumulation possible if 16.40–16.55 holds with increasing volume on up bars | Watch for Selling Climax (SC) signature if volume spikes with wide spread reversal bar | Mar 20 SC candidate not confirmed — no Spring/test structure validated | Potential re-accumulation if price holds current range 3–4 weeks with shrinking volume | Short-term oversold bounces likely but not phase-change signals without volume confirmation
PEB,Distribution,High,74,Mixed,Primary uptrend from Jan 2026 (11.29 low) to Jun 2026 peak (19.60) | Topping structure forming above 18.50 | Recent breakdown below 19.00 support | Lower highs and lower lows emerging in July,"Strong effort on Jun 16 spike (6.09M vol, 19.38 close) with no sustained follow-through | Jun 17 high-volume reversal bar (6.43M, wide spread down to 18.33) signals supply overwhelming demand | Jul 8 breakdown bar (2.49M, close 17.77) confirms downside resolution","Volume climax on Jun 16 (6.09M) = Buying Climax / UTAD signal | Jun 17 heavy distribution volume (6.43M) on reversal | Elevated vol on Jun 18, 22, 26 during rally failures | Declining price with sustained above-average volume in July = bearish",Distribution | Supply entering aggressively at highs 19.00–19.60 | Failed rallies back into range | Net distribution confirmed by price rejection and volume behavior,Distributing | CO absorbed retail buying on UTAD spike Jun 16 | Offloaded inventory Jun 17–30 on rallies into resistance | Accelerating markdown initiated Jul 7–8,"SC (Selling Climax precursor / base): Jan 28 (3.22M, 11.29 low) | ST (Secondary Test): Jan 30–Feb 3 range | SOS (Sign of Strength): Feb 26 gap-up surge (5.0M, 13.18) | LPS (Last Point of Support): Apr 6–7 consolidation | Markup acceleration: Apr 8 breakout (4.44M) through May–Jun | BC (Buying Climax): Jun 16 (6.09M, 19.38–19.39 high) | UTAD: Jun 16–17 spike and reversal | SOW (Sign of Weakness): Jun 17 reversal bar (6.43M) | LPSY: Jun 18–26 failed rally cluster | Markdown: Jul 1–8 with accelerating weakness",Full Wyckoff cycle visible: accumulation Jan–Mar | markup Apr–Jun | distribution Jun | markdown Jul | UTAD spike precisely at Jun 16 with immediate reversal is textbook | Jun 17 bar is highest-volume down bar = Composite Operator fingerprint | Price has lost 19.00 structural support | 17.77 close Jul 8 approaching first meaningful support zone 17.50–17.60 | Next support: 16.80–17.00 | Major support: 15.50–16.00,Only 3 sessions of confirmed markdown — phase could extend with a relief rally back to 18.30–18.80 LPSY before continuation | Distribution range relatively short (4–5 weeks) vs markup duration — markdown could be measured | Volume on Jul 6–7 declining slightly — watch for dead-cat bounce | No climactic volume yet on downside — full capitulation not confirmed
RLJ,Distribution,High,72,Mixed,Bullish markup from ~7.20 low (Apr 7) to ~12.03 high (Jun 26) | ~67% advance | Current pullback from 12.03 to 11.07 (~8%) | Lower highs forming in July,"Strong effort-result harmony May-Jun (expanding volume + price advance) | Jun 26 climactic bar (6.1M vol, +12.03 close) = potential Buying Climax (BC) | Jul pullback shows decreasing prices on moderate volume = distribution pressure emerging",Accumulation base (Jan-Apr): avg volume ~1.8-2.2M moderate | Markup ignition (May 1-8): volume surge 4.4-6.2M | Climax Jun 26: 6.13M spike | Post-climax Jul: declining prices on 1.8-2.4M = no strong demand returning | Jul 8: 2.43M on sharp drop to 11.07 = weakness signal,Accumulation: Jan 14 – Apr 7 (range ~7.20-8.00) | Spring: Apr 7 low 7.15 | Sign of Strength (SOS): Apr 8-14 bounce | Last Point of Support (LPS): Apr 22-24 | Markup: May onward | Potential Distribution forming: Jun 26 BC | Automatic Reaction (AR): Jun 29-Jul 8 decline,Accumulated aggressively Jan-Apr in narrow range | Marked up strongly May-Jun | Possible early offloading at Jun 26 climax on exceptional volume | Testing demand Jul with declining results,"Selling Climax (SC) candidate: Jan 27-28 (~7.26 low, elevated vol) | Automatic Rally (AR): Jan 29 – Feb 10 | Secondary Test (ST): Mar 13 (~7.37) | Spring: Apr 7 (7.15 low, 3.6M) | SOS: Apr 8-14 | LPS: Apr 22-24 | Markup acceleration: May 4-8 (vol surge) | Potential Buying Climax (BC): Jun 26 (12.03, 6.13M) | Automatic Reaction: Jun 29 – Jul 8 | Potential Sign of Weakness (SOW): Jul 8 close 11.07 on 2.43M","67% price advance from spring low validates accumulation thesis | Jun 26 BC-like bar is highest volume in dataset = climactic behavior | Three consecutive lower highs in July (11.84, 11.85, 11.69, 11.78, 11.63, 11.39, 11.07) = distribution pressure | Price now testing prior resistance-turned-support ~11.00-11.20 zone | No strong buying volume present in July to suggest continuation","Jul 8 intraday low 11.04 breaches prior support = bearish | Post-climax volume contraction on rallies = weak demand | Potential transition from Phase D Markup to Phase A Distribution not confirmed yet | If 11.00 fails on volume, SOW confirmed | Dataset ends mid-pullback — phase resolution pending next session behavior"
HOPE,Distribution,High,68,Mixed,"Bullish base (Jan–Mar low ~10.51) → Markup (Mar–Apr) → Distribution Range (Apr–Jul, ~12.15–13.68) → Early Markdown signals (Jul breakdown)",Effort without result on upside: high volume on Jul-01 push to 14.00 fails to hold; Jul-08 large range drop on elevated volume = supply dominance confirmed,"Volume expansion on down bars (Feb-23, Feb-27, Mar rallies, Jul-08) | Volume climax signals: Mar-20 spike (2.48M) = possible SC/ST | Jun-26 spike (3.56M) = possible BC/UTAD | Jun-18 spike (2.45M) = SOW signal | Apr-01 spike (2.66M) = SOS during markup",Accumulation: Jan-14 to Mar-20 (~10.51–11.78 range) | Distribution: Apr-17 to Jul-08 (~12.15–14.00 range),CO absorbed supply during Jan–Mar base | Distributed into strength Apr–Jun | UTAD attempt Jul-01 (14.00) rejected | CO now appears to be exiting / shorting,"SC (Selling Climax): Mar-12 ~10.51 | AR (Automatic Rally): Mar-23–Apr-01 | ST (Secondary Test): Mar-27–Mar-30 | SOS (Sign of Strength): Apr-01 spike | LPS (Last Point of Supply): Apr-13–Apr-16 | BC (Buying Climax): Jun-26 ~13.65, vol 3.56M | AR (Distribution): Jul-02 reversal from 14.05 | UTAD: Jul-01 ~14.00 | SOW (Sign of Weakness): Jul-08 drop to 13.00, vol 1.74M",Price failed to sustain above 14.00 on Jul-01 despite strong open | Jul-08 closes at 13.13 — lowest close since Jun-22 | Distribution range upper boundary ~13.65–14.00 | Distribution range lower boundary ~12.15–12.30 | Break below 12.15 would confirm markdown phase | UTAD on Jul-01 followed by immediate distribution = bearish confirmation,Distribution not yet fully confirmed — price still above mid-range | Markdown phase requires sustained break below ~12.15 support | Low float / thin volume days (May-28: 442K) suggest potential illiquidity distortions | Jul-08 data may be partial session (verify close) | Retest of ~13.35–13.57 zone possible before continuation lower
TRIN,Accumulation,High,62,Mixed,Downtrend (Jan–Mar) → Accumulation Range (Mar–Apr) → Markup (Apr–Jun) → Potential Distribution/Rollover (Jun–Jul),"Effort-result divergence emerging in Jul: high-volume days producing diminishing upside progress | Strong effort with result during Jun-29 breakout (1.87M vol, +0.85 close) | Recent Jul pullback on moderate volume suggests supply entering",Climactic volume on Feb-02 (2.69M) and Feb-23 (2.35M) suggest Selling Climax candidates | Volume contracted during Mar–Apr base formation (accumulation characteristic) | Breakout Jun-29 confirmed by volume expansion | Volume declining on Jul advance — weakening demand,Accumulation phase identifiable from ~Feb-23 to Apr-13 | Distribution signals emerging post Jun-29 spike high at 18.08 | Current range 17.30–17.90 shows lower highs — early distribution pressure,CO absorbed supply Feb–Mar at lows (14.13–15.00 range) | Marked up through Apr–Jun | Now showing possible secondary distribution or profit-taking near 18.00 resistance,"Selling Climax (SC): ~Feb-23 (14.59 low, 2.35M vol) | Automatic Rally (AR): Feb-25 to ~15.44 | Secondary Test (ST): Mar-16 (14.13 low, 2.02M vol) | Spring candidate: Mar-16 | Last Point of Support (LPS): Apr-06 to Apr-13 | Sign of Strength (SOS): Jun-29 breakout to 17.73 | Buying Climax (BC) candidate: Jul-01 at 18.076 | Upthrust After Distribution (UTAD) watch: Jul-02 rollover from 18.08",Accumulation base formed between ~14.13–15.55 over Feb–Apr | Clean SOS on Jun-29 with strong volume and range expansion | Price reached ~18.08 and reversed — potential BC or UTAD | Jul structure shows lower highs (18.08 → 17.97 → 17.57) with declining closes | Range compression near 17.30–17.90 in Jul suggests absorption or early distribution | Overall gain from SC low (~14.13) to BC high (~18.08) = ~27.9%,Short data window limits full Wyckoff cycle confirmation | Jul-08 close at 17.30 on 1.21M vol — supply pressure increasing | Possible UTAD if price fails to reclaim 18.00 on next attempt | Insufficient data to confirm full Phase E markup or Phase A distribution | Rollover from 18.08 needs follow-through confirmation before distribution is declared
AVO,Markup,High,67,Mixed,Primary downtrend from ~15.53 (Apr-08 high) into terminal low ~10.07 (Jun-08) | Recovery rally now underway forming higher lows and higher highs | Recent price ~13.50 reclaiming mid-range levels,Jun-08/09 climactic volume (2.04M/5.11M) with strong upside result = bullish effort-result alignment | Apr-20/21 high volume selling with downside follow-through = distribution effort confirmed | Jul-06/08 expanding volume on upside breakout = demand emerging,Climactic selling volume Jan-15 (4.2M) = Selling Climax candidate | Jun-08/09 spike (2.04M + 5.11M) = Secondary Test / Spring confirmation | Volume expanding on upside thrusts Jul-06/08 = bullish | Volume declining on pullbacks mid-range = constructive,Accumulation dominant from Jun-08 lows | Prior distribution phase Feb-19 to Apr-08 peak confirmed | Current structure building base ~10.07–12.50 range | Reaccumulation possible within broader recovery,Absorbed supply during Jun low-volume pullbacks | Engineered Spring below Jun-05 lows (~10.21) | Now marking up aggressively through resistance | Consistent with CO accumulation and markup initiation behavior,Preliminary Support (PS): ~Jan-15 low 10.372 | Selling Climax (SC): Jun-08 low 10.07 | Automatic Rally (AR): Jun-09 to Jun-11 bounce to ~11.55 | Secondary Test (ST): Jun-17 low ~10.945 | Spring: Jun-05/08 undercut of range low ~10.07–10.21 | Sign of Strength (SOS): Jul-06 breakout to 13.29 on volume 1.92M | Last Point of Support (LPS): Jun-29/30 pullback ~11.66–11.92,Jan-15 wick to 10.372 = early demand absorption | Feb peak 15.02–15.53 = Distribution Phase B/C top | Mar–May sustained decline = Phase B/C markdown | Jun-08/09 climactic reversal = Spring + Phase C completion | Jun range 10.07–12.37 = trading range with successful ST | Jul-06/08 breakout with volume = SOS / Phase D entry | Price now at 13.50 approaching Jan accumulation zone resistance | Jan-15 gap fill zone ~12.29–12.56 cleared = structural reclaim,Resistance cluster at 13.50–14.00 from prior consolidation zone | Jan-15 high-volume gap zone may create overhead supply | Price moved rapidly from Spring low — potential for back-up to creek test before sustained markup | Whipsaw behavior Apr–May suggests residual distribution overhead | Confirmation of Phase D requires hold above 12.50 on any pullback | Volume on Jul-08 (1.96M) solid but not climactic — needs expansion on continuation
