symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
DBRG,Transitional,Medium,Mixed,0,,,
CXW,Markup,Low,Mixed,0,,,
VISN,Accumulation,Low,Mixed,0,"PSY(Preliminary Supply)=Jan-13 high 19.765 on elevated volume 5.1M | BC(Buying Climax)/UT(Upthrust)=Jan-15 high 19.95 with rejection, increased volume 4.2M | AR(Automatic Reaction)=Jan-20/21 drop to 17.80 | ST(Secondary Test)=Feb-10/11 highs 19.91/19.88 on diminishing volume 2.7M/2.7M — confirmed supply overhead | SOW(Sign of Weakness)=Feb-26 breakdown close 17.82 volume 10.4M, Feb-27 follow-through 16.50 low volume 9.6M | LPSY(Last Point of Supply)/Re-test=Mar through Apr-27 recovery to 19.53 on declining volume — absorption completing | SC(Selling Climax)=Apr-28 catastrophic gap-down open 9.64 low 9.47 close 9.90 volume 20.6M — capitulation event | AR(Automatic Rally)=Apr-29/30 recovery to 13.22 high volume 16.7M/30.1M | ST(Secondary Test of SC)=May-07/08 lows 11.665/11.57 on declining volume confirming SC held | Spring(Candidate)=May-18/19 lows 11.10/10.955 — lowest post-SC retest on reduced volume 7.7M/8.9M | LPS(Last Point of Support — developing)=Jun-08/09 lows",,
HTGC,Accumulation,Low,Mixed,0,,,
FSK,Accumulation,Low,Mixed,0,"PSY≈15.09 (Jan-05, vol 2.01M); SC≈10.80 (Feb-26/27, vol 18.8M+11.6M climactic); AR≈10.95 (Mar-03/04, declining vol); ST≈9.72 (Mar-18, low vol spring-like test); SOS_attempt≈11.39 (Apr-17, vol 3.5M); BUA/LPS≈10.50 (Apr-27/28, reduced vol); SOS_2≈11.62 (May-04, vol 3.5M); LPS_test≈10.54 (May-11, vol 7.67M elevated — weak); Range_failure_signal≈10.14 (Jun-22, vol 6.9M — back into range)","1) SC on Feb-26 is unambiguous — 18.8M volume with 1.23-point spread and close near lows marks a climactic event; 2) AR to ~10.95 was tepid on declining volume, establishing a narrow trading range (~9.72–11.62); 3) Mar-18 low at 9.72 functions as a spring or ST-in-spring-zone — volume was moderate (4.5M) but price recovered quickly; 4) Apr-15 to May-04 produced two SOS-like thrusts reaching 11.39 then 11.62 with expanding volume suggesting professional buying interest; 5) May-11 pull",
DX,Accumulation,Low,Mixed,0,"PSY (Preliminary Supply): Jan 9 intraday spike 14.27 on 12.47M vol | BC (Buying Climax): Jan 16 close 14.65 / Jan 28 high 14.93 on elevated vol | AR (Automatic Reaction): Jan 30 collapse to 13.88 on 10.84M vol — first sign of supply dominance | UT (Upthrust After Distribution): Jan 23-27 rally back to 14.62-14.74 on declining vol, failing to exceed Jan 16 highs convincingly | SOW (Sign of Weakness): Jan 30 wide-spread down bar, close 13.88, highest vol in distribution range | LPSY (Last Point of Supply): Feb 3-6 dead-cat bounce to 14.04-14.09 on diminishing vol, unable to reclaim 14.15+ | Secondary SOW: Mar 2-6 step-down; Mar 9 gap-down to 12.82 low on 9.75M vol | SC (Selling Climax): Mar 20 — intraday low 12.32, close 12.39, vol 24.32M (highest in entire dataset) | AR (Automatic Rally post-SC): Mar 23 - Apr 2, recovery to ~12.87-12.90 | ST (Secondary Test of SC): Mar 27 low 12.14 — undercut of SC low (spring-like action) | Possible Re-Accumulation Creek: Apr 6 - Apr 24 — price works up to 13.72-13.78, vol supportive on Apr",,
KMT,Distribution,High,Clean,0,"BC (Buying Climax): 2026-02-04 high 40.90, vol 3.86M | AR (Automatic Reaction): 2026-02-12 to 2026-02-18, price retreat to ~38.46 | ST (Secondary Test): 2026-02-24 to 2026-03-04, rally to 42.03 with churning | SOW1 (Sign of Weakness): 2026-03-06 sharp decline 42.03→36.85 on 2.0M vol | REACCUMULATION BASE: 2026-03-20 to 2026-04-07, range ~33.71–36.62, low volume | SOS (Sign of Strength/Spring Reaction): 2026-04-08 to 2026-04-13, thrust to 39.82 | UTAD/BC2 (Upthrust After Distribution / Secondary BC): 2026-05-06 high 43.81 on 3.43M vol — climactic exhaustion | AR2 (Automatic Reaction): 2026-05-07 to 2026-05-08, collapse from 43.12 to 36.07 on massive vol 3.19M | SOW2 (Major Sign of Weakness): 2026-05-08 to 2026-06-01, markdown from 43.81 to 31.72",,
HOG,Accumulation,Medium,Mixed,0,,,
WTTR,Distribution,Medium,Mixed,0,,,
DRH,Transitional,Medium,Mixed,0,,,
DNOW,Transitional,Medium,Mixed,0,,,
PTY,Distribution,Low,Mixed,0,,,
XIFR,Transitional,Medium,Mixed,0,,,
AUPH,Accumulation,Low,Mixed,0,"SC(Feb 26-27, low=13.52, vol=1366K-1826K); AR(Mar 4, high=15.14, vol=1780K); ST(Mar 13-20, low=13.87-13.85, declining vol); SPRING(Mar 30, low=13.815, vol=1334K, closes 13.98); SOS(Mar 31-Apr 6, 13.98→16.32, expanding vol); LPS(Apr 29-May 1, low=14.83, moderate vol, holds structure); SHAKEOUT/UTAD-TEST(May 7, low=14.402, vol=2800K, full recovery next sessions); SECONDARY-SOS(Jun 4, high=16.66, vol=2629K); MARKUP-ACCELERATION(Jun 22, high=18.40, vol=3390K)","1. Classic SC-AR-ST-Spring sequence visible from Feb 26 through Mar 30 with textbook volume confirmation on SC and diminishing volume on ST. 2. Spring on Mar 30 undercut prior support at ~13.87 by 5 cents, then immediately recovered — weak spring but valid. 3. SOS rally Mar 31–Apr 6 covered ~2.4 points on expanding volume, confirming demand absorption. 4. LPS Apr 29–May 1 held well above the original trading range, a bullish structural sign. 5. May 7 shakeout (low 14.402, vol 2800K — highest single-day volume in dataset) tested weak holders; rapid recovery over May 8",
HE,Accumulation,Low,Mixed,0,,,
SHO,Markup,High,Mixed,0,,,
