symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
DBRG,Accumulation,High,74,Clean,Bullish | Higher lows consistently formed | Price advanced from ~15.25 to ~15.79 over ~6 months | Multiple re-accumulation consolidations embedded within trend,Mostly harmonious | Large volume spike on 2025-12-29 (86.8M) produced minimal price movement — classic selling climax or heavy absorption | Subsequent markup on declining volume confirms ease of upward movement | Late-stage volume spikes (Apr-May) align with breakout thrusts,"Declining volume on consolidations | Expanding volume on upside thrusts (Apr 08: 2.57M, Apr 21: 9.23M, May 07: 6.93M) | Ultra-low volume in Feb-Mar consolidation zone indicates no significant supply | Jun volume tapering near highs — minor caution",Accumulation completed in Dec 2025–Jan 2026 range (~15.25–15.47) | Re-accumulation Jan–Mar 2026 (~15.33–15.47) | Markup phase initiated Apr 08 breakout (~15.58+) | Distribution not yet evident but early signs of topping behavior Jun 2026,Actively long | Absorbed supply on Dec 2025 climactic volume | Engineered tight consolidations to shake weak hands | Now distributing incrementally near highs with narrowing ranges and declining volume,"Selling Climax (SC): 2025-12-29 (86.8M vol, narrow range) | Automatic Rally (AR): Jan 05 ~15.45 | Secondary Test (ST): Jan–Feb base retest ~15.33–15.35 | Last Point of Support (LPS): Mar 18 ~15.32 low | Sign of Strength (SOS): Apr 08 breakout to 15.58 on expanding volume | Re-accumulation LPS: Apr 28–May 04 ~15.54–15.55 | Secondary SOS: May 07 ~15.64 thrust | Potential Upthrust (UT) zone: Jun 15–22 ~15.76–15.79",Dec 2025 volume anomaly (86.8M vs avg <5M) is dominant structural anchor | Price compressed into ~15 cent range for 3 months before breakout | Apr 08 gap-style thrust confirmed supply exhaustion | Jun 2026 price approaching upper channel with volume contracting — possible distribution onset | Overall range from base to current: +0.54 points (~3.5% from lows),"Dec 2025 volume spike magnitude is extreme — possible institutional exit not entry (ambiguous) | Jun volume drying up near highs may indicate distribution beginning rather than continuation | Narrow daily ranges in Jun suggest potential Upthrust or UTAD forming | Price has not decisively broken above 15.79 resistance | If price fails to hold 15.66 support, re-accumulation or markdown risk increases"
CXW,Markup,High,82,Mixed,Bullish | Higher highs and higher lows established post-February lows | Acceleration visible June onward | Potential climactic behavior at current highs,"Mostly harmonious during markup | Large effort on 2026-02-12 (wide spread down, high vol) = selling climax | 2026-02-20 secondary climax | Recovery effort rewarded with price advance | Recent markup showing strong result on moderate-to-high volume",Elevated volume on down-thrusts (Feb climaxes) consistent with SC/ST | Volume expansion on breakout (Jun 4–10) confirms demand dominance | Volume contracting on minor pullbacks = healthy | 2026-06-18 and 2026-06-22 showing climactic volume expansion = caution warranted,Accumulation completed | Phase A–D structure visible Dec 2025–Mar 2026 | Distribution not yet confirmed but climactic signals emerging at highs,Absorbed supply aggressively during Feb washout | Engineered Spring on 2026-02-20 (low ~16.37) | Markup campaign launched Mar 2026 | Currently distributing or testing demand at upper range,"SC (Selling Climax): 2026-02-12 (low 16.16, vol 2.47M) | SC2 (Secondary Climax): 2026-02-20 (low 16.37, vol 3.07M) | AR (Automatic Rally): 2026-02-25–03-04 | ST (Secondary Test): 2026-03-09–03-13 | Spring/LPS: 2026-02-20–02-23 zone | SOS (Sign of Strength): 2026-03-16–03-17 (gap up, high vol) | LPS (Last Point of Support): 2026-03-27–04-01 | BU (Back-Up): 2026-04-06–04-10 | Markup Phase E: Apr–Jun 2026 | Potential BC (Buying Climax): 2026-06-10–06-22 (wide spreads, surging vol)",Deep shakeout to 15.74 on 2026-02-23 = definitive Spring | Recovery from ~15.74 to 28.90+ = ~83% advance | Breakout above prior range resistance (~20.50) on 2026-04-02 with gap | Acceleration from 21.00 to 29.65 in Jun 2026 = parabolic | 2026-06-18 wide spread up + 2.77M vol | 2026-06-22 upper wick + 1.52M vol reaching 30.45 high = potential exhaustion | Structure consistent with late Phase E or early Phase F topping behavior,Potential Buying Climax forming at 29–30+ zone | Upper wicks on 2026-06-22 suggest supply entering | Volume climax without proportional close strength = warning | Parabolic extension from accumulation base increases reversal risk | No confirmed distribution structure yet but monitor for UTAD/BC | Longs should tighten stops; new entries at current levels carry elevated risk
VISN,Accumulation,Low,42,Mixed,Prior Uptrend (Jan–Apr 27) terminated by Climactic Gap Down | New downtrend channel post-gap | Tentative base building May–Jun,Apr 28–30: Extreme volume with massive price dislocation (gap ~50%) — climactic effort with chaotic result | May–Jun: Declining volume on sideways/mild recovery — absorption possible | Jun 11–22: Modest upside progress on moderate volume — inconclusive,"Jan–Apr: Moderate, orderly volume consistent with distribution topping | Apr 28: 20.5M (climactic selling/gap) | Apr 29–30: 16.6M–30.1M (panic/secondary selling) | May: Elevated but declining (8–14M) | Jun: Normalizing (4–8M) suggesting diminishing supply pressure","Possible early Accumulation base forming post-climax | Range: ~10.95–13.04 | Prior phase (Jan–Apr 27) shows characteristics of Distribution (narrowing range, multiple tests of highs, high volume failures) | Climax = Selling Climax (SC) candidate | Current action = Automatic Rally (AR) and Secondary Test (ST) pattern possible",Appeared to distribute Jan–Apr (price capped near 19.50–19.85) | Executed or allowed climactic collapse Apr 28 | Possibly absorbing supply May–Jun in new lower range | No confirmed sign of strength (SOS) yet,Potential Buying Climax (BC): Apr 27 @ 19.675 | Climactic Gap / Selling Climax (SC): Apr 28 open 9.64 — catastrophic gap down on 20.5M vol | Automatic Rally (AR): Apr 29–30 (10.47–12.795) | Secondary Test (ST): May 7–19 range lows (10.955–11.10) | Creek/Resistance: 12.50–12.83 zone | Last Point of Support (LPS) candidate: May 19–20 lows | Tentative Sign of Strength (SOS): Jun 11–15 push to 13.04,"50%+ overnight gap Apr 28 is non-standard Wyckoff event (likely halt/news/restructuring) | Pre-gap structure showed classic distribution characteristics (lower closes on higher vol, multiple high rejections) | Post-gap range (~10.95–13.04) is compressed and immature — only ~6 weeks of base | Volume declining on dips in Jun suggesting supply exhaustion | Price recovering toward gap-fill attempt — 13.00 level key resistance | No confirmed Phase D markup yet",Catastrophic gap event distorts classical Wyckoff labeling — cause unknown but likely fundamental | Pre-gap highs (~19.50) are extreme overhead supply — recovery toward those levels very long-term at best | Post-gap base too short to confirm accumulation with high confidence | Risk of Phase B redistribution rather than accumulation | Low confidence in CO intent without fundamental context | Multiple supply tests still possible before genuine SOS confirmed
HTGC,Accumulation,High,62,Mixed,Primary downtrend (Dec→Feb) | Secondary accumulation range (Feb→Jun) | No confirmed uptrend re-establishment,"High effort on down legs (Feb climax, Feb27 spike) produced diminishing price results on bounces | Recent low-volume lateral action suggests absorption","Climactic volume: Feb13 (8.6M), Feb27 (10.1M) — Selling Climax confirmed | Volume contracting significantly in lateral range (Jun avg ~1.2M) | Low-volume rallies suggest cautious demand",Accumulation bias — SC and AR established | Multiple LPS tests holding above ~13.70–14.00 | No confirmed Sign of Strength (SOS) above ~16.60,Likely absorbing supply in 13.70–15.80 range | Testing commitment of sellers repeatedly | Holding above climax lows suggests controlled markup not yet initiated,"Preliminary Support: ~Feb02 (18.10 area declining) | Selling Climax (SC): Feb27 (~14.10, 10.1M vol) | Automatic Rally (AR): Mar04–Mar05 (~15.37) | Secondary Test (ST): Mar12–Mar13 (~13.84–14.00) | Last Point of Support (LPS): Mar27 (~13.70) | Creek/Resistance: ~15.60–16.10 | Failed SOS attempt: May06 (~17.05 rejected) | Ongoing re-accumulation: May–Jun lateral range ~15.20–15.75",SC at Feb27 with highest volume in dataset (10.1M) is the dominant structural anchor | Price has not revisited SC lows — bullish | May06 spike to 17.05 rejected — resistance not yet cleared | Jun range is extremely tight (15.20–15.75) on declining volume — consistent with Wyckoff spring setup or final absorption | LPS cluster near 13.70–14.00 has held across multiple tests,No confirmed SOS above 16.10 creek — markup not validated | May06 high-volume rejection (2.8M) at 17.05 may indicate supply still present | Prolonged sideways action could also indicate distribution at lower levels | Volume on rallies remains weak — demand not yet dominant | Range has compressed near lower boundary of recent congestion — needs volume confirmation on breakout
FSK,Accumulation,Low,42,Mixed,Primary downtrend from ~15.00 (Dec 2025) to ~10.14 (Jun 2026) | Series of lower highs and lower lows dominant | Attempted base formation 10.00–11.00 range mid-cycle | Recent structure breaking below consolidation support,"High volume on downside breaks with large spread (Feb 26: 18.8M, Feb 27: 11.6M) = effort confirming distribution | Rally attempts on declining volume = weak demand | High volume on Mar 11–13 with minimal upside result = supply absorption unconfirmed | Jun 22 high volume (6.9M) with close near low = renewed selling pressure",Climactic selling Feb 26–27 (Selling Climax candidate) | Volume drying up on rallies Apr–May = no institutional demand | Elevated volume on downside breaks throughout | Recent Jun 17–22 spike volume on declining price = bearish,Mixed signals — SC/AR structure present Feb–Mar | Re-accumulation attempted Apr–May (10.00–11.60 range) | Distribution signature re-emerging Jun 2026 | Net bias: Distribution or failed re-accumulation,Absorbing supply at lows (Feb–Mar) but unable/unwilling to mark up decisively | Recent weakness suggests CO may be distributing into bounces | No clear markup phase initiated | Possible markdown resumption,"Preliminary Supply (PSY): ~15.09 Jan 05 | Buying Climax (BC) / Distribution Top: ~14.93 Jan 02 | Sign of Weakness (SOW): Jan 28–Feb 05 cascade | Selling Climax (SC): Feb 26 ~10.87 low, 18.8M vol | Automatic Rally (AR): Mar 04–05 ~11.27 | Secondary Test (ST): Mar 18 ~9.72 | Phase B/C base: Mar–May 10.00–11.60 | Upthrust After Distribution (UTAD) candidate: May 01–07 ~11.60 | Last Point of Supply (LPSY) signals: Jun 15–22 | Creek break: Jun 22 close 10.14 below range support",Price failed to sustain above 11.00–11.60 resistance after SC recovery | May 01 high 11.60 rejected sharply = UTAD or failed SOS | Jun 22 high-volume red bar closing at lows signals renewed markdown risk | Entire Apr–Jun consolidation produced no net upside = bearish re-distribution | Price now threatening breakdown below 10.14 critical support,No confirmed Sign of Strength or Last Point of Support established | Jun 22 volume spike with weak close = potential Phase D markdown onset | Failed UTAD increases probability of Phase E markdown | Long positions carry high risk below 10.14 | Data appears future-dated (2025–2026) — treat as speculative/synthetic dataset
DX,Accumulation,Low,38,Clean,Bearish dominant | Lower highs from 14.93 peak | Failed recoveries below prior resistance | Current price ~12.85 well below range highs | Descending structure intact,Negative divergence throughout | High volume on 2026-03-20 (24.3M) produced sharp markdown — effort confirms supply | April rally on moderate volume (thin result) | June attempt to stabilize on declining volume = weak demand,Volume expansion on down-moves (Mar-20 climactic sell | Mar-09 spike) | Volume contraction on rallies (Apr-Jun) | Recent June volume declining into lower price = no absorption signal yet | Absence of high-volume reversal bars = no climax confirmed,Distribution confirmed Jan–Feb (range top ~14.93) | Markdown phase Mar–Apr (13.06–12.17) | Tentative re-accumulation attempt Apr–May failed to hold gains | Renewed markdown pressure May–Jun | Net: Distribution outweighs accumulation evidence,Likely in controlled markdown | Minor support operations in Apr (potential ST of new range) | No evidence of aggressive re-accumulation | CO appears to be distributing remaining supply on rallies | Weak hands being shaken,UTAD/Distribution Top: 2026-01-28 @ 14.93 | Sign of Weakness (SOW): 2026-03-20 drop to 12.32 on 24.3M vol | Minor ST (Secondary Test): 2026-04-20–04-22 rally to 13.72–14.03 | Failed Rally / LPSY candidate: 2026-04-21 @ 14.03 | Creek resistance: ~13.60–13.80 | Phase C Spring candidate (unconfirmed): 2026-03-27 @ 12.14 | Markdown resumption: May–Jun decline to 12.73,"Price rejected hard at 13.60–13.80 zone twice (Apr, Jun) | 14.93 high was likely Distribution UTAD | 12.14 low (Mar-27) potential selling climax but no volume confirmation | Jun-22 close at 12.845 re-approaching Mar lows | Volume drying up in Jun = possible temporary equilibrium but NOT absorption | Range compression near lows = watch for spring or breakdown",No high-volume selling climax confirmed at lows — spring unverified | Failed re-accumulation increases markdown continuation risk | 12.14 support breach would signal Phase E markdown extension | Low volume rallies (May–Jun) suggest no institutional accumulation | Misleading re-accumulation signals possible before final markdown leg | Date range includes future-dated data (2025-12 to 2026-06) — treat as synthetic/forward-projected data with analytical caution
KMT,Accumulation,Low,38,Clean,Bearish — lower highs from Feb 2026 peak (~41.74) | Recent range ~31.74–36.94 suggests weak re-accumulation or continuation of markdown,"Effort WITHOUT result dominant — large volume bars (Feb 04, Mar 12, May 06, May 08) show price unable to hold gains | Supply absorbing demand on rallies","Climactic spike Feb 04 (3.86M) near highs suggests Buying Climax (BC) | High volume on down days Mar 06, Mar 12, May 08 confirm supply pressure | Volume declining on bounces = weak demand",Net Distribution — price declined from ~41.74 to ~31.74 | Short-term base forming ~31.74–36.94 may be re-accumulation or bear flag,Likely distributing remaining positions on rallies | No strong evidence of institutional absorption at current lows yet,Buying Climax (BC): ~Feb 04–11 near 41.74 | Automatic Reaction (AR): ~Feb 12–13 drop to 38.52 | Upthrust After Distribution (UTAD) attempt: Mar 04 ~42.03 failed | Sign of Weakness (SOW): Mar 06 collapse to 36.85 | Secondary Test (ST): Mar 09–13 range | Markdown continuation: Mar–Jun | Potential Selling Climax (SC) candidate: Jun 01 ~31.72 low | Automatic Rally (AR): Jun 02 ~33.80 | Secondary Test pending,Feb 04 gap-up on 3.86M volume = probable BC | Price failed to reclaim 41+ zone = distribution confirmed | May 06 spike to 43.81 (3.43M) = terminal shakeout or UTAD in lower range | May 08 collapse to 36.07 on 3.19M = SOW | Jun 01 low 31.72 on 1.8M = possible SC | Jun 02 bounce to 33.80 = possible AR | Current price ~35.43 testing range resistance | No LPS confirmed yet,May 06–08 extreme range (43.81→36.07) may distort phase identification | Insufficient post-SC base width to confirm accumulation | Jun 22 partial data (low volume 445K) limits confidence | Overall structure lacks clean Wyckoff schematic — chaotic operator behavior possible | Re-accumulation vs. continuation markdown unresolved
HOG,Accumulation,High,62,Mixed,Primary downtrend from Jan high (~21.58) to Mar low (~17.11) | Secondary uptrend from Mar low through Apr-May breakout | Current lateral consolidation 23.20–26.50 since mid-May,Feb 10 high-volume spike (9.68M) with wide range — effort present but price failed to hold gains | Mar 3-4 reversal effort on 5-7M volume produced follow-through | May 5 volume surge (6.45M) to 25.11 showed buying pressure | May 11 climactic push to 26.99 on 3.83M — buying climax candidate | Jun 10 selloff on 4.27M — supply re-entering,Volume elevated on downswings late-Feb through mid-Mar (distribution/markdown) | Volume expanded on Mar recovery rallies confirming accumulation | Climactic volume May 5 and May 11 signals potential supply point | Volume contracting in current 23.20–24.90 range — absorption phase,Net Accumulation — base formed Dec-Mar | Markup phase Apr-May | Possible secondary test / re-accumulation Jun,CO absorbed supply Dec–Mar in 17–21 range | Drove markup Apr–May breaking above 21 resistance | Now testing commitment near 24–25 zone; absorption of weak hands ongoing,"SC (Selling Climax): ~Mar 02 (17.11 low, volume spike) | AR (Automatic Rally): Mar 03–04 to 19.46 | ST (Secondary Test): Mar 11–13 (~17.63) | SOS (Sign of Strength): Mar 24–26 break above 19 | LPS (Last Point of Supply): Mar 30–31 | Markup: Apr–May | BC (Buying Climax): May 11 (26.99 high) | AR (downside): May 18–21 pullback | ST of BC: Jun 10 (4.27M down bar) | Current: potential LPS or SOW test near 24.50–24.70",,"Jun 10 high-volume down bar (4.27M) from 25.87 to 24.36 may indicate supply re-entry | Jun 22 close at 24.71 — below 25.00 support suggests weakness | Failure to reclaim 25.50–26.00 would signal distribution developing | Multiple failed attempts to sustain above 26.00 — overhead resistance heavy | Low volume on recent bounces (Jun 1–9 avg ~2M) limits conviction | If 24.00 breaks on volume, re-test of 22.50–23.00 likely"
WTTR,Distribution,High,68,Noisy,Primary uptrend from ~10.42 (Jan-02) to ~20.48 (May-20) now breaking down | Lower highs and lower lows forming post-May-20 | Structure shifting bearish below 19.00 support,Buying effort Jan–Apr produced proportional price gains (healthy markup) | May-06 high volume 3.5M on wide spread but close below open signals effort-result divergence | Jun-18 high-volume 3.4M selling with poor close (17.70) — effort confirms downside,Climactic volume Feb-18 (3.3M) and Feb-20 (9.75M) marked early distribution warning | Apr-22–24 renewed surge on volume (3.8M–5.3M) = secondary test / UTAD zone | May-06 (3.5M) wide-range reversal | Jun-18 (3.4M) breakdown bar | Volume declining on rallies post-May-20 = weak demand,Distribution | Supply overwhelming demand above 19.00–20.48 zone | Rallies failing at lower levels | No re-accumulation evidence yet,CO appears to have completed markup and is offloading inventory | Late buying absorbed at 16.40–20.48 range | Recent weakness suggests CO is net short/distributing into any bounce,PSY (Preliminary Supply): Feb-18 ~15.42 | BC (Buying Climax): May-19–20 ~20.18–20.48 | AR (Automatic Reaction): May-27–29 ~17.82–17.93 | UT/UTAD (Upthrust): May-15–19 ~19.04–19.76 retest | SOW (Sign of Weakness): Jun-18 break to 17.32 on 3.4M volume | LPSY (Last Point of Supply): Jun-01–12 rally to 19.21 failing | Potential breakdown below 17.70 support underway,Trading range established ~17.70–20.48 after climactic top | Five weeks of distribution (May-20 to Jun-22) with lower highs | Jun-18 wide-spread down bar on highest volume in weeks confirms supply | Jun-22 bounce to 18.48 on moderate volume = weak rally / LPSY candidate | Price now below 50% of full markup range | Critical support at 17.32 (Jun-18 low) — breach confirms markdown,Phase not fully confirmed — no decisive break below 17.32 yet | Jun-22 close at 18.48 leaves ambiguity for re-test | Thin data post-Jun-22 limits confidence | Could form re-accumulation if volume dries up and price holds 17.30–18.00 zone | Watch for climactic selling (SC) if 17.32 breaks with expansion volume
DRH,Markup,High,78,Clean,Higher Highs and Higher Lows sustained from ~8.90 (Jan 2 low) to 12.45 (Jun 22 high) | Strong impulsive legs with constructive pullbacks | Trend intact but extended,Mostly harmonious | Large volume on Jan 21 surge (4.25M) produced result | Feb 4 high-volume push (7.04M) to 9.63 confirmed demand | Feb 27 wide-spread reversal bar on 3.44M = effort without result (caution) | Apr 8–9 thrust on rising volume confirms absorption complete | Recent highs (Jun) achieved on declining volume = effort diverging,"Accumulation phase (Dec–Mar): volume expansion on rallies, contraction on pullbacks = bullish | Jan 27 climactic bar (6.72M) = shakeout/test resolved upward | Feb 4 (7.04M) = Sign of Strength | Mar–Apr base: low volume = normal re-accumulation | May–Jun markup: volume declining on advance = weakening sponsorship | Jun 18 spike (3.39M) = possible minor buying climax",Accumulation: Dec 29 – Apr 7 range (~8.90–9.83) | Re-accumulation: Mar 9–Apr 7 (~9.20–9.65) | Markup Phase E: Apr 8 – present | No confirmed distribution yet but early warning signals present above 12.00,"Absorbed supply aggressively Jan–Feb in 8.90–9.83 zone | Engineered shakeout Jan 27 (high volume, wide spread down) | Launched markup Apr 8 on volume expansion | Currently distributing potential partial positions near 12.00–12.45 | Behavior consistent with professional accumulation now transitioning toward potential distribution preparation","PS (Preliminary Support): Dec 31 low 8.96 on volume increase | SC (Selling Climax): Jan 2, 2.53M volume, low 8.90 | AR (Automatic Rally): Jan 6–9, rally to 9.44 | ST (Secondary Test): Jan 14–16, low 9.14 | LPS (Last Point of Support): Mar 9 low 9.20 | SOS (Sign of Strength): Feb 4 surge 9.34→9.67 on 7.04M | BU (Back-Up): Feb 28–Apr 7 re-test of breakout zone | JAC (Jump Across Creek): Apr 8–9 breakout above 9.83 resistance | Phase E Markup Continuation: Apr 10–Jun 22 | Potential Minor BC: Jun 18 on 3.39M | Current High: 12.45 (Jun 22)",Full Wyckoff accumulation cycle completed cleanly in 8.90–9.83 range over ~14 weeks | Markup has extended ~40% from accumulation lows | Volume declining on recent new highs is a classical late-markup warning | Jun 18 volume spike on wide spread bar may mark a short-term climax | Price now extended above any near-term support | Spread narrowing at highs (Jun 8–17) before Jun 18 surge is classic UTAD-like behavior | Re-accumulation zone: ~10.20,
